sample_id,cell_type,input_arc,Wn_um,L_um,Wp_Wn_ratio,Vdd,Temp,Cload_fF,slew_ps,corner,tphl_ns,tplh_ns,delay_avg_ns,power_avg_uW,simulator,ngspice_version,model_file,nmos_model,pmos_model,statistical_mode,sw_stat_global,sw_stat_mismatch,sampling_seed,fidelity,status,netlist_path,log_path,candidate_id,seed,pool_seed,heldout_corner,strategy,query_order,batch_index,spice_wall_time_s,acquisition_score,delay_uncertainty_scaled,diversity_scaled,reference_origin
4411017,INV,I_to_Z,1.2440136179105012,0.28,1.5691349793729663,1.9737860901001028,91.1299108997208,16.22699454491037,162.99167191078024,ss,0.145433,0.22218,0.1838065,2.20052,ngspice,ngspice-46 : Circuit level simulation program,gf180mcu-pdk/libraries/gf180mcu_fd_pr/latest/models/ngspice/sm141064.ngspice,nmos_3p3,pmos_3p3,off,0,0,4,SPICE_GF180MCU,ok,results/online_spice_deterministic/runs/seed_4/corner_ss/cell_balanced_random/netlists/4411017_INV.cir,results/online_spice_deterministic/runs/seed_4/corner_ss/cell_balanced_random/logs/4411017_INV.log,0,4,4,ss,cell_balanced_random,17.0,5.0,0.3776178749976679,,0.2323102821779149,0.7441337579343577,existing_online_query
4411009,INV,I_to_Z,1.6374987817086848,0.28,2.5568674542879295,1.7658519051355368,76.44834377414168,52.45426403148037,432.83363829223975,ss,0.375188,0.420057,0.3976225,5.2426,ngspice,ngspice-46 : Circuit level simulation program,gf180mcu-pdk/libraries/gf180mcu_fd_pr/latest/models/ngspice/sm141064.ngspice,nmos_3p3,pmos_3p3,off,0,0,4,SPICE_GF180MCU,ok,results/online_spice_deterministic/runs/seed_4/corner_ss/cell_balanced_random/netlists/4411009_INV.cir,results/online_spice_deterministic/runs/seed_4/corner_ss/cell_balanced_random/logs/4411009_INV.log,1,4,4,ss,cell_balanced_random,9.0,3.0,0.3716778749949299,,0.3086676165062362,0.577468862269611,existing_online_query
4410017,INV,I_to_Z,2.739230385066015,0.28,2.7929114079472903,1.8639000491494495,6.902464867579333,76.9513382314109,439.2946513227504,ss,0.30911,0.335782,0.322446,8.71079,ngspice,ngspice-46 : Circuit level simulation program,gf180mcu-pdk/libraries/gf180mcu_fd_pr/latest/models/ngspice/sm141064.ngspice,nmos_3p3,pmos_3p3,off,0,0,4,SPICE_GF180MCU,ok,results/online_spice_deterministic/runs/seed_4/corner_ss/random/netlists/4410017_INV.cir,results/online_spice_deterministic/runs/seed_4/corner_ss/random/logs/4410017_INV.log,2,4,4,ss,random,17.0,5.0,0.3787222089886199,,0.5965553456715359,0.552959992611807,existing_online_query
4411041,INV,I_to_Z,3.386266025838904,0.28,2.3704255778227727,1.7440953132999852,47.62928620968576,17.5710630578563,213.8316132913814,ss,0.1204959999999999,0.144238,0.132367,2.51349,ngspice,ngspice-46 : Circuit level simulation program,gf180mcu-pdk/libraries/gf180mcu_fd_pr/latest/models/ngspice/sm141064.ngspice,nmos_3p3,pmos_3p3,off,0,0,4,SPICE_GF180MCU,ok,results/online_spice_deterministic/runs/seed_4/corner_ss/cell_balanced_random/netlists/4411041_INV.cir,results/online_spice_deterministic/runs/seed_4/corner_ss/cell_balanced_random/logs/4411041_INV.log,3,4,4,ss,cell_balanced_random,41.0,11.0,0.387060749984812,,0.1284255281685934,0.484442947804013,existing_online_query
4414045,INV,I_to_Z,2.2555339469392663,0.28,2.6366230853347323,1.6863631040007758,18.66457233652072,42.19840269376345,182.58172395465405,ss,0.217784,0.253068,0.235426,4.15826,ngspice,ngspice-46 : Circuit level simulation program,gf180mcu-pdk/libraries/gf180mcu_fd_pr/latest/models/ngspice/sm141064.ngspice,nmos_3p3,pmos_3p3,off,0,0,4,SPICE_GF180MCU,ok,results/online_spice_deterministic/runs/seed_4/corner_ss/cell_balanced_space_filling/netlists/4414045_INV.cir,results/online_spice_deterministic/runs/seed_4/corner_ss/cell_balanced_space_filling/logs/4414045_INV.log,4,4,4,ss,cell_balanced_space_filling,45.0,12.0,0.3782560000254307,0.953954520606185,0.2003754432665506,0.953954520606185,existing_online_query
4411033,INV,I_to_Z,3.1126691137666005,0.28,2.2870958258924405,1.848201645646936,51.63007976967751,74.01292584983122,297.3632429657194,ss,0.257703,0.312354,0.2850285,8.31491,ngspice,ngspice-46 : Circuit level simulation program,gf180mcu-pdk/libraries/gf180mcu_fd_pr/latest/models/ngspice/sm141064.ngspice,nmos_3p3,pmos_3p3,off,0,0,4,SPICE_GF180MCU,ok,results/online_spice_deterministic/runs/seed_4/corner_ss/cell_balanced_random/netlists/4411033_INV.cir,results/online_spice_deterministic/runs/seed_4/corner_ss/cell_balanced_random/logs/4411033_INV.log,5,4,4,ss,cell_balanced_random,33.0,9.0,0.3781462080078199,,0.0992073099155484,0.419807094189237,existing_online_query
4413019,INV,I_to_Z,0.8704577108918269,0.28,1.6464235754266514,1.8191076278747007,99.1408795897102,44.75337466922067,243.4199367460568,ss,0.455947,0.735876,0.5959115,4.48757,ngspice,ngspice-46 : Circuit level simulation program,gf180mcu-pdk/libraries/gf180mcu_fd_pr/latest/models/ngspice/sm141064.ngspice,nmos_3p3,pmos_3p3,off,0,0,4,SPICE_GF180MCU,ok,results/online_spice_deterministic/runs/seed_4/corner_ss/uncertainty/netlists/4413019_INV.cir,results/online_spice_deterministic/runs/seed_4/corner_ss/uncertainty/logs/4413019_INV.log,6,4,4,ss,uncertainty,19.0,5.0,0.4416922090167645,0.8084843100996153,0.8084843100996153,0.3506324553312571,existing_online_query
4414021,INV,I_to_Z,1.5584627838234426,0.28,2.818865972751019,1.8373744135236976,-5.568306427488594,57.90124885923009,29.413144326915603,ss,0.2696489999999999,0.277722,0.2736855,6.25451,ngspice,ngspice-46 : Circuit level simulation program,gf180mcu-pdk/libraries/gf180mcu_fd_pr/latest/models/ngspice/sm141064.ngspice,nmos_3p3,pmos_3p3,off,0,0,4,SPICE_GF180MCU,ok,results/online_spice_deterministic/runs/seed_4/corner_ss/cell_balanced_space_filling/netlists/4414021_INV.cir,results/online_spice_deterministic/runs/seed_4/corner_ss/cell_balanced_space_filling/logs/4414021_INV.log,7,4,4,ss,cell_balanced_space_filling,21.0,6.0,0.3848941659962293,0.9612245361246752,0.6154682889507972,0.9612245361246752,existing_online_query
4411013,INV,I_to_Z,2.502264185726328,0.28,2.0774639289887387,1.773529971096701,-11.961824287067229,34.2535486391392,488.4931773305401,ss,0.237632,0.3110799999999999,0.274356,3.75021,ngspice,ngspice-46 : Circuit level simulation program,gf180mcu-pdk/libraries/gf180mcu_fd_pr/latest/models/ngspice/sm141064.ngspice,nmos_3p3,pmos_3p3,off,0,0,4,SPICE_GF180MCU,ok,results/online_spice_deterministic/runs/seed_4/corner_ss/cell_balanced_random/netlists/4411013_INV.cir,results/online_spice_deterministic/runs/seed_4/corner_ss/cell_balanced_random/logs/4411013_INV.log,8,4,4,ss,cell_balanced_random,13.0,4.0,0.3820939159777481,,0.144795222948025,0.3401389418976413,existing_online_query
4414009,INV,I_to_Z,1.0046017099701827,0.28,2.495391903356298,1.791547853956157,70.29859550999416,96.57824731169694,99.4731468746147,ss,0.744147,0.84117,0.7926584999999999,9.24251,ngspice,ngspice-46 : Circuit level simulation program,gf180mcu-pdk/libraries/gf180mcu_fd_pr/latest/models/ngspice/sm141064.ngspice,nmos_3p3,pmos_3p3,off,0,0,4,SPICE_GF180MCU,ok,results/online_spice_deterministic/runs/seed_4/corner_ss/cell_balanced_space_filling/netlists/4414009_INV.cir,results/online_spice_deterministic/runs/seed_4/corner_ss/cell_balanced_space_filling/logs/4414009_INV.log,9,4,4,ss,cell_balanced_space_filling,9.0,3.0,0.3700018750096205,1.0,0.7053523011756911,1.0,existing_online_query
