sample_id,cell_family,cell_variant,drive_strength,input_arc,inverting,input_count,transistor_count,total_n_width_um,total_p_width_um,Vdd,Temp,slew_ns,Cload_pF,corner,tphl_ns,tplh_ns,delay_avg_ns,power_avg_uW,spice_wall_time_s,status,fidelity,statistical_mode,sw_stat_global,sw_stat_mismatch,released_cdl_path,netlist_path,log_path,ngspice_returncode,candidate_id,seed,heldout_corner,query_order,batch_index,acquisition_phase
21500011,NOR2,NOR2_1,1,A1_to_ZN__A2=0,1,2,4,1.13,2.44,1.704339354827709,-16.704436583477616,3.2538973590604203,0.19250832615905727,typical,4.687930000000001,15.385499999999999,10.036715,3.52988,0.5541247919900343,ok,SPICE_GF180MCU_RELEASED_CDL,off,0,0,gf180mcu-pdk/libraries/gf180mcu_fd_sc_mcu7t5v0/latest/cells/nor2/gf180mcu_fd_sc_mcu7t5v0__nor2_1.cdl,results/prospective_locked_confirmation/gf180/seed_5/corner_typical/netlists/21500011_nor2_1_typical.cir,results/prospective_locked_confirmation/gf180/seed_5/corner_typical/logs/21500011_nor2_1_typical.log,0,28,5,typical,11,1,stopping_evaluation
21500012,NOR2,NOR2_4,4,A1_to_ZN__A2=0,1,2,16,4.52,9.76,1.9296922130963603,94.91750632499458,11.633792542828262,0.030426037929667603,typical,0.578737,2.65048,1.6146085000000001,1.16626,1.5190480829915032,ok,SPICE_GF180MCU_RELEASED_CDL,off,0,0,gf180mcu-pdk/libraries/gf180mcu_fd_sc_mcu7t5v0/latest/cells/nor2/gf180mcu_fd_sc_mcu7t5v0__nor2_4.cdl,results/prospective_locked_confirmation/gf180/seed_5/corner_typical/netlists/21500012_nor2_4_typical.cir,results/prospective_locked_confirmation/gf180/seed_5/corner_typical/logs/21500012_nor2_4_typical.log,0,33,5,typical,12,1,stopping_evaluation
21500013,OAI21,OAI21_1,1,"A1_to_ZN__A2=0,B=1",1,3,6,2.46,3.57,1.8684372356815313,110.951735098834,0.9705875208782266,0.20141053958814512,typical,5.7118199999999995,14.6313,10.171560000000001,4.46446,0.7992035839706659,ok,SPICE_GF180MCU_RELEASED_CDL,off,0,0,gf180mcu-pdk/libraries/gf180mcu_fd_sc_mcu7t5v0/latest/cells/oai21/gf180mcu_fd_sc_mcu7t5v0__oai21_1.cdl,results/prospective_locked_confirmation/gf180/seed_5/corner_typical/netlists/21500013_oai21_1_typical.cir,results/prospective_locked_confirmation/gf180/seed_5/corner_typical/logs/21500013_oai21_1_typical.log,0,60,5,typical,13,1,stopping_evaluation
21500014,OAI21,OAI21_4,4,"A1_to_ZN__A2=0,B=1",1,3,24,9.840000000000002,12.580000000000004,1.6512601649582201,105.1246945694061,0.7966541782260078,0.021996942864647033,typical,0.45422,1.02337,0.738795,0.544892,1.9440938340267166,ok,SPICE_GF180MCU_RELEASED_CDL,off,0,0,gf180mcu-pdk/libraries/gf180mcu_fd_sc_mcu7t5v0/latest/cells/oai21/gf180mcu_fd_sc_mcu7t5v0__oai21_4.cdl,results/prospective_locked_confirmation/gf180/seed_5/corner_typical/netlists/21500014_oai21_4_typical.cir,results/prospective_locked_confirmation/gf180/seed_5/corner_typical/logs/21500014_oai21_4_typical.log,0,71,5,typical,14,1,stopping_evaluation
21500015,XOR2,XOR2_1,1,A1_to_Z__A2=0,0,2,10,3.1799999999999997,4.779999999999999,1.9623522319138182,76.26377002351147,11.94422128290438,0.0031383270769860337,typical,2.79267,0.594981,1.6938255,0.379624,1.0485220840200782,ok,SPICE_GF180MCU_RELEASED_CDL,off,0,0,gf180mcu-pdk/libraries/gf180mcu_fd_sc_mcu7t5v0/latest/cells/xor2/gf180mcu_fd_sc_mcu7t5v0__xor2_1.cdl,results/prospective_locked_confirmation/gf180/seed_5/corner_typical/netlists/21500015_xor2_1_typical.cir,results/prospective_locked_confirmation/gf180/seed_5/corner_typical/logs/21500015_xor2_1_typical.log,0,36,5,typical,15,1,stopping_evaluation
21500016,XOR2,XOR2_4,4,A1_to_Z__A2=0,0,2,18,6.46,8.935,1.9732246393330262,106.84734473333944,1.390693631685536,0.18509957527848578,typical,2.45037,2.31397,2.38217,5.0438,1.424776915984694,ok,SPICE_GF180MCU_RELEASED_CDL,off,0,0,gf180mcu-pdk/libraries/gf180mcu_fd_sc_mcu7t5v0/latest/cells/xor2/gf180mcu_fd_sc_mcu7t5v0__xor2_4.cdl,results/prospective_locked_confirmation/gf180/seed_5/corner_typical/netlists/21500016_xor2_4_typical.cir,results/prospective_locked_confirmation/gf180/seed_5/corner_typical/logs/21500016_xor2_4_typical.log,0,46,5,typical,16,1,stopping_evaluation
21500017,AOI21,AOI21_1,1,"A1_to_ZN__A2=1,B=0",1,3,6,2.15,3.6450000000000005,1.6596377737388581,82.73278857534847,6.899398671154146,0.0351295609986018,typical,2.62371,5.12727,3.8754899999999997,0.648155,0.742207957955543,ok,SPICE_GF180MCU_RELEASED_CDL,off,0,0,gf180mcu-pdk/libraries/gf180mcu_fd_sc_mcu7t5v0/latest/cells/aoi21/gf180mcu_fd_sc_mcu7t5v0__aoi21_1.cdl,results/prospective_locked_confirmation/gf180/seed_5/corner_typical/netlists/21500017_aoi21_1_typical.cir,results/prospective_locked_confirmation/gf180/seed_5/corner_typical/logs/21500017_aoi21_1_typical.log,0,49,5,typical,17,2,stopping_evaluation
21500018,AOI21,AOI21_4,4,"A1_to_ZN__A2=1,B=0",1,3,24,8.6,14.399999999999997,1.8279515756100477,-29.172590535484144,8.416881972981585,0.14748700153791303,typical,2.4652700000000003,4.75986,3.612565,3.25838,2.290290958015248,ok,SPICE_GF180MCU_RELEASED_CDL,off,0,0,gf180mcu-pdk/libraries/gf180mcu_fd_sc_mcu7t5v0/latest/cells/aoi21/gf180mcu_fd_sc_mcu7t5v0__aoi21_4.cdl,results/prospective_locked_confirmation/gf180/seed_5/corner_typical/netlists/21500018_aoi21_4_typical.cir,results/prospective_locked_confirmation/gf180/seed_5/corner_typical/logs/21500018_aoi21_4_typical.log,0,58,5,typical,18,2,stopping_evaluation
21500019,INV,INV_1,1,I_to_ZN,1,1,2,0.82,1.22,1.9614767331242915,100.11729128587385,2.443077462818905,0.12798503846925688,typical,2.32662,4.62666,3.4766399999999997,3.12488,0.3542675419594161,ok,SPICE_GF180MCU_RELEASED_CDL,off,0,0,gf180mcu-pdk/libraries/gf180mcu_fd_sc_mcu7t5v0/latest/cells/inv/gf180mcu_fd_sc_mcu7t5v0__inv_1.cdl,results/prospective_locked_confirmation/gf180/seed_5/corner_typical/netlists/21500019_inv_1_typical.cir,results/prospective_locked_confirmation/gf180/seed_5/corner_typical/logs/21500019_inv_1_typical.log,0,1,5,typical,19,2,stopping_evaluation
21500020,INV,INV_4,4,I_to_ZN,1,1,8,3.28,4.88,1.6335464799002473,24.237791700110435,0.6134547156558213,0.15941926054164623,typical,0.843707,1.93471,1.3892084999999998,2.7797,0.8756971249822527,ok,SPICE_GF180MCU_RELEASED_CDL,off,0,0,gf180mcu-pdk/libraries/gf180mcu_fd_sc_mcu7t5v0/latest/cells/inv/gf180mcu_fd_sc_mcu7t5v0__inv_4.cdl,results/prospective_locked_confirmation/gf180/seed_5/corner_typical/netlists/21500020_inv_4_typical.cir,results/prospective_locked_confirmation/gf180/seed_5/corner_typical/logs/21500020_inv_4_typical.log,0,10,5,typical,20,2,stopping_evaluation
21500021,MUX2,MUX2_1,1,"I0_to_Z__I1=0,S=0",0,3,12,2.6199999999999997,4.295000000000001,1.6543359456189692,-0.21793092149295745,8.001769595465277,0.11085553422397937,typical,4.909529999999999,5.65999,5.28476,2.01006,1.3596496250247583,ok,SPICE_GF180MCU_RELEASED_CDL,off,0,0,gf180mcu-pdk/libraries/gf180mcu_fd_sc_mcu7t5v0/latest/cells/mux2/gf180mcu_fd_sc_mcu7t5v0__mux2_1.cdl,results/prospective_locked_confirmation/gf180/seed_5/corner_typical/netlists/21500021_mux2_1_typical.cir,results/prospective_locked_confirmation/gf180/seed_5/corner_typical/logs/21500021_mux2_1_typical.log,0,77,5,typical,21,2,stopping_evaluation
21500022,MUX2,MUX2_4,4,"I0_to_Z__I1=0,S=0",0,3,18,7.380000000000001,10.98,1.6928762820738248,-15.705087326425495,8.8475330475826,0.056917786895575195,typical,4.076490000000001,2.64979,3.36314,1.39116,1.7959927920019254,ok,SPICE_GF180MCU_RELEASED_CDL,off,0,0,gf180mcu-pdk/libraries/gf180mcu_fd_sc_mcu7t5v0/latest/cells/mux2/gf180mcu_fd_sc_mcu7t5v0__mux2_4.cdl,results/prospective_locked_confirmation/gf180/seed_5/corner_typical/netlists/21500022_mux2_4_typical.cir,results/prospective_locked_confirmation/gf180/seed_5/corner_typical/logs/21500022_mux2_4_typical.log,0,82,5,typical,22,2,stopping_evaluation
