support_budget,prequential_delay_nmae,prediction_change_nmae,coverage_radius_ratio,eligible,two_consecutive_eligible
0,,,1.0,False,False
16,0.3434388167251676,0.051091301912661514,0.8954789567145253,False,False
32,0.2342763322394231,0.09695351937045628,0.6162657826145703,False,False
48,0.3183530824723608,0.08030025569305069,0.5279208793131448,False,False
64,0.18172209432776623,0.02498108662334869,0.44374026545721984,True,False
80,0.17814622364071303,0.02018688871310458,0.3598521229741428,True,True
