sample_id,cell_family,cell_variant,drive_strength,input_arc,inverting,input_count,transistor_count,total_n_width_um,total_p_width_um,Vdd,Temp,slew_ns,Cload_pF,corner,tphl_ns,tplh_ns,delay_avg_ns,power_avg_uW,spice_wall_time_s,status,fidelity,statistical_mode,sw_stat_global,sw_stat_mismatch,released_cdl_path,netlist_path,log_path,ngspice_returncode,candidate_id,seed,heldout_corner,query_order,batch_index,acquisition_phase
21520011,NOR2,NOR2_1,1,A1_to_ZN__A2=0,1,2,4,1.13,2.44,1.914642120089686,107.7439130596369,0.3556561725674876,0.022921304054172087,ss,0.8713080000000001,2.79724,1.8342740000000002,0.57116,0.5887131250347011,ok,SPICE_GF180MCU_RELEASED_CDL,off,0,0,gf180mcu-pdk/libraries/gf180mcu_fd_sc_mcu7t5v0/latest/cells/nor2/gf180mcu_fd_sc_mcu7t5v0__nor2_1.cdl,results/prospective_locked_confirmation/gf180/seed_5/corner_ss/netlists/21520011_nor2_1_ss.cir,results/prospective_locked_confirmation/gf180/seed_5/corner_ss/logs/21520011_nor2_1_ss.log,0,24,5,ss,11,1,stopping_evaluation
21520012,NOR2,NOR2_4,4,A1_to_ZN__A2=0,1,2,16,4.52,9.76,1.6358410382264095,45.925527140986915,1.3264082646465696,0.0525481069426217,ss,0.970301,2.80785,1.8890755000000001,0.995515,1.6153442499926314,ok,SPICE_GF180MCU_RELEASED_CDL,off,0,0,gf180mcu-pdk/libraries/gf180mcu_fd_sc_mcu7t5v0/latest/cells/nor2/gf180mcu_fd_sc_mcu7t5v0__nor2_4.cdl,results/prospective_locked_confirmation/gf180/seed_5/corner_ss/netlists/21520012_nor2_4_ss.cir,results/prospective_locked_confirmation/gf180/seed_5/corner_ss/logs/21520012_nor2_4_ss.log,0,33,5,ss,12,1,stopping_evaluation
21520013,OAI21,OAI21_1,1,"A1_to_ZN__A2=0,B=1",1,3,6,2.46,3.57,1.6987925580202805,123.67749585461931,11.103874894574075,0.014758911377842496,ss,2.95206,5.60973,4.280895,0.308805,0.7822558750049211,ok,SPICE_GF180MCU_RELEASED_CDL,off,0,0,gf180mcu-pdk/libraries/gf180mcu_fd_sc_mcu7t5v0/latest/cells/oai21/gf180mcu_fd_sc_mcu7t5v0__oai21_1.cdl,results/prospective_locked_confirmation/gf180/seed_5/corner_ss/netlists/21520013_oai21_1_ss.cir,results/prospective_locked_confirmation/gf180/seed_5/corner_ss/logs/21520013_oai21_1_ss.log,0,65,5,ss,13,1,stopping_evaluation
21520014,OAI21,OAI21_4,4,"A1_to_ZN__A2=0,B=1",1,3,24,9.840000000000002,12.580000000000004,1.6555107914188603,122.53631065189276,2.654246889110791,0.003982968308844689,ss,0.6744479999999999,1.33096,1.0027039999999998,0.208743,2.0207805419922806,ok,SPICE_GF180MCU_RELEASED_CDL,off,0,0,gf180mcu-pdk/libraries/gf180mcu_fd_sc_mcu7t5v0/latest/cells/oai21/gf180mcu_fd_sc_mcu7t5v0__oai21_4.cdl,results/prospective_locked_confirmation/gf180/seed_5/corner_ss/netlists/21520014_oai21_4_ss.cir,results/prospective_locked_confirmation/gf180/seed_5/corner_ss/logs/21520014_oai21_4_ss.log,0,71,5,ss,14,1,stopping_evaluation
21520015,XOR2,XOR2_1,1,A1_to_Z__A2=0,0,2,10,3.1799999999999997,4.779999999999999,1.7063679212125642,-11.549957837864913,0.7795422361458212,0.1846461789432533,ss,6.29042,25.6764,15.98341,3.46628,1.085247959010303,ok,SPICE_GF180MCU_RELEASED_CDL,off,0,0,gf180mcu-pdk/libraries/gf180mcu_fd_sc_mcu7t5v0/latest/cells/xor2/gf180mcu_fd_sc_mcu7t5v0__xor2_1.cdl,results/prospective_locked_confirmation/gf180/seed_5/corner_ss/netlists/21520015_xor2_1_ss.cir,results/prospective_locked_confirmation/gf180/seed_5/corner_ss/logs/21520015_xor2_1_ss.log,0,38,5,ss,15,1,stopping_evaluation
21520016,XOR2,XOR2_4,4,A1_to_Z__A2=0,0,2,18,6.46,8.935,1.622230950555349,117.38569487045842,2.694816285704723,0.11163199134635361,ss,5.29039,4.23657,4.76348,2.17054,1.5225039169890806,ok,SPICE_GF180MCU_RELEASED_CDL,off,0,0,gf180mcu-pdk/libraries/gf180mcu_fd_sc_mcu7t5v0/latest/cells/xor2/gf180mcu_fd_sc_mcu7t5v0__xor2_4.cdl,results/prospective_locked_confirmation/gf180/seed_5/corner_ss/netlists/21520016_xor2_4_ss.cir,results/prospective_locked_confirmation/gf180/seed_5/corner_ss/logs/21520016_xor2_4_ss.log,0,45,5,ss,16,1,stopping_evaluation
21520017,AOI21,AOI21_1,1,"A1_to_ZN__A2=1,B=0",1,3,6,2.15,3.6450000000000005,1.938020278087127,61.14819343824749,9.658459934662345,0.11994031113593369,ss,6.69183,15.003400000000001,10.847615000000001,2.87511,0.7580794169916771,ok,SPICE_GF180MCU_RELEASED_CDL,off,0,0,gf180mcu-pdk/libraries/gf180mcu_fd_sc_mcu7t5v0/latest/cells/aoi21/gf180mcu_fd_sc_mcu7t5v0__aoi21_1.cdl,results/prospective_locked_confirmation/gf180/seed_5/corner_ss/netlists/21520017_aoi21_1_ss.cir,results/prospective_locked_confirmation/gf180/seed_5/corner_ss/logs/21520017_aoi21_1_ss.log,0,53,5,ss,17,2,stopping_evaluation
21520018,AOI21,AOI21_4,4,"A1_to_ZN__A2=1,B=0",1,3,24,8.6,14.399999999999997,1.789639109428522,-28.15114875553266,10.597750380509684,0.15126995535994114,ss,4.220149999999999,7.91502,6.067585,3.19377,2.3809889999683946,ok,SPICE_GF180MCU_RELEASED_CDL,off,0,0,gf180mcu-pdk/libraries/gf180mcu_fd_sc_mcu7t5v0/latest/cells/aoi21/gf180mcu_fd_sc_mcu7t5v0__aoi21_4.cdl,results/prospective_locked_confirmation/gf180/seed_5/corner_ss/netlists/21520018_aoi21_4_ss.cir,results/prospective_locked_confirmation/gf180/seed_5/corner_ss/logs/21520018_aoi21_4_ss.log,0,59,5,ss,18,2,stopping_evaluation
21520019,INV,INV_1,1,I_to_ZN,1,1,2,0.82,1.22,1.9193498231498383,121.56970454219041,3.3765786178216723,0.1873956763757695,ss,4.95317,10.6912,7.822185,4.35851,0.3464274159632623,ok,SPICE_GF180MCU_RELEASED_CDL,off,0,0,gf180mcu-pdk/libraries/gf180mcu_fd_sc_mcu7t5v0/latest/cells/inv/gf180mcu_fd_sc_mcu7t5v0__inv_1.cdl,results/prospective_locked_confirmation/gf180/seed_5/corner_ss/netlists/21520019_inv_1_ss.cir,results/prospective_locked_confirmation/gf180/seed_5/corner_ss/logs/21520019_inv_1_ss.log,0,2,5,ss,19,2,stopping_evaluation
21520020,INV,INV_4,4,I_to_ZN,1,1,8,3.28,4.88,1.8682380264128078,16.608972707774292,10.485364746444953,0.03827906602994298,ss,1.65348,3.39118,2.5223299999999997,0.935797,0.9173923750058748,ok,SPICE_GF180MCU_RELEASED_CDL,off,0,0,gf180mcu-pdk/libraries/gf180mcu_fd_sc_mcu7t5v0/latest/cells/inv/gf180mcu_fd_sc_mcu7t5v0__inv_4.cdl,results/prospective_locked_confirmation/gf180/seed_5/corner_ss/netlists/21520020_inv_4_ss.cir,results/prospective_locked_confirmation/gf180/seed_5/corner_ss/logs/21520020_inv_4_ss.log,0,6,5,ss,20,2,stopping_evaluation
