target,strategy,labeled_rows,runs,median_r2,min_r2,median_mae,median_mape_pct
delay_avg_ns,hybrid_random_then_uncertainty,20,5,0.36183065442985396,0.16701645711026136,0.10601505165632237,45.131644363366405
delay_avg_ns,hybrid_random_then_uncertainty,40,5,0.5292155878711878,0.20709285258605648,0.099883191492863,36.33075304920714
delay_avg_ns,hybrid_random_then_uncertainty,60,5,0.6136827128666037,0.4079265902522645,0.08203666303433729,32.56853518284177
delay_avg_ns,hybrid_random_then_uncertainty,80,5,0.6586133494685547,0.33786597551583,0.07939185432692109,26.950463157079728
delay_avg_ns,hybrid_random_then_uncertainty,100,5,0.719124947277341,0.7114669379206107,0.07508524589182373,26.980148222390866
delay_avg_ns,hybrid_random_then_uncertainty,120,5,0.7354729724778764,0.7016804644950706,0.0678728131802791,26.782553236526162
delay_avg_ns,hybrid_random_then_uncertainty,140,5,0.7574489219283561,0.7095943038599939,0.06547463177197782,26.25377440014581
delay_avg_ns,hybrid_random_then_uncertainty,160,5,0.7764093074370343,0.7434336476749841,0.06363578482212093,25.760859661230295
delay_avg_ns,hybrid_random_then_uncertainty,180,5,0.7730585355570005,0.7468707003443145,0.06059463211268094,24.658955981702963
delay_avg_ns,hybrid_random_then_uncertainty,200,5,0.7825793243998045,0.7644242233294805,0.06062780499935413,23.302543976535404
delay_avg_ns,random,20,5,0.3618306544298542,0.16701645711026147,0.10601505165632236,45.131644363366405
delay_avg_ns,random,40,5,0.5292155878711878,0.20709285258605648,0.09988319149286301,36.330753049207146
delay_avg_ns,random,60,5,0.6136827128666037,0.4079265902522645,0.08203666303433732,32.568535182841785
delay_avg_ns,random,80,5,0.6586133494685548,0.3378659755158301,0.07939185432692109,26.950463157079724
delay_avg_ns,random,100,5,0.6866981036308895,0.5563049165845293,0.07272636576657854,25.512721050830166
delay_avg_ns,random,120,5,0.6993947745138442,0.5958871461282138,0.07355616378892818,25.56893131051633
delay_avg_ns,random,140,5,0.7010972762065901,0.6781261879189225,0.06782296537583701,22.278004266454072
delay_avg_ns,random,160,5,0.7257009400774028,0.6890699414063777,0.06239260281110748,23.697613799909693
delay_avg_ns,random,180,5,0.7330692716126639,0.6870521468910199,0.06190269431991888,22.46949761149372
delay_avg_ns,random,200,5,0.7593929289624268,0.7202628147531536,0.06310872908159115,21.537293288841898
delay_avg_ns,uncertainty,20,5,0.3618306544298542,0.16701645711026147,0.10601505165632236,45.131644363366405
delay_avg_ns,uncertainty,40,5,0.489045194932172,0.42386974806452593,0.09162484133279594,34.69834101045958
delay_avg_ns,uncertainty,60,5,0.5708732324563457,0.37299612041928465,0.09096551218253711,36.3340966134693
delay_avg_ns,uncertainty,80,5,0.6705834015448754,0.582225825707931,0.07443614087351708,32.94999108048282
delay_avg_ns,uncertainty,100,5,0.7236523642199613,0.6990814887704169,0.06910872053697503,29.877920716267102
delay_avg_ns,uncertainty,120,5,0.7593309093872774,0.6894496292747367,0.07385339740473584,31.70601405094095
delay_avg_ns,uncertainty,140,5,0.7808601790388778,0.6777124563045545,0.06937361636883578,30.56399380267981
delay_avg_ns,uncertainty,160,5,0.7601909756671495,0.7084350106647058,0.06979044832899753,27.026073018581894
