target,strategy,seed,labeled_rows,test_rows,r2,mae,rmse,mape_pct
delay_avg_ns,random,0,20,64,0.37769694072871773,0.08308630024164498,0.1295313975484148,33.389434130479486
delay_avg_ns,random,0,40,64,0.3599291116615423,0.08685269636025596,0.1313675561715594,35.34418792051774
delay_avg_ns,random,0,60,64,0.4079265902522645,0.08025307296673487,0.12634610611560468,32.88248329679081
delay_avg_ns,random,0,80,64,0.6800381882667128,0.06443932808663762,0.09288020320556382,26.610692377653557
delay_avg_ns,random,0,100,64,0.6866981036308895,0.0639049127252778,0.09190848240284756,24.43659020463767
delay_avg_ns,random,0,120,64,0.6993947745138442,0.05914917468256295,0.09002691042782107,21.700079000141944
delay_avg_ns,random,0,140,64,0.7010972762065901,0.06085367737489923,0.0897716111404179,22.278004266454072
delay_avg_ns,random,0,160,64,0.7099689870464744,0.05900134408107019,0.08842932357499665,21.543388354268533
delay_avg_ns,random,0,180,64,0.7315538811199385,0.05754951430009332,0.08507513520847369,20.474463894774047
delay_avg_ns,random,0,200,64,0.7593929289624268,0.053677794690114494,0.08054308802479053,20.344576247020505
delay_avg_ns,uncertainty,0,20,64,0.37769694072871773,0.08308630024164498,0.1295313975484148,33.38943413047948
delay_avg_ns,uncertainty,0,40,64,0.489045194932172,0.07410182298193618,0.11737222219121765,32.34445658738417
delay_avg_ns,uncertainty,0,60,64,0.5708732324563457,0.0850639087318561,0.10756398560261732,37.6284865380234
delay_avg_ns,uncertainty,0,80,64,0.6705834015448754,0.07443614087351708,0.09424250524952932,34.26132149359063
delay_avg_ns,uncertainty,0,100,64,0.6990814887704169,0.06750580382678792,0.09007381048231969,29.877920716267102
delay_avg_ns,uncertainty,0,120,64,0.6894496292747367,0.07196705692088554,0.09150400633767511,32.409454403992086
delay_avg_ns,uncertainty,0,140,64,0.6777124563045545,0.07168142988726126,0.09321715488097317,30.56399380267981
delay_avg_ns,uncertainty,0,160,64,0.7223210423153718,0.06448907474507443,0.0865257890657724,27.026073018581894
delay_avg_ns,uncertainty,0,180,64,0.7597250407704826,0.058654415289575476,0.0804874817048657,24.38871120588576
delay_avg_ns,uncertainty,0,200,64,0.726857889041574,0.062088102120677814,0.08581602892896424,24.78595308828142
delay_avg_ns,hybrid_random_then_uncertainty,0,20,64,0.37769694072871784,0.08308630024164497,0.12953139754841478,33.38943413047948
delay_avg_ns,hybrid_random_then_uncertainty,0,40,64,0.3599291116615423,0.08685269636025597,0.1313675561715594,35.34418792051775
delay_avg_ns,hybrid_random_then_uncertainty,0,60,64,0.4079265902522645,0.08025307296673487,0.12634610611560468,32.88248329679082
delay_avg_ns,hybrid_random_then_uncertainty,0,80,64,0.6800381882667127,0.0644393280866376,0.09288020320556382,26.61069237765355
delay_avg_ns,hybrid_random_then_uncertainty,0,100,64,0.7114669379206107,0.06600425936885904,0.08820066826653954,27.290997866802925
delay_avg_ns,hybrid_random_then_uncertainty,0,120,64,0.7016804644950706,0.06584523248490508,0.08968399180836739,25.77256576959033
delay_avg_ns,hybrid_random_then_uncertainty,0,140,64,0.7095943038599939,0.06378804469101357,0.08848642485945099,24.416646210313274
delay_avg_ns,hybrid_random_then_uncertainty,0,160,64,0.7434336476749841,0.06363578482212093,0.08317138491756958,25.760859661230295
delay_avg_ns,hybrid_random_then_uncertainty,0,180,64,0.7468707003443145,0.06005695680019762,0.08261241005615115,24.015124006514842
delay_avg_ns,hybrid_random_then_uncertainty,0,200,64,0.7659858135750406,0.05702590280428964,0.07943194121632452,22.788177472421978
power_avg_uW,random,0,20,64,0.6933935136837677,1.2159467798936632,1.7342723965953222,22.79468307692393
power_avg_uW,random,0,40,64,0.7014174726422283,1.2261180536548246,1.7114288059275924,22.538223762704973
power_avg_uW,random,0,60,64,0.733450367708649,1.1612779306508632,1.617021098501824,21.978113195797157
power_avg_uW,random,0,80,64,0.7575753443292179,1.0712841880039885,1.542108874190102,19.978265362788907
power_avg_uW,random,0,100,64,0.7821360629653801,1.026553150920036,1.4619055551860334,20.306587355517205
power_avg_uW,random,0,120,64,0.7842445427765004,0.9905850168474175,1.4548142197961864,18.749093639047356
power_avg_uW,random,0,140,64,0.7934704217360099,1.0063677706991037,1.423369880921696,19.698147889988203
power_avg_uW,random,0,160,64,0.8167764701505313,0.9332827132970752,1.3406557200288927,17.62957143707774
power_avg_uW,random,0,180,64,0.8407798286100273,0.8986102036581209,1.2497573114296514,16.997930930719708
power_avg_uW,random,0,200,64,0.8786381866112656,0.8032722983327608,1.0911078269902668,16.192498681927514
power_avg_uW,uncertainty,0,20,64,0.6933935136837677,1.2159467798936636,1.7342723965953222,22.79468307692393
power_avg_uW,uncertainty,0,40,64,0.7156050071262876,1.190600870958939,1.6702735952201442,22.140808746566996
power_avg_uW,uncertainty,0,60,64,0.7901103602869767,0.9858753642877812,1.4349016786774436,19.77043049880723
power_avg_uW,uncertainty,0,80,64,0.8306750063066317,1.0291300203481055,1.288804894366236,26.45138835366781
power_avg_uW,uncertainty,0,100,64,0.8693712962862306,0.8897339056346109,1.1319987602718495,19.768944671321684
power_avg_uW,uncertainty,0,120,64,0.8795087830506844,0.8372641579173901,1.0871872185707763,17.801477704793754
power_avg_uW,uncertainty,0,140,64,0.8625748497595538,0.8910203327727142,1.1610736066509586,19.38155081960282
power_avg_uW,uncertainty,0,160,64,0.8840132116309403,0.8076360418677571,1.0666720224648218,17.87067814841074
power_avg_uW,uncertainty,0,180,64,0.889556585644109,0.7838099215565729,1.0408701518722547,16.380348088362013
power_avg_uW,uncertainty,0,200,64,0.889485502406169,0.7877810432226848,1.041205058755945,16.357505618512775
power_avg_uW,hybrid_random_then_uncertainty,0,20,64,0.6933935136837677,1.2159467798936636,1.7342723965953222,22.79468307692393
power_avg_uW,hybrid_random_then_uncertainty,0,40,64,0.7014174726422284,1.2261180536548246,1.7114288059275922,22.53822376270497
power_avg_uW,hybrid_random_then_uncertainty,0,60,64,0.733450367708649,1.1612779306508632,1.617021098501824,21.978113195797157
power_avg_uW,hybrid_random_then_uncertainty,0,80,64,0.7575753443292179,1.0712841880039885,1.542108874190102,19.97826536278891
power_avg_uW,hybrid_random_then_uncertainty,0,100,64,0.7735529424851486,0.9997233113658719,1.4904245086790031,19.104245501019577
power_avg_uW,hybrid_random_then_uncertainty,0,120,64,0.7835836495720726,0.9822795371765465,1.4570406795122783,19.682639951193355
power_avg_uW,hybrid_random_then_uncertainty,0,140,64,0.79461486937477,0.9546595917624443,1.4194207244529462,19.615092935149615
power_avg_uW,hybrid_random_then_uncertainty,0,160,64,0.811912617023121,0.8901230626687356,1.3583336966761124,18.076528045348923
power_avg_uW,hybrid_random_then_uncertainty,0,180,64,0.814721628184983,0.9267382949367562,1.3481524504269298,20.04360871593713
power_avg_uW,hybrid_random_then_uncertainty,0,200,64,0.8649936072930545,0.7907981062208016,1.1508104829342019,15.930546735921789
delay_avg_ns,random,1,20,64,0.16701645711026147,0.10601505165632236,0.16575168393714196,35.904817726976646
delay_avg_ns,random,1,40,64,0.20709285258605648,0.10858871922247543,0.16171522338359684,36.74765631070303
delay_avg_ns,random,1,60,64,0.6400425734138949,0.08203666303433732,0.10895955172115754,31.839569989117866
delay_avg_ns,random,1,80,64,0.5673244135521358,0.09256223035272768,0.11945956642635262,33.79095433850111
delay_avg_ns,random,1,100,64,0.7450013348564813,0.07272636576657854,0.09170831038555122,28.786451259501778
