experiment,median_spearman,median_kendall_tau,median_precision_at_k_top10,median_recall_at_k_top10,median_precision_at_k_top20,median_recall_at_k_top20,median_ndcg_at_k,median_median_actual_rank_selected
v2_repeated_holdout,0.9773580586080585,0.8874007936507937,0.5384615384615384,1.0,0.8846153846153846,0.8846153846153846,0.9955712559519474,7.0
v2_train_v3_validation,0.987042912512641,0.9030793319415448,0.5,1.0,0.9479166666666666,0.9479166666666666,0.9983515209938228,48.5
