seed,target,model,train_rows,test_rows,fit_seconds,predict_seconds,predict_us_per_row,r2,mae,rmse,mape_pct,p90_abs_err,p95_abs_err,max_abs_err
0,delay_avg_ns,Ridge,256,64,0.010191707988269627,0.0010885419906117022,17.008468603307847,0.6924388075305936,0.07113865602981352,0.09106255916933981,32.22708569626609,0.12693292188920885,0.14354746183376457,0.3528775350742046
0,delay_avg_ns,SVR_RBF,256,64,0.00533733400516212,0.00121870799921453,19.04231248772703,0.8428313666039774,0.04716901774429234,0.06509640751156201,20.599971015593827,0.08739211183022935,0.12030819803548169,0.28351482877438805
0,delay_avg_ns,GaussianProcess,256,64,0.09789745800662786,0.0023860830115154386,37.28254705492873,0.9197627092794729,0.03504047041084496,0.04651169978566015,14.074533071634582,0.06927851984141112,0.08341412627642784,0.14599357951122394
0,delay_avg_ns,RandomForest,256,64,0.1176700409851037,0.014957750012399629,233.7148439437442,0.7789772245219442,0.05230829228533216,0.0771956089387755,18.705289838990247,0.11533764540653146,0.14031667955831356,0.3310544739146827
0,delay_avg_ns,ExtraTrees,256,64,0.06460387498373166,0.015065042010974139,235.39128142147092,0.8709964707528479,0.04132407014627976,0.058975941012569776,16.24491167582905,0.09407674361111114,0.10271599329999997,0.27753308983333447
0,delay_avg_ns,GradientBoosting,256,64,0.04120870798942633,0.0015631249989382923,24.423828108410817,0.851072442682546,0.0400040772425159,0.06336677672377641,13.9251487817723,0.0915146610977999,0.11292971314450953,0.3320029061705463
0,delay_avg_ns,HistGradientBoosting,256,64,0.27688900000066496,0.006769041996449232,105.76628119451925,0.8449285917651778,0.041988462882674674,0.06466063252721588,14.405194435167168,0.08674122342641281,0.14309090054323703,0.23749226935818435
0,delay_avg_ns,MLP,256,64,0.01313466698047705,0.0011237910075578839,17.559234493091935,0.07207592027217258,0.12120743808166828,0.15817225480410377,53.99754955737124,0.252361999998412,0.2905477893095599,0.5401315194272139
0,delay_avg_ns,XGBoost,256,64,0.03473445901181549,0.002234999992651865,34.92187488518539,0.8773619319908603,0.036563299148960414,0.05750250088970765,12.91634477754473,0.07900894916572573,0.10434857079572668,0.2975283977012635
0,delay_avg_ns,LightGBM,256,64,0.044169082975713536,0.0018297500209882855,28.58984407794196,0.8778006018497622,0.039534069680838536,0.05739956706348832,13.979707930772209,0.07589887265259229,0.10712485249369395,0.23170842229704314
