target,model,runs,median_r2,q25_r2,q75_r2,median_mae,median_p95_abs_err,median_max_abs_err,median_fit_seconds,median_predict_us_per_row
delay_avg_ns,CatBoost,20,0.9162749444568403,0.8754855972920178,0.9262713352671381,0.034735263245603006,0.0920394333947914,0.32230235188007283,0.05099633350619115,24.129890562107903
delay_avg_ns,ExtraTrees,20,0.8643844195673972,0.8170595298206977,0.8838610154372109,0.04958597800285528,0.1318857649184025,0.35752237816666627,0.06493510449945461,231.75324963631283
delay_avg_ns,GaussianProcess,20,0.8965943126633684,0.8772482305806706,0.9154797618819368,0.039951657816607804,0.11799251248743925,0.3315999805285356,0.047204229500493966,22.05533587584796
delay_avg_ns,GradientBoosting,20,0.8807097391838321,0.8587605588854905,0.9000329022743059,0.04750499704122883,0.16387702446508143,0.32747781054071823,0.03671716700773686,19.46224233506655
delay_avg_ns,HistGradientBoosting,20,0.8542470559782668,0.8399530254448867,0.8686424643279482,0.049493231306794644,0.15032617771518664,0.36323698323630293,0.2657408750092145,87.65624988882337
delay_avg_ns,LightGBM,20,0.8550124480068099,0.8378846927795762,0.872698929856079,0.046304069855143126,0.15016605722815496,0.36817952116744895,0.013395207992289215,24.734374846957508
delay_avg_ns,MLP,20,0.7595975644544182,0.7069270302502869,0.7860196701270215,0.07410101224934897,0.1862506852462656,0.46445904784788833,0.03984077100176364,19.161781210641493
delay_avg_ns,RandomForest,20,0.796253810081152,0.7735953001118827,0.82589692625245,0.06086805740698591,0.18372622423323653,0.4093220357347885,0.1051314375072252,219.41113277534896
delay_avg_ns,Ridge,20,0.6893913449485498,0.664374394239765,0.7343885370585121,0.08284579783417922,0.16029535597815295,0.5857446724781801,0.001986521005164832,14.67252332076896
delay_avg_ns,SVR_RBF,20,0.8318780141740373,0.8044009059168269,0.8614309811619097,0.05405617601230128,0.1429752281106733,0.40208844580094183,0.0038364164938684553,19.565093680284917
delay_avg_ns,XGBoost,20,0.8846196907395617,0.8729951088899919,0.9054792097275598,0.04190729580258803,0.12281408273134228,0.344994992559433,0.029010521015152335,22.10742195529747
power_avg_uW,CatBoost,20,0.9889513147097058,0.9877513603954611,0.9907609976254202,0.2392518075477158,0.619755878786802,1.1972743106341692,0.050222895995830186,23.608077981407405
power_avg_uW,ExtraTrees,20,0.953321739023013,0.9439383768428478,0.9607478084774665,0.5212766764539924,1.3588997080555543,2.2626725277777737,0.06520854099653661,231.29426540435816
power_avg_uW,GaussianProcess,20,0.9992427178480079,0.9991639737079936,0.9994224274900644,0.05593174376656663,0.16092857469553468,0.362380765620542,0.04429216649441514,22.53614070468757
power_avg_uW,GradientBoosting,20,0.9718261459088349,0.9642772419662211,0.9763297578443166,0.39298938653038606,1.0726653268883444,1.7058002261066854,0.036961103993235156,19.541671690603835
power_avg_uW,HistGradientBoosting,20,0.9793225041331695,0.9750388320286631,0.9802338001556508,0.3552384953281218,0.9224815062754497,1.5349987972429533,0.264085166490986,93.55696852253459
power_avg_uW,LightGBM,20,0.9790004692257582,0.9733172185290924,0.9810239023011513,0.33178917633413096,0.9570913713165077,1.7106838341935031,0.013282937492476776,25.244148446290637
power_avg_uW,MLP,20,0.9818805951053636,0.9704229068321409,0.9866432109723043,0.3323396172162026,0.8521256033411491,1.3362807513983959,0.0929159169900231,20.3815079657943
power_avg_uW,RandomForest,20,0.9277746355968599,0.9120108920963641,0.9377445411177283,0.6655882256849189,1.6579246770622327,2.8343534979532974,0.10353806251077913,215.49218763539102
power_avg_uW,Ridge,20,0.9641680510019064,0.962119979143047,0.9663586594822418,0.4480655712811038,1.2703274012539234,1.6375454318128617,0.0019919375044992194,14.583984466298716
power_avg_uW,SVR_RBF,20,0.97794477267083,0.9739940977490205,0.9809145668102636,0.3502960780069775,0.983970806266752,1.5410755863360919,0.005525645494344644,20.958007780791377
power_avg_uW,XGBoost,20,0.9811342473525151,0.9761033489518199,0.9827007362547007,0.3365390453363061,0.8519838958835597,1.4020846025085452,0.029049937511445023,22.569984594156267
