experiment,target,runs,median_empirical_coverage,q25_empirical_coverage,q75_empirical_coverage,median_interval_width,median_abs_err,median_p95_abs_err
v2_calibrated_v3_external,delay_avg_ns,1,0.94375,0.94375,0.94375,0.32018002489446007,0.025269702852955912,0.16583433126663946
v2_calibrated_v3_external,power_avg_uW,1,0.9395833333333333,0.9395833333333333,0.9395833333333333,2.157559679613996,0.29275279242495156,1.2217018159253117
v2_split_conformal,delay_avg_ns,20,0.9453125,0.90234375,0.95703125,0.3381250351140477,0.030027771350194826,0.1731188911138909
v2_split_conformal,power_avg_uW,20,0.9375,0.90625,0.96875,2.415728124292831,0.33421103540415226,1.2148259089037947
