protocol,selected_protocol,target,model,seed,train_hf_rows,train_lf_rows,test_hf_rows,include_source,hf_weight,r2,mae,rmse,mape_pct
hf_only,,delay_ns,GradientBoosting,0,56,0,24,False,,0.34210894056157237,0.12161158652093491,0.16798864611705394,56.386289778012156
lf_only,,delay_ns,GradientBoosting,0,0,155,24,False,,-170.26144478642414,1.963050391845511,2.7103959484382116,996.3235210099681
naive_merge_equal_weight,,delay_ns,GradientBoosting,0,56,155,24,False,,-0.15397852803537426,0.16412330222165325,0.22248554593925385,117.66531829616189
weighted_merge_no_source,,delay_ns,GradientBoosting,0,56,155,24,False,1.0,-0.15397852803537426,0.16412330222165325,0.22248554593925385,117.66531829616189
weighted_merge_no_source,,delay_ns,GradientBoosting,0,56,155,24,False,1.5,-0.572174232349139,0.19137010128848997,0.2596888329906005,138.14308333368774
weighted_merge_no_source,,delay_ns,GradientBoosting,0,56,155,24,False,2.0,-0.5481041347312285,0.18269916725792723,0.25769323824425333,118.98849106300369
weighted_merge_no_source,,delay_ns,GradientBoosting,0,56,155,24,False,3.0,-1.1373426716579003,0.20536043777241828,0.3027889458191495,112.74305822972062
weighted_merge_no_source,,delay_ns,GradientBoosting,0,56,155,24,False,5.0,-0.44215535298169284,0.17898862694057086,0.24871899883386767,102.30879033634747
weighted_merge_no_source,,delay_ns,GradientBoosting,0,56,155,24,False,10.0,-0.6596664212187195,0.19273641502085828,0.2668169045182437,104.6927834143969
source_indicator_equal_weight,,delay_ns,GradientBoosting,0,56,155,24,True,,-0.15783751727123696,0.16481373251980327,0.22285723948638259,117.76366654795743
source_indicator_weighted,,delay_ns,GradientBoosting,0,56,155,24,True,1.5,-0.5864565238107533,0.19299701004991432,0.26086572743151293,137.3692469912566
source_indicator_weighted,,delay_ns,GradientBoosting,0,56,155,24,True,3.0,-0.6174270296151094,0.1862589696713636,0.2633997060699531,106.19315860617648
two_stage_lf_plus_hf_residual,,delay_ns,GradientBoosting,0,56,155,24,False,,-16.84092296397041,0.42083693220603346,0.874805685059402,159.6893626014249
source_aware_validation_gate,hf_only,delay_ns,GradientBoosting,0,56,0,24,False,,0.34210894056157237,0.12161158652093491,0.16798864611705394,56.386289778012156
hf_only,,delay_ns,RandomForest,0,56,0,24,False,,0.36742945104049907,0.11863500541664329,0.1647242056279335,59.496664946741774
lf_only,,delay_ns,RandomForest,0,0,155,24,False,,-191.39589581421987,2.1274170313947205,2.872769884805945,1115.5298670551624
naive_merge_equal_weight,,delay_ns,RandomForest,0,56,155,24,False,,0.06459085191914815,0.14456197035028057,0.20031051344916917,75.8728630716738
weighted_merge_no_source,,delay_ns,RandomForest,0,56,155,24,False,1.0,0.06459085191914826,0.14456197035028054,0.20031051344916917,75.87286307167376
weighted_merge_no_source,,delay_ns,RandomForest,0,56,155,24,False,1.5,0.253067835902578,0.13088322070693245,0.17899607929175118,69.44887107340394
weighted_merge_no_source,,delay_ns,RandomForest,0,56,155,24,False,2.0,0.23257326726557725,0.13294565489814378,0.18143513802666966,69.94104580080482
weighted_merge_no_source,,delay_ns,RandomForest,0,56,155,24,False,3.0,0.35277165595094206,0.11703709541552454,0.1666217539419082,62.172913786738405
weighted_merge_no_source,,delay_ns,RandomForest,0,56,155,24,False,5.0,0.38980323956675234,0.11581330418321933,0.16178486338821965,58.803995699546086
weighted_merge_no_source,,delay_ns,RandomForest,0,56,155,24,False,10.0,0.391193340715832,0.11666568407881088,0.16160047568662703,58.30596065322396
source_indicator_equal_weight,,delay_ns,RandomForest,0,56,155,24,True,,0.035441416364171974,0.1457715442905891,0.20340763147578927,77.22356681843907
source_indicator_weighted,,delay_ns,RandomForest,0,56,155,24,True,1.5,0.19711621645175004,0.13512908113058017,0.18557919257085562,70.46527210230363
source_indicator_weighted,,delay_ns,RandomForest,0,56,155,24,True,3.0,0.35363323672925107,0.1175761048023728,0.1665108148048986,62.3621650180635
two_stage_lf_plus_hf_residual,,delay_ns,RandomForest,0,56,155,24,False,,-4.268825141045415,0.2830279354512015,0.47540071499094305,145.81091416998265
source_aware_validation_gate,hf_only,delay_ns,RandomForest,0,56,0,24,False,,0.36742945104049907,0.11863500541664328,0.1647242056279335,59.496664946741774
hf_only,,power_uW,GradientBoosting,0,56,0,24,False,,-0.5914445864294087,2.872040038674097,3.21092156111758,111.78582601018864
lf_only,,power_uW,GradientBoosting,0,0,155,24,False,,-2.204597445166513,3.7281948615580425,4.556387763452713,57.413610620847365
naive_merge_equal_weight,,power_uW,GradientBoosting,0,56,155,24,False,,-0.7561635142444956,2.93552382129918,3.3730005409467676,113.89791223658759
weighted_merge_no_source,,power_uW,GradientBoosting,0,56,155,24,False,1.0,-0.7561635142444956,2.93552382129918,3.3730005409467676,113.89791223658759
weighted_merge_no_source,,power_uW,GradientBoosting,0,56,155,24,False,1.5,-0.7498364667552906,2.908806026925884,3.366918991331129,117.0644347920437
weighted_merge_no_source,,power_uW,GradientBoosting,0,56,155,24,False,2.0,-0.6993783690663216,2.874280937773707,3.3180198416657642,120.34582527486704
weighted_merge_no_source,,power_uW,GradientBoosting,0,56,155,24,False,3.0,-0.7777183851583156,2.97241657284138,3.3936372465280553,120.02340313694877
weighted_merge_no_source,,power_uW,GradientBoosting,0,56,155,24,False,5.0,-0.6010401024921326,2.787361372587498,3.2205870394955096,115.73974312627114
weighted_merge_no_source,,power_uW,GradientBoosting,0,56,155,24,False,10.0,-0.6835639860336193,2.8903169917005584,3.3025450404478702,114.10793639988476
source_indicator_equal_weight,,power_uW,GradientBoosting,0,56,155,24,True,,-0.7415933428977977,2.921099499196566,3.3589791941592653,113.64404507143185
