sample_id,pdk,process_node_nm,cell_family,cell_variant,source_cell_variant,drive_strength,input_arc,inverting,input_count,transistor_count,total_n_width_um,total_p_width_um,Vdd,Temp,slew_ns,Cload_pF,corner,model_corner,tphl_ns,tplh_ns,delay_avg_ns,power_avg_uW,spice_wall_time_s,status,fidelity,statistical_mode,mc_mm_switch,mc_pr_switch,released_spice_path,netlist_path,log_path,ngspice_returncode,candidate_id,seed,heldout_corner,query_order,batch_index,acquisition_phase
26510011,SKY130,130,NOR2,NOR2_1,NOR2_1,1,A_to_Y__B=0,1,2,4,1.3,2.0,1.9731322631804884,36.41874133240421,11.17507815638454,0.10199900360358773,ff,ff,0.204576,2.77069,1.487633,3.45763,0.7517918749945238,ok,SPICE_SKY130_RELEASED_SPICE,off,0,0,sky130-pdk/libraries/sky130_fd_sc_hd/latest/cells/nor2/sky130_fd_sc_hd__nor2_1.spice,results/prospective_locked_confirmation/sky130/seed_5/corner_ff/netlists/26510011_nor2_1_ff.cir,results/prospective_locked_confirmation/sky130/seed_5/corner_ff/logs/26510011_nor2_1_ff.log,0,29,5,ff,11,1,stopping_evaluation
26510012,SKY130,130,NOR2,NOR2_4,NOR2_4,4,A_to_Y__B=0,1,2,16,5.2,8.0,1.834651650978246,108.06223540171794,1.1287128693158277,0.17692486640639407,ff,ff,0.25333999999999995,0.612173,0.4327565,4.10778,2.0289712909725495,ok,SPICE_SKY130_RELEASED_SPICE,off,0,0,sky130-pdk/libraries/sky130_fd_sc_hd/latest/cells/nor2/sky130_fd_sc_hd__nor2_4.spice,results/prospective_locked_confirmation/sky130/seed_5/corner_ff/netlists/26510012_nor2_4_ff.cir,results/prospective_locked_confirmation/sky130/seed_5/corner_ff/logs/26510012_nor2_4_ff.log,0,31,5,ff,12,1,stopping_evaluation
26510013,SKY130,130,OAI21,OAI21_1,O21AI_1,1,"A1_to_Y__A2=0,B1=1",1,3,6,1.9500000000000002,2.7,1.8550087548212897,111.88856359792163,10.262653638789294,0.19975600122144,ff,ff,1.47764,3.48215,2.479895,5.02851,0.9872404170455411,ok,SPICE_SKY130_RELEASED_SPICE,off,0,0,sky130-pdk/libraries/sky130_fd_sc_hd/latest/cells/o21ai/sky130_fd_sc_hd__o21ai_1.spice,results/prospective_locked_confirmation/sky130/seed_5/corner_ff/netlists/26510013_oai21_1_ff.cir,results/prospective_locked_confirmation/sky130/seed_5/corner_ff/logs/26510013_oai21_1_ff.log,0,60,5,ff,13,1,stopping_evaluation
26510014,SKY130,130,OAI21,OAI21_4,O21AI_4,4,"A1_to_Y__A2=0,B1=1",1,3,24,7.800000000000002,12.0,1.6321766295603188,32.72718495181739,3.9587462564117666,0.006717924572876845,ff,ff,-0.0871151,0.576944,0.24491445,0.520896,2.534818042011466,ok,SPICE_SKY130_RELEASED_SPICE,off,0,0,sky130-pdk/libraries/sky130_fd_sc_hd/latest/cells/o21ai/sky130_fd_sc_hd__o21ai_4.spice,results/prospective_locked_confirmation/sky130/seed_5/corner_ff/netlists/26510014_oai21_4_ff.cir,results/prospective_locked_confirmation/sky130/seed_5/corner_ff/logs/26510014_oai21_4_ff.log,0,69,5,ff,14,1,stopping_evaluation
26510015,SKY130,130,XOR2,XOR2_1,XOR2_1,1,A_to_X__B=0,0,2,10,3.25,5.0,1.790290443872426,36.16213617185218,11.672388176943207,0.1994185366582413,ff,ff,1.8637199999999998,1.29933,1.581525,4.79153,1.4547229169984348,ok,SPICE_SKY130_RELEASED_SPICE,off,0,0,sky130-pdk/libraries/sky130_fd_sc_hd/latest/cells/xor2/sky130_fd_sc_hd__xor2_1.spice,results/prospective_locked_confirmation/sky130/seed_5/corner_ff/netlists/26510015_xor2_1_ff.cir,results/prospective_locked_confirmation/sky130/seed_5/corner_ff/logs/26510015_xor2_1_ff.log,0,41,5,ff,15,1,stopping_evaluation
26510016,SKY130,130,XOR2,XOR2_4,XOR2_4,4,A_to_X__B=0,0,2,40,13.000000000000004,20.0,1.8674174642971382,-8.423490160297415,0.08216510809711274,0.19597508527264207,ff,ff,0.189465,0.528196,0.3588305,4.7798,3.5800121670472436,ok,SPICE_SKY130_RELEASED_SPICE,off,0,0,sky130-pdk/libraries/sky130_fd_sc_hd/latest/cells/xor2/sky130_fd_sc_hd__xor2_4.spice,results/prospective_locked_confirmation/sky130/seed_5/corner_ff/netlists/26510016_xor2_4_ff.cir,results/prospective_locked_confirmation/sky130/seed_5/corner_ff/logs/26510016_xor2_4_ff.log,0,43,5,ff,16,1,stopping_evaluation
26510017,SKY130,130,AOI21,AOI21_1,A21OI_1,1,"A1_to_Y__A2=1,B1=0",1,3,6,1.9500000000000002,3.0,1.6959263962587752,33.548281667233425,10.107226992910483,0.15017603461987494,ff,ff,1.42229,3.94561,2.68395,2.84512,0.9222330839838833,ok,SPICE_SKY130_RELEASED_SPICE,off,0,0,sky130-pdk/libraries/sky130_fd_sc_hd/latest/cells/a21oi/sky130_fd_sc_hd__a21oi_1.spice,results/prospective_locked_confirmation/sky130/seed_5/corner_ff/netlists/26510017_aoi21_1_ff.cir,results/prospective_locked_confirmation/sky130/seed_5/corner_ff/logs/26510017_aoi21_1_ff.log,0,48,5,ff,17,2,stopping_evaluation
26510018,SKY130,130,AOI21,AOI21_4,A21OI_4,4,"A1_to_Y__A2=1,B1=0",1,3,24,7.800000000000002,12.0,1.672756685618305,69.28337898099007,8.735208119499923,0.20568207615346573,ff,ff,0.530495,2.06136,1.2959275000000001,4.59346,3.0078647499904037,ok,SPICE_SKY130_RELEASED_SPICE,off,0,0,sky130-pdk/libraries/sky130_fd_sc_hd/latest/cells/a21oi/sky130_fd_sc_hd__a21oi_4.spice,results/prospective_locked_confirmation/sky130/seed_5/corner_ff/netlists/26510018_aoi21_4_ff.cir,results/prospective_locked_confirmation/sky130/seed_5/corner_ff/logs/26510018_aoi21_4_ff.log,0,57,5,ff,18,2,stopping_evaluation
26510019,SKY130,130,INV,INV_1,INV_1,1,A_to_Y,1,1,2,0.65,1.0,1.9645393672935743,-7.185105286978768,1.5621642157674818,0.1369391954388004,ff,ff,0.516423,1.0360900000000002,0.7762565000000001,3.35825,0.46058958303183317,ok,SPICE_SKY130_RELEASED_SPICE,off,0,0,sky130-pdk/libraries/sky130_fd_sc_hd/latest/cells/inv/sky130_fd_sc_hd__inv_1.spice,results/prospective_locked_confirmation/sky130/seed_5/corner_ff/netlists/26510019_inv_1_ff.cir,results/prospective_locked_confirmation/sky130/seed_5/corner_ff/logs/26510019_inv_1_ff.log,0,4,5,ff,19,2,stopping_evaluation
26510020,SKY130,130,INV,INV_4,INV_4,4,A_to_Y,1,1,8,2.6,4.0,1.695301594380526,95.0187399980313,10.940901882939938,0.09707794980943092,ff,ff,-0.126942,1.3821,0.627579,4.86103,1.1679447919595987,ok,SPICE_SKY130_RELEASED_SPICE,off,0,0,sky130-pdk/libraries/sky130_fd_sc_hd/latest/cells/inv/sky130_fd_sc_hd__inv_4.spice,results/prospective_locked_confirmation/sky130/seed_5/corner_ff/netlists/26510020_inv_4_ff.cir,results/prospective_locked_confirmation/sky130/seed_5/corner_ff/logs/26510020_inv_4_ff.log,0,9,5,ff,20,2,stopping_evaluation
