target,training_protocol,fewshot_k,runs,median_r2,q25_r2,q75_r2,min_r2,median_mae,median_rmse,median_mape_pct
delay_avg_ns,source_plus_target_support,0,80,0.748076157875716,0.553007121476632,0.8208370037029888,0.16516869176891402,0.08565826588864878,0.11798848510981669,27.031687179793774
delay_avg_ns,source_plus_target_support,20,80,0.8440393555866931,0.7880704633865859,0.871569307139708,0.39978188311832885,0.0572389151331852,0.09045783474811764,16.911438838744914
delay_avg_ns,source_plus_target_support,40,80,0.8603187920438153,0.8274501573239549,0.8852622046115962,0.47561664683734983,0.050073879758483736,0.08489604604316252,15.563050533266559
delay_avg_ns,target_support_only,20,80,0.27225628278126124,0.09130507343519464,0.418000868048641,-3.7068538370306774,0.12044342004590958,0.19799491020851143,40.14580981708198
delay_avg_ns,target_support_only,40,80,0.5321371327803511,0.396631652223278,0.6643039641492923,-3.4968191646868467,0.08796004012662775,0.14498810979817803,30.049839822936313
power_avg_uW,source_plus_target_support,0,80,0.857510623827005,0.5920648276752289,0.9784018205177827,0.5260314854355578,0.7526260543445683,0.8854031818048557,15.89353775519341
power_avg_uW,source_plus_target_support,20,80,0.9707570469017796,0.9270293557081424,0.9796430549477283,0.8149413777326342,0.3687520550215442,0.47788368748492804,8.779115113336758
power_avg_uW,source_plus_target_support,40,80,0.9754570000060439,0.9466797167643888,0.981896941494233,0.8458652662198204,0.3570655783882873,0.4398509388892864,7.945806806841064
power_avg_uW,target_support_only,20,80,0.8345274227948685,0.756441348735143,0.8568430074771858,0.5808852054932143,0.972686266652681,1.2245143151202242,23.014648433504746
power_avg_uW,target_support_only,40,80,0.9123626651907164,0.8897968417148334,0.9290002318019235,0.8008779289613992,0.6999732049188843,0.8796029883489611,15.600558382275905
