target,model,runs,median_r2,q25_r2,q75_r2,min_r2,median_mae,median_rmse,median_mape_pct
delay_avg_ns,ExtraTrees,20,0.8643844195673972,0.8170595298206975,0.8838610154372109,0.7748194747945321,0.049585978002855274,0.07878065728491807,16.86715483142492
delay_avg_ns,GradientBoosting,20,0.8807097391838321,0.8587605588854905,0.9000329022743059,0.7895367068204089,0.04750499704122883,0.07834886675132258,14.390718855096134
delay_avg_ns,HistGradientBoosting,20,0.8542470559782668,0.8399530254448867,0.8686424643279482,0.6775811932574354,0.049493231306794644,0.08563077618464786,15.236612412057493
delay_avg_ns,MLP,20,0.7595975644544182,0.7069270302502869,0.7860196701270215,0.07207592027217258,0.07410101224934897,0.11186052113439834,27.517112192693233
delay_avg_ns,RandomForest,20,0.796253810081152,0.7735953001118827,0.82589692625245,0.6951710176785995,0.06086805740698591,0.1000269333374777,20.847852343644366
delay_avg_ns,Ridge,20,0.6893913449485498,0.664374394239765,0.7343885370585121,0.6286224965694305,0.08284579783417922,0.12324845730852486,30.971458572486803
delay_avg_ns,SVR_RBF,20,0.8318780141740373,0.8044009059168269,0.8614309811619097,0.725304359675935,0.05405617601230128,0.08540925953450644,19.59405797338635
power_avg_uW,ExtraTrees,20,0.953321739023013,0.9439383768428478,0.9607478084774665,0.926005660599261,0.5212766764539927,0.6792201158339688,11.592200303809271
power_avg_uW,GradientBoosting,20,0.9718261459088349,0.9642772419662211,0.9763297578443166,0.9592694115737136,0.39298938653038606,0.524780191931036,7.2068200610496405
power_avg_uW,HistGradientBoosting,20,0.9793225041331695,0.9750388320286631,0.9802338001556508,0.9605891531265942,0.3552384953281218,0.461032976666901,6.975706615415165
power_avg_uW,MLP,20,0.9818805951053636,0.9704229068321409,0.9866432109723043,0.9530616581872833,0.3323396172162026,0.4278670467806147,8.258591804356211
power_avg_uW,RandomForest,20,0.9277746355968599,0.9120108920963641,0.9377445411177283,0.892470930925653,0.6655882256849188,0.8586641900277101,12.880442400708901
power_avg_uW,Ridge,20,0.9641680510019064,0.962119979143047,0.9663586594822418,0.9560401308673883,0.4480655712811038,0.5946252632458373,10.06399118535197
power_avg_uW,SVR_RBF,20,0.97794477267083,0.9739940977490205,0.9809145668102636,0.9596314448410361,0.3502960780069775,0.47753248220490263,9.019001082179791
