experiment,seed,target,model,feature_set,train_rows,test_rows,r2,mae,rmse,mape_pct
learning_curve,0,delay_avg_ns,GradientBoosting,full,40,64,0.5308613404310305,0.07594864835481605,0.11246689223890138,27.117345809996774
learning_curve,0,power_avg_uW,GradientBoosting,full,40,64,0.8062403028159584,1.0286609735504253,1.3786637804370436,17.133683188198994
learning_curve,0,delay_avg_ns,GradientBoosting,full,80,64,0.8181649593658522,0.05161963957399206,0.07001851121465488,18.883246769104893
learning_curve,0,power_avg_uW,GradientBoosting,full,80,64,0.8769733832012488,0.7143446841661045,1.098566074640031,14.0028949740426
learning_curve,0,delay_avg_ns,GradientBoosting,full,120,64,0.7810757022814407,0.04595230971102783,0.0768282721079136,15.822374422021767
learning_curve,0,power_avg_uW,GradientBoosting,full,120,64,0.9297411718873971,0.5853631437111113,0.8301892270832661,11.099269970680966
learning_curve,0,delay_avg_ns,GradientBoosting,full,160,64,0.8253607909944338,0.04889359276263889,0.06861909107163974,18.975245340353382
learning_curve,0,power_avg_uW,GradientBoosting,full,160,64,0.9561812623778919,0.4540869412864241,0.655626612275163,8.65582869224946
learning_curve,0,delay_avg_ns,GradientBoosting,full,220,64,0.8169685302606305,0.04364860098128253,0.07024848569017715,14.766099836353902
learning_curve,0,power_avg_uW,GradientBoosting,full,220,64,0.9642827069371651,0.42624112661968017,0.5919239483777974,8.568456949791656
learning_curve,0,delay_avg_ns,GradientBoosting,full,256,64,0.851072442682546,0.0400040772425159,0.06336677672377641,13.9251487817723
learning_curve,0,power_avg_uW,GradientBoosting,full,256,64,0.9600409412233623,0.41765348735752816,0.6260863965437959,7.659606234061507
learning_curve,1,delay_avg_ns,GradientBoosting,full,40,64,0.5673101804452765,0.0867595322485594,0.11946153125501975,32.618728614098046
learning_curve,1,power_avg_uW,GradientBoosting,full,40,64,0.8525394088481453,1.0165714420088339,1.2337850625543534,23.050479552249907
learning_curve,1,delay_avg_ns,GradientBoosting,full,80,64,0.6212507294946241,0.06849368675721906,0.11176752686241699,20.53222765883734
learning_curve,1,power_avg_uW,GradientBoosting,full,80,64,0.9218646761955858,0.682427187047268,0.8981011050681491,14.271714904969828
learning_curve,1,delay_avg_ns,GradientBoosting,full,120,64,0.828349394023141,0.05015739414470449,0.07524236004603926,16.688921900493213
learning_curve,1,power_avg_uW,GradientBoosting,full,120,64,0.9758740269968953,0.39666095180295313,0.4990498637876329,7.429600656286298
learning_curve,1,delay_avg_ns,GradientBoosting,full,160,64,0.8433384080973623,0.048391619119759186,0.071882141375263,16.285317058477773
