target,train_rows,runs,median_r2,q25_r2,q75_r2,min_r2,median_mae,median_rmse,median_mape_pct
delay_avg_ns,40,20,0.5313567587321724,0.4169615993566868,0.6018739572734993,0.06045140055892373,0.0996550868094383,0.15694220610298618,33.2718298733725
delay_avg_ns,80,20,0.6643545672470734,0.6284238145723411,0.752137243201339,0.4951282267749415,0.07382491773522003,0.12417073059049691,23.198669521459628
delay_avg_ns,120,20,0.7804191505542634,0.725008499007799,0.8016277945104336,0.6107191284249174,0.060724253772993855,0.10732976525613751,18.79974287878865
delay_avg_ns,160,20,0.8305595126291276,0.777142297846999,0.8491334570590765,0.6718190990212966,0.053903309095346255,0.09538417179685474,17.484065025360156
delay_avg_ns,220,20,0.8712657651376247,0.8428225346640841,0.8950368960276613,0.7798155940841578,0.04696469501687588,0.07708353138999088,14.841920115570467
delay_avg_ns,256,20,0.8807097391838321,0.8587605588854905,0.9000329022743059,0.7895367068204089,0.04750499704122883,0.07834886675132258,14.390718855096134
power_avg_uW,40,20,0.807792144524323,0.7754192141453853,0.8507151739751669,0.6579441568690579,1.0500406997313472,1.3888522952581939,20.864243006152854
power_avg_uW,80,20,0.905538269549566,0.8961507913564336,0.9134977226834916,0.8505471081816626,0.7348210536836786,0.9755228651956931,14.390674497298807
power_avg_uW,120,20,0.9428653517617223,0.9279366825583739,0.9493290972700579,0.8825631161818474,0.5746271394878097,0.7542115834950986,11.436048045189697
power_avg_uW,160,20,0.9511042311814125,0.9414926646866504,0.9569101245942236,0.9281226015133965,0.5283697362326295,0.7016701113870615,10.417121624681858
power_avg_uW,220,20,0.9642390817131405,0.9603892477557567,0.9700737641065327,0.9523396669240629,0.43123635465808463,0.5835441204935746,8.476509176606129
power_avg_uW,256,20,0.9718261459088349,0.9642772419662211,0.9763297578443166,0.9592694115737136,0.39298938653038606,0.524780191931036,7.2068200610496405
