experiment,training_protocol,seed,target,heldout_cell,fewshot_k,model,train_rows,test_rows,r2,mae,rmse,mape_pct
leave_one_cell_transfer,source_plus_target_support,0,delay_avg_ns,INV,0,GradientBoosting,240,80,0.19353731259837914,0.129729132843923,0.15767580461191139,63.0677746010874
leave_one_cell_transfer,source_plus_target_support,0,power_avg_uW,INV,0,GradientBoosting,240,80,0.7349704012728682,1.16022672514538,1.3226291523883298,31.449116285547245
leave_one_cell_transfer,source_plus_target_support,0,delay_avg_ns,INV,20,GradientBoosting,260,60,0.73230466177659,0.06052364106368214,0.09250716055995511,23.104471965638552
leave_one_cell_transfer,target_support_only,0,delay_avg_ns,INV,20,GradientBoosting,20,60,0.42675355267659243,0.08448384452657788,0.1353709986054143,31.436244034515997
leave_one_cell_transfer,source_plus_target_support,0,power_avg_uW,INV,20,GradientBoosting,260,60,0.9532482291648027,0.44731282282317936,0.5620994950613314,10.379648801382105
leave_one_cell_transfer,target_support_only,0,power_avg_uW,INV,20,GradientBoosting,20,60,0.8711554587692674,0.7516458759233396,0.9331407904124843,15.512570069159695
leave_one_cell_transfer,source_plus_target_support,0,delay_avg_ns,INV,40,GradientBoosting,280,40,0.788321257785303,0.05209824640966944,0.08685879703152677,20.542746743272506
leave_one_cell_transfer,target_support_only,0,delay_avg_ns,INV,40,GradientBoosting,40,40,0.4632152357914675,0.08721907686530234,0.13831690972040223,37.74379210382506
leave_one_cell_transfer,source_plus_target_support,0,power_avg_uW,INV,40,GradientBoosting,280,40,0.9708766889445242,0.36707644300252856,0.42815654480218246,11.909134072785154
leave_one_cell_transfer,target_support_only,0,power_avg_uW,INV,40,GradientBoosting,40,40,0.9147660779250043,0.5569755660067949,0.7324676512159924,19.33210976614312
leave_one_cell_transfer,source_plus_target_support,0,delay_avg_ns,NAND2,0,GradientBoosting,240,80,0.854003315470566,0.05589558078911796,0.08568317647759302,24.114301393321522
leave_one_cell_transfer,source_plus_target_support,0,power_avg_uW,NAND2,0,GradientBoosting,240,80,0.9771546661471163,0.34501888849181556,0.45529721331258394,6.3092726819269
leave_one_cell_transfer,source_plus_target_support,0,delay_avg_ns,NAND2,20,GradientBoosting,260,60,0.88969958909977,0.04451771430267329,0.07620182421784369,16.07669471457161
leave_one_cell_transfer,target_support_only,0,delay_avg_ns,NAND2,20,GradientBoosting,20,60,0.21749154646264957,0.14262588294749384,0.2029650789358853,49.39581203595075
leave_one_cell_transfer,source_plus_target_support,0,power_avg_uW,NAND2,20,GradientBoosting,260,60,0.9813353564011688,0.3257263318374044,0.4357318253067546,5.689310452043118
leave_one_cell_transfer,target_support_only,0,power_avg_uW,NAND2,20,GradientBoosting,20,60,0.8429041253705242,1.0265467765334038,1.2641302413699302,24.83909551141577
leave_one_cell_transfer,source_plus_target_support,0,delay_avg_ns,NAND2,40,GradientBoosting,280,40,0.8812610274228988,0.039666670746545576,0.09431707392813553,10.384943785126822
leave_one_cell_transfer,target_support_only,0,delay_avg_ns,NAND2,40,GradientBoosting,40,40,0.49838287160129413,0.07454993241087446,0.19385627093567306,21.320108286381185
leave_one_cell_transfer,source_plus_target_support,0,power_avg_uW,NAND2,40,GradientBoosting,280,40,0.9726498621398127,0.40695658233648685,0.515699570441094,6.6711443258425955
leave_one_cell_transfer,target_support_only,0,power_avg_uW,NAND2,40,GradientBoosting,40,40,0.8655303848458429,0.9773788837926117,1.1434813632177514,16.680543389151897
