sample_id,pdk,process_node_nm,cell_family,cell_variant,source_cell_variant,drive_strength,input_arc,inverting,input_count,transistor_count,total_n_width_um,total_p_width_um,Vdd,Temp,slew_ns,Cload_pF,corner,model_corner,tphl_ns,tplh_ns,delay_avg_ns,power_avg_uW,spice_wall_time_s,status,fidelity,statistical_mode,mc_mm_switch,mc_pr_switch,released_spice_path,netlist_path,log_path,ngspice_returncode,candidate_id,seed,heldout_corner,query_order,batch_index,acquisition_phase
26500011,SKY130,130,NOR2,NOR2_1,NOR2_1,1,A_to_Y__B=0,1,2,4,1.3,2.0,1.7501259778780287,107.18995848688178,11.553442365786292,0.029978297942334694,typical,tt,0.48758500000000005,1.9344599999999998,1.2110225,0.874725,0.7072957499767654,ok,SPICE_SKY130_RELEASED_SPICE,off,0,0,sky130-pdk/libraries/sky130_fd_sc_hd/latest/cells/nor2/sky130_fd_sc_hd__nor2_1.spice,results/prospective_locked_confirmation/sky130/seed_5/corner_typical/netlists/26500011_nor2_1_typical.cir,results/prospective_locked_confirmation/sky130/seed_5/corner_typical/logs/26500011_nor2_1_typical.log,0,26,5,typical,11,1,stopping_evaluation
26500012,SKY130,130,NOR2,NOR2_4,NOR2_4,4,A_to_Y__B=0,1,2,16,5.2,8.0,1.6329870519446643,21.2953109542672,0.3470412410931778,0.01767955201098283,typical,tt,0.08894859999999999,0.216334,0.1526413,0.44239,2.021759208990261,ok,SPICE_SKY130_RELEASED_SPICE,off,0,0,sky130-pdk/libraries/sky130_fd_sc_hd/latest/cells/nor2/sky130_fd_sc_hd__nor2_4.spice,results/prospective_locked_confirmation/sky130/seed_5/corner_typical/netlists/26500012_nor2_4_typical.cir,results/prospective_locked_confirmation/sky130/seed_5/corner_typical/logs/26500012_nor2_4_typical.log,0,31,5,typical,12,1,stopping_evaluation
26500013,SKY130,130,OAI21,OAI21_1,O21AI_1,1,"A1_to_Y__A2=0,B1=1",1,3,6,1.9500000000000002,2.7,1.6473362868683907,101.77103856433024,1.6090851692806003,0.16179212365574375,typical,tt,1.2910899999999998,2.8308,2.0609450000000002,2.80461,0.975458582979627,ok,SPICE_SKY130_RELEASED_SPICE,off,0,0,sky130-pdk/libraries/sky130_fd_sc_hd/latest/cells/o21ai/sky130_fd_sc_hd__o21ai_1.spice,results/prospective_locked_confirmation/sky130/seed_5/corner_typical/netlists/26500013_oai21_1_typical.cir,results/prospective_locked_confirmation/sky130/seed_5/corner_typical/logs/26500013_oai21_1_typical.log,0,65,5,typical,13,1,stopping_evaluation
26500014,SKY130,130,OAI21,OAI21_4,O21AI_4,4,"A1_to_Y__A2=0,B1=1",1,3,24,7.800000000000002,12.0,1.6270912739397316,-21.601092620655898,7.898662506554029,0.17005720744038957,typical,tt,1.24009,3.14165,2.19087,3.01261,2.4913315000012517,ok,SPICE_SKY130_RELEASED_SPICE,off,0,0,sky130-pdk/libraries/sky130_fd_sc_hd/latest/cells/o21ai/sky130_fd_sc_hd__o21ai_4.spice,results/prospective_locked_confirmation/sky130/seed_5/corner_typical/netlists/26500014_oai21_4_typical.cir,results/prospective_locked_confirmation/sky130/seed_5/corner_typical/logs/26500014_oai21_4_typical.log,0,68,5,typical,14,1,stopping_evaluation
26500015,SKY130,130,XOR2,XOR2_1,XOR2_1,1,A_to_X__B=0,0,2,10,3.25,5.0,1.9290281413957813,-26.439834528571843,1.0774736041711914,0.19172670607140568,typical,tt,0.765496,2.4867,1.626098,4.59754,1.4244044999941252,ok,SPICE_SKY130_RELEASED_SPICE,off,0,0,sky130-pdk/libraries/sky130_fd_sc_hd/latest/cells/xor2/sky130_fd_sc_hd__xor2_1.spice,results/prospective_locked_confirmation/sky130/seed_5/corner_typical/netlists/26500015_xor2_1_typical.cir,results/prospective_locked_confirmation/sky130/seed_5/corner_typical/logs/26500015_xor2_1_typical.log,0,39,5,typical,15,1,stopping_evaluation
26500016,SKY130,130,XOR2,XOR2_4,XOR2_4,4,A_to_X__B=0,0,2,40,13.000000000000004,20.0,1.7152100491626923,-19.3431069362574,2.6428439639050767,0.20537495995229424,typical,tt,0.809956,1.02309,0.916523,4.18734,3.581534124969039,ok,SPICE_SKY130_RELEASED_SPICE,off,0,0,sky130-pdk/libraries/sky130_fd_sc_hd/latest/cells/xor2/sky130_fd_sc_hd__xor2_4.spice,results/prospective_locked_confirmation/sky130/seed_5/corner_typical/netlists/26500016_xor2_4_typical.cir,results/prospective_locked_confirmation/sky130/seed_5/corner_typical/logs/26500016_xor2_4_typical.log,0,42,5,typical,16,1,stopping_evaluation
26500017,SKY130,130,AOI21,AOI21_1,A21OI_1,1,"A1_to_Y__A2=1,B1=0",1,3,6,1.9500000000000002,3.0,1.6343191637942784,38.12161062861311,4.004391510933862,0.17222473339856473,typical,tt,1.85788,4.02604,2.94196,2.9189,0.971081291034352,ok,SPICE_SKY130_RELEASED_SPICE,off,0,0,sky130-pdk/libraries/sky130_fd_sc_hd/latest/cells/a21oi/sky130_fd_sc_hd__a21oi_1.spice,results/prospective_locked_confirmation/sky130/seed_5/corner_typical/netlists/26500017_aoi21_1_typical.cir,results/prospective_locked_confirmation/sky130/seed_5/corner_typical/logs/26500017_aoi21_1_typical.log,0,52,5,typical,17,2,stopping_evaluation
26500018,SKY130,130,AOI21,AOI21_4,A21OI_4,4,"A1_to_Y__A2=1,B1=0",1,3,24,7.800000000000002,12.0,1.9275583913156098,107.98687214511315,3.138794499593343,0.015368290157830984,typical,tt,0.0790738,0.372481,0.2257774,1.27715,3.0227065419894643,ok,SPICE_SKY130_RELEASED_SPICE,off,0,0,sky130-pdk/libraries/sky130_fd_sc_hd/latest/cells/a21oi/sky130_fd_sc_hd__a21oi_4.spice,results/prospective_locked_confirmation/sky130/seed_5/corner_typical/netlists/26500018_aoi21_4_typical.cir,results/prospective_locked_confirmation/sky130/seed_5/corner_typical/logs/26500018_aoi21_4_typical.log,0,57,5,typical,18,2,stopping_evaluation
26500019,SKY130,130,INV,INV_1,INV_1,1,A_to_Y,1,1,2,0.65,1.0,1.7701935794998938,121.11305092824551,1.064940599074843,0.07052977543738255,typical,tt,0.470528,0.710663,0.5905955,1.41026,0.4475587499910034,ok,SPICE_SKY130_RELEASED_SPICE,off,0,0,sky130-pdk/libraries/sky130_fd_sc_hd/latest/cells/inv/sky130_fd_sc_hd__inv_1.spice,results/prospective_locked_confirmation/sky130/seed_5/corner_typical/netlists/26500019_inv_1_typical.cir,results/prospective_locked_confirmation/sky130/seed_5/corner_typical/logs/26500019_inv_1_typical.log,0,1,5,typical,19,2,stopping_evaluation
26500020,SKY130,130,INV,INV_4,INV_4,4,A_to_Y,1,1,8,2.6,4.0,1.742546936606945,50.593729172035424,10.95684733622459,0.014655182070905465,typical,tt,-0.297014,0.9873059999999999,0.34514599999999995,1.11647,1.1812451669829898,ok,SPICE_SKY130_RELEASED_SPICE,off,0,0,sky130-pdk/libraries/sky130_fd_sc_hd/latest/cells/inv/sky130_fd_sc_hd__inv_4.spice,results/prospective_locked_confirmation/sky130/seed_5/corner_typical/netlists/26500020_inv_4_typical.cir,results/prospective_locked_confirmation/sky130/seed_5/corner_typical/logs/26500020_inv_4_typical.log,0,9,5,typical,20,2,stopping_evaluation
