support_budget,prequential_delay_nmae,prediction_change_nmae,coverage_radius_ratio,eligible,two_consecutive_eligible
0,,,1.0,False,False
16,0.3373055779999869,0.4785906515921955,0.7924062227238063,False,False
32,0.4011659344281627,0.3694593196037864,0.6088128226210855,False,False
48,0.19891948208666665,0.08830187923873811,0.4933472854102135,False,False
64,0.16428180781007432,0.04105086639572678,0.4269484882328746,True,False
80,0.16269163937059766,0.02244122746537397,0.35254816087878177,True,True
