candidate_id,pdk,process_node_nm,cell_family,cell_variant,source_cell_variant,drive_strength,input_arc,inverting,input_count,transistor_count,total_n_width_um,total_p_width_um,Vdd,Temp,slew_ns,Cload_pF,corner,seed,heldout_corner,query_order
51,SKY130,130,AOI21,AOI21_1,A21OI_1,1,"A1_to_Y__A2=1,B1=0",1,3,6,1.9500000000000002,3.0,1.9160269716150748,-17.053750282603303,11.363313671277407,0.05419279165455063,typical,5,typical,1
59,SKY130,130,AOI21,AOI21_4,A21OI_4,4,"A1_to_Y__A2=1,B1=0",1,3,24,7.800000000000002,12.0,1.649341796863324,20.56783047228393,0.6560201197484065,0.1903518160613415,typical,5,typical,2
5,SKY130,130,INV,INV_1,INV_1,1,A_to_Y,1,1,2,0.65,1.0,1.9014081614400828,60.51419568977673,10.842418706343992,0.1904651851466881,typical,5,typical,3
10,SKY130,130,INV,INV_4,INV_4,4,A_to_Y,1,1,8,2.6,4.0,1.6901719732101776,110.62783074318841,0.496485551473312,0.1534135571823362,typical,5,typical,4
77,SKY130,130,MUX2,MUX2_1,MUX2_1,1,"A0_to_X__A1=0,S=0",0,3,12,2.75,3.1,1.9789601885798196,105.79074888135989,0.6124786093532256,0.00451827366054087,typical,5,typical,5
83,SKY130,130,MUX2,MUX2_4,MUX2_4,4,"A0_to_X__A1=0,S=0",0,3,18,5.8500000000000005,9.0,1.68121759422873,-35.914224740325224,10.445114505255335,0.011996247515728507,typical,5,typical,6
15,SKY130,130,NAND2,NAND2_1,NAND2_1,1,A_to_Y__B=1,1,2,4,1.3,2.0,1.6962070749486615,-39.095813561486494,9.145283662015926,0.18401930422354482,typical,5,typical,7
20,SKY130,130,NAND2,NAND2_4,NAND2_4,4,A_to_Y__B=1,1,2,16,5.2,8.0,1.6513205445001344,-34.87415464463882,5.848757095261705,0.17417508363015693,typical,5,typical,8
87,SKY130,130,NAND3,NAND3_1,NAND3_1,1,"A_to_Y__B=1,C=1",1,3,6,1.9500000000000002,3.0,1.9634284764311916,-12.810869375750666,0.7394173795650031,0.06803650891001457,typical,5,typical,9
95,SKY130,130,NAND3,NAND3_4,NAND3_4,4,"A_to_Y__B=1,C=1",1,3,24,7.800000000000002,12.0,1.6319997710973941,-27.66356839733846,8.641600457421939,0.07620309932512676,typical,5,typical,10
