sample_id,cell_type,input_arc,Wn_um,L_um,Wp_Wn_ratio,Vdd,Temp,Cload_fF,slew_ps,corner,tphl_ns,tplh_ns,delay_avg_ns,power_avg_uW,simulator,ngspice_version,model_file,nmos_model,pmos_model,fidelity,status,netlist_path,log_path
0,INV,I_to_Z,4.753899000557712,0.28,1.6179157559728483,1.6430600630884065,96.34180459357825,36.375437493726736,418.3606930318451,typical,0.15465700000000002,0.226689,0.190673,3.76361,ngspice,ngspice-46 : Circuit level simulation program,gf180mcu-pdk/libraries/gf180mcu_fd_pr/latest/models/ngspice/sm141064.ngspice,nmos_3p3,pmos_3p3,SPICE_GF180MCU,ok,spice_v2/netlists/00000_INV.cir,spice_v2/logs/00000_INV.log
1,INV,I_to_Z,3.2834985141078694,0.28,2.6953079099099218,1.7216646017302368,62.637671298889614,24.136979647841635,133.0627336038969,ss,0.124652,0.134271,0.1294615,3.14678,ngspice,ngspice-46 : Circuit level simulation program,gf180mcu-pdk/libraries/gf180mcu_fd_pr/latest/models/ngspice/sm141064.ngspice,nmos_3p3,pmos_3p3,SPICE_GF180MCU,ok,spice_v2/netlists/00001_INV.cir,spice_v2/logs/00001_INV.log
2,INV,I_to_Z,4.3165232705957255,0.28,1.5177321469482898,1.810488077386143,67.8196130408317,77.94078228552122,361.02370603795566,ff,0.159372,0.239984,0.19967800000000002,8.44213,ngspice,ngspice-46 : Circuit level simulation program,gf180mcu-pdk/libraries/gf180mcu_fd_pr/latest/models/ngspice/sm141064.ngspice,nmos_3p3,pmos_3p3,SPICE_GF180MCU,ok,spice_v2/netlists/00002_INV.cir,spice_v2/logs/00002_INV.log
3,INV,I_to_Z,1.699260587700865,0.28,2.4956520829911173,1.8878102386413305,-5.775607954812067,34.92641471168354,491.518016578077,typical,0.223973,0.258067,0.24102,4.14876,ngspice,ngspice-46 : Circuit level simulation program,gf180mcu-pdk/libraries/gf180mcu_fd_pr/latest/models/ngspice/sm141064.ngspice,nmos_3p3,pmos_3p3,SPICE_GF180MCU,ok,spice_v2/netlists/00003_INV.cir,spice_v2/logs/00003_INV.log
4,INV,I_to_Z,4.707361989680231,0.28,2.125364390939664,1.8204052668163964,-8.946233330383443,69.74061854993758,69.55251479231944,ss,0.133819,0.184288,0.15905350000000001,8.17469,ngspice,ngspice-46 : Circuit level simulation program,gf180mcu-pdk/libraries/gf180mcu_fd_pr/latest/models/ngspice/sm141064.ngspice,nmos_3p3,pmos_3p3,SPICE_GF180MCU,ok,spice_v2/netlists/00004_INV.cir,spice_v2/logs/00004_INV.log
5,INV,I_to_Z,2.8025731476269575,0.28,1.851233925554422,1.6606799927112403,9.537352197417906,63.588187750012374,498.6145483864652,ff,0.214511,0.290132,0.2523215,5.65928,ngspice,ngspice-46 : Circuit level simulation program,gf180mcu-pdk/libraries/gf180mcu_fd_pr/latest/models/ngspice/sm141064.ngspice,nmos_3p3,pmos_3p3,SPICE_GF180MCU,ok,spice_v2/netlists/00005_INV.cir,spice_v2/logs/00005_INV.log
6,INV,I_to_Z,2.8640841854520813,0.28,2.224423160195075,1.9333669001817217,38.68967216004824,18.26984503533903,31.884494588604674,typical,0.060306900000000004,0.0680933,0.0642001,3.06119,ngspice,ngspice-46 : Circuit level simulation program,gf180mcu-pdk/libraries/gf180mcu_fd_pr/latest/models/ngspice/sm141064.ngspice,nmos_3p3,pmos_3p3,SPICE_GF180MCU,ok,spice_v2/netlists/00006_INV.cir,spice_v2/logs/00006_INV.log
7,INV,I_to_Z,1.3912785352903727,0.28,2.0385964169626645,1.742098629364527,72.34836361992504,98.79397550863675,221.35977705729405,ss,0.6247659999999999,0.843105,0.7339355,8.99822,ngspice,ngspice-46 : Circuit level simulation program,gf180mcu-pdk/libraries/gf180mcu_fd_pr/latest/models/ngspice/sm141064.ngspice,nmos_3p3,pmos_3p3,SPICE_GF180MCU,ok,spice_v2/netlists/00007_INV.cir,spice_v2/logs/00007_INV.log
8,INV,I_to_Z,2.48805141016854,0.28,2.5819015073279323,1.7555471664578193,64.36170285738237,92.06116794875236,358.57254764260017,ff,0.258709,0.26759,0.26314950000000004,8.98745,ngspice,ngspice-46 : Circuit level simulation program,gf180mcu-pdk/libraries/gf180mcu_fd_pr/latest/models/ngspice/sm141064.ngspice,nmos_3p3,pmos_3p3,SPICE_GF180MCU,ok,spice_v2/netlists/00008_INV.cir,spice_v2/logs/00008_INV.log
9,INV,I_to_Z,2.5440481196210802,0.28,2.051176937188953,1.631267505788752,82.8124484548275,87.30533065141879,88.87107943322617,typical,0.260447,0.357305,0.308876,7.33301,ngspice,ngspice-46 : Circuit level simulation program,gf180mcu-pdk/libraries/gf180mcu_fd_pr/latest/models/ngspice/sm141064.ngspice,nmos_3p3,pmos_3p3,SPICE_GF180MCU,ok,spice_v2/netlists/00009_INV.cir,spice_v2/logs/00009_INV.log
10,INV,I_to_Z,3.714843025080505,0.28,1.6644007892244663,1.8377030948699709,24.452663481011513,57.13262943758139,193.07893888540843,ss,0.170402,0.26782,0.219111,6.54898,ngspice,ngspice-46 : Circuit level simulation program,gf180mcu-pdk/libraries/gf180mcu_fd_pr/latest/models/ngspice/sm141064.ngspice,nmos_3p3,pmos_3p3,SPICE_GF180MCU,ok,spice_v2/netlists/00010_INV.cir,spice_v2/logs/00010_INV.log
11,INV,I_to_Z,1.551454750273206,0.28,2.5503055228278124,1.9648332686204286,31.186162304057824,90.56291251335225,92.35663503286861,ff,0.26375,0.25834999999999997,0.26105,10.6982,ngspice,ngspice-46 : Circuit level simulation program,gf180mcu-pdk/libraries/gf180mcu_fd_pr/latest/models/ngspice/sm141064.ngspice,nmos_3p3,pmos_3p3,SPICE_GF180MCU,ok,spice_v2/netlists/00011_INV.cir,spice_v2/logs/00011_INV.log
12,INV,I_to_Z,3.4418391640649375,0.28,2.314274512838037,1.7472653081205884,17.1800629618019,44.136597709060915,131.36207932394842,typical,0.11979600000000001,0.145721,0.1327585,4.904,ngspice,ngspice-46 : Circuit level simulation program,gf180mcu-pdk/libraries/gf180mcu_fd_pr/latest/models/ngspice/sm141064.ngspice,nmos_3p3,pmos_3p3,SPICE_GF180MCU,ok,spice_v2/netlists/00012_INV.cir,spice_v2/logs/00012_INV.log
13,INV,I_to_Z,4.656571730037668,0.28,2.941263825677336,1.8501220144969934,91.38653953220586,4.677237472916696,322.8909191927752,ss,0.0991871,0.112108,0.10564754999999999,2.11749,ngspice,ngspice-46 : Circuit level simulation program,gf180mcu-pdk/libraries/gf180mcu_fd_pr/latest/models/ngspice/sm141064.ngspice,nmos_3p3,pmos_3p3,SPICE_GF180MCU,ok,spice_v2/netlists/00013_INV.cir,spice_v2/logs/00013_INV.log
14,INV,I_to_Z,4.046210860727532,0.28,2.6165657016460364,1.6664235699833894,13.37658618056112,37.81209091516227,295.5036632598951,ff,0.11820599999999999,0.13574299999999997,0.1269745,4.12414,ngspice,ngspice-46 : Circuit level simulation program,gf180mcu-pdk/libraries/gf180mcu_fd_pr/latest/models/ngspice/sm141064.ngspice,nmos_3p3,pmos_3p3,SPICE_GF180MCU,ok,spice_v2/netlists/00014_INV.cir,spice_v2/logs/00014_INV.log
15,INV,I_to_Z,2.025531456593284,0.28,2.423552471177117,1.9061781413373153,-2.276097849017571,34.06541155170502,481.1207793224096,typical,0.201156,0.23319900000000002,0.2171775,4.23969,ngspice,ngspice-46 : Circuit level simulation program,gf180mcu-pdk/libraries/gf180mcu_fd_pr/latest/models/ngspice/sm141064.ngspice,nmos_3p3,pmos_3p3,SPICE_GF180MCU,ok,spice_v2/netlists/00015_INV.cir,spice_v2/logs/00015_INV.log
