sample_id,cell_type,input_arc,Wn_um,L_um,Wp_Wn_ratio,Vdd,Temp,Cload_fF,slew_ps,corner,tphl_ns,tplh_ns,delay_avg_ns,power_avg_uW,simulator,ngspice_version,model_file,nmos_model,pmos_model,statistical_mode,sw_stat_global,sw_stat_mismatch,sampling_seed,fidelity,status,netlist_path,log_path,candidate_id,seed,pool_seed,heldout_corner,strategy,spice_wall_time_s,reference_origin
6210019,INV,I_to_Z,2.898177841504151,0.28,1.8964022277689816,1.7906000593307974,91.60341355640732,14.284765894557042,228.20290987637003,ss,0.11760699999999999,0.153696,0.1356515,2.0827,ngspice,ngspice-46 : Circuit level simulation program,gf180mcu-pdk/libraries/gf180mcu_fd_pr/latest/models/ngspice/sm141064.ngspice,nmos_3p3,pmos_3p3,off,0,0,2,SPICE_GF180MCU,ok,results/online_spice_deterministic/exhaustive_reference/seed_2/corner_ss/netlists/6210019_INV.cir,results/online_spice_deterministic/exhaustive_reference/seed_2/corner_ss/logs/6210019_INV.log,19,2,2,ss,exhaustive_reference_completion,0.4971603750018403,new_completion_query
6210007,INV,I_to_Z,2.330369160140175,0.28,2.3811836634615537,1.9537940884956455,61.95416329283212,12.621913172002026,430.0394959488248,ss,0.14468,0.17791300000000002,0.1612965,2.19822,ngspice,ngspice-46 : Circuit level simulation program,gf180mcu-pdk/libraries/gf180mcu_fd_pr/latest/models/ngspice/sm141064.ngspice,nmos_3p3,pmos_3p3,off,0,0,2,SPICE_GF180MCU,ok,results/online_spice_deterministic/exhaustive_reference/seed_2/corner_ss/netlists/6210007_INV.cir,results/online_spice_deterministic/exhaustive_reference/seed_2/corner_ss/logs/6210007_INV.log,7,2,2,ss,exhaustive_reference_completion,0.5028836249839514,new_completion_query
6210063,NOR2,A1_A2_tied_to_Z,3.439457835823266,0.28,2.560723720097772,1.8943440764596848,60.90239271709558,74.58361635246946,403.4924300844537,ss,0.189215,0.523641,0.35642799999999997,9.88272,ngspice,ngspice-46 : Circuit level simulation program,gf180mcu-pdk/libraries/gf180mcu_fd_pr/latest/models/ngspice/sm141064.ngspice,nmos_3p3,pmos_3p3,off,0,0,2,SPICE_GF180MCU,ok,results/online_spice_deterministic/exhaustive_reference/seed_2/corner_ss/netlists/6210063_NOR2.cir,results/online_spice_deterministic/exhaustive_reference/seed_2/corner_ss/logs/6210063_NOR2.log,63,2,2,ss,exhaustive_reference_completion,0.7026039169868454,new_completion_query
6210092,XOR2,A1_to_Z_A2_held_1,3.5966470333134124,0.28,2.868820580077017,1.710844956276827,20.39496643981206,85.36799594548144,275.2711213831072,ss,0.468467,0.517669,0.493068,11.6189,ngspice,ngspice-46 : Circuit level simulation program,gf180mcu-pdk/libraries/gf180mcu_fd_pr/latest/models/ngspice/sm141064.ngspice,nmos_3p3,pmos_3p3,off,0,0,2,SPICE_GF180MCU,ok,results/online_spice_deterministic/exhaustive_reference/seed_2/corner_ss/netlists/6210092_XOR2.cir,results/online_spice_deterministic/exhaustive_reference/seed_2/corner_ss/logs/6210092_XOR2.log,92,2,2,ss,exhaustive_reference_completion,1.0992992499959655,new_completion_query
