candidate_id,cell_family,cell_variant,drive_strength,input_arc,inverting,input_count,transistor_count,total_n_width_um,total_p_width_um,Vdd,Temp,slew_ns,Cload_pF,corner,seed,heldout_corner,query_order
50,AOI21,AOI21_1,1,"A1_to_ZN__A2=1,B=0",1,3,6,2.15,3.6450000000000005,1.8674043690904207,80.6751638480867,3.647371431157826,0.20468138906144215,ff,5,ff,1
58,AOI21,AOI21_4,4,"A1_to_ZN__A2=1,B=0",1,3,24,8.6,14.399999999999997,1.6311707122334898,87.9815427591383,8.093501711909973,0.034644671929491284,ff,5,ff,2
3,INV,INV_1,1,I_to_ZN,1,1,2,0.82,1.22,1.9341289231589753,54.704654847856716,10.562153551385054,0.18641523989558695,ff,5,ff,3
8,INV,INV_4,4,I_to_ZN,1,1,8,3.28,4.88,1.9482801321333612,-38.22804971647597,9.76745506734344,0.16047436769785522,ff,5,ff,4
76,MUX2,MUX2_1,1,"I0_to_Z__I1=0,S=0",0,3,12,2.6199999999999997,4.295000000000001,1.9479738741274217,-20.359326452614624,5.151324735326622,0.16441924972422883,ff,5,ff,5
78,MUX2,MUX2_4,4,"I0_to_Z__I1=0,S=0",0,3,18,7.380000000000001,10.98,1.6536518924442332,118.35455004767402,2.079858556199218,0.14650063649714082,ff,5,ff,6
15,NAND2,NAND2_1,1,A1_to_ZN__A2=1,1,2,4,1.64,2.26,1.8120796730664315,-23.642920444931296,10.337464029255742,0.2057638849090463,ff,5,ff,7
18,NAND2,NAND2_4,4,A1_to_ZN__A2=1,1,2,16,6.5600000000000005,9.04,1.7274246743972863,-17.55443454292988,10.236296517293013,0.20079469243486545,ff,5,ff,8
87,NAND3,NAND3_1,1,"A1_to_ZN__A2=1,A3=1",1,3,6,2.46,2.955,1.9738579151574949,116.8180522916451,10.343648935317837,0.14124939959306623,ff,5,ff,9
90,NAND3,NAND3_4,4,"A1_to_ZN__A2=1,A3=1",1,3,24,9.840000000000002,11.82,1.9413508851468375,70.0225974146927,3.3989589322574076,0.16792183029525426,ff,5,ff,10
29,NOR2,NOR2_1,1,A1_to_ZN__A2=0,1,2,4,1.13,2.44,1.6335991189004608,47.44908862087898,5.993077688500305,0.20285744868865968,ff,5,ff,11
32,NOR2,NOR2_4,4,A1_to_ZN__A2=0,1,2,16,4.52,9.76,1.6478907043252615,-22.516767377499363,11.232492739464574,0.010640393189714395,ff,5,ff,12
63,OAI21,OAI21_1,1,"A1_to_ZN__A2=0,B=1",1,3,6,2.46,3.57,1.6363402734751349,-37.986060511340916,8.221481062388893,0.17020454431301335,ff,5,ff,13
71,OAI21,OAI21_4,4,"A1_to_ZN__A2=0,B=1",1,3,24,9.840000000000002,12.580000000000004,1.852724556311967,-37.25980702006944,2.90449337903573,0.20192863802894567,ff,5,ff,14
39,XOR2,XOR2_1,1,A1_to_Z__A2=0,0,2,10,3.1799999999999997,4.779999999999999,1.6893216458903455,-22.51515260422704,1.2195434153888751,0.170508701181523,ff,5,ff,15
44,XOR2,XOR2_4,4,A1_to_Z__A2=0,0,2,18,6.46,8.935,1.6367214631266898,-23.179192885108918,11.326517618878,0.16845095759005713,ff,5,ff,16
51,AOI21,AOI21_1,1,"A1_to_ZN__A2=1,B=0",1,3,6,2.15,3.6450000000000005,1.651127582517281,-14.10204950413236,4.298350160059834,0.06601797885208999,ff,5,ff,17
55,AOI21,AOI21_4,4,"A1_to_ZN__A2=1,B=0",1,3,24,8.6,14.399999999999997,1.966179439381592,7.006915776055628,1.0105407320845337,0.12412649117574465,ff,5,ff,18
0,INV,INV_1,1,I_to_ZN,1,1,2,0.82,1.22,1.8474137911553201,-22.573843340064123,5.915331432359306,0.0013139559629001306,ff,5,ff,19
10,INV,INV_4,4,I_to_ZN,1,1,8,3.28,4.88,1.6706503351226614,120.04242201470291,5.769042436901836,0.057383486015936465,ff,5,ff,20
75,MUX2,MUX2_1,1,"I0_to_Z__I1=0,S=0",0,3,12,2.6199999999999997,4.295000000000001,1.760670040668613,78.10156151309953,6.17081461702281,0.0051102981332849795,ff,5,ff,21
83,MUX2,MUX2_4,4,"I0_to_Z__I1=0,S=0",0,3,18,7.380000000000001,10.98,1.9503053900922422,50.65389255589808,8.156386390337532,0.03567737357074822,ff,5,ff,22
14,NAND2,NAND2_1,1,A1_to_ZN__A2=1,1,2,4,1.64,2.26,1.7108874188066647,98.80481089966761,5.047568214804761,0.025517048638140187,ff,5,ff,23
22,NAND2,NAND2_4,4,A1_to_ZN__A2=1,1,2,16,6.5600000000000005,9.04,1.913644994156541,109.16417492626186,6.0321462852807874,0.026211600148052752,ff,5,ff,24
89,NAND3,NAND3_1,1,"A1_to_ZN__A2=1,A3=1",1,3,6,2.46,2.955,1.629490163228483,14.545455744404002,8.004640662527658,0.016456567821896813,ff,5,ff,25
94,NAND3,NAND3_4,4,"A1_to_ZN__A2=1,A3=1",1,3,24,9.840000000000002,11.82,1.779274472066238,61.47470182200689,11.636303729055621,0.04200291623540158,ff,5,ff,26
24,NOR2,NOR2_1,1,A1_to_ZN__A2=0,1,2,4,1.13,2.44,1.862344545678533,119.92388728077941,9.406695414760627,0.05373265185684767,ff,5,ff,27
30,NOR2,NOR2_4,4,A1_to_ZN__A2=0,1,2,16,4.52,9.76,1.7507793241870944,102.02681768486576,0.20940886954531215,0.035680880384123766,ff,5,ff,28
65,OAI21,OAI21_1,1,"A1_to_ZN__A2=0,B=1",1,3,6,2.46,3.57,1.8484548301622987,92.57396964036795,7.400019174107123,0.010065877126166863,ff,5,ff,29
66,OAI21,OAI21_4,4,"A1_to_ZN__A2=0,B=1",1,3,24,9.840000000000002,12.580000000000004,1.787398606237459,116.1352680290795,5.326013958292257,0.029465912199957957,ff,5,ff,30
36,XOR2,XOR2_1,1,A1_to_Z__A2=0,0,2,10,3.1799999999999997,4.779999999999999,1.9112610414619637,82.0347144574109,11.783075251826935,0.11005679598746848,ff,5,ff,31
46,XOR2,XOR2_4,4,A1_to_Z__A2=0,0,2,18,6.46,8.935,1.852533450506488,105.67250870591775,2.488753767185876,0.19946758075249138,ff,5,ff,32
49,AOI21,AOI21_1,1,"A1_to_ZN__A2=1,B=0",1,3,6,2.15,3.6450000000000005,1.927932561465067,47.613892270026696,7.672861117831804,0.02089556406956128,ff,5,ff,33
59,AOI21,AOI21_4,4,"A1_to_ZN__A2=1,B=0",1,3,24,8.6,14.399999999999997,1.7123640417374382,29.738377067593362,2.798143154680381,0.20229457742166582,ff,5,ff,34
5,INV,INV_1,1,I_to_ZN,1,1,2,0.82,1.22,1.6902863435911326,111.69027556657389,3.2377650250221177,0.15203566485159478,ff,5,ff,35
7,INV,INV_4,4,I_to_ZN,1,1,8,3.28,4.88,1.853355289560736,55.041851177931704,0.3314032953759143,0.02639243071030014,ff,5,ff,36
77,MUX2,MUX2_1,1,"I0_to_Z__I1=0,S=0",0,3,12,2.6199999999999997,4.295000000000001,1.824509375963938,106.7489707384432,0.8916811818616335,0.1206167856934534,ff,5,ff,37
79,MUX2,MUX2_4,4,"I0_to_Z__I1=0,S=0",0,3,18,7.380000000000001,10.98,1.7530768366309757,19.528125383265362,10.995038140258917,0.18526542210776023,ff,5,ff,38
12,NAND2,NAND2_1,1,A1_to_ZN__A2=1,1,2,4,1.64,2.26,1.929627362383862,28.83079331787195,2.5764402927413,0.14340681606407343,ff,5,ff,39
20,NAND2,NAND2_4,4,A1_to_ZN__A2=1,1,2,16,6.5600000000000005,9.04,1.639634003534618,70.8961281407813,1.8135521809943398,0.040690407704407384,ff,5,ff,40
