seed,heldout_corner,strategy,spice_queries,successful_support_rows,failed_queries,cumulative_spice_wall_time_s,support_balance_range,support_inv,support_nand2,support_nor2,support_xor2,delay_r2,delay_mae,delay_rmse,power_r2,power_mae,power_rmse,delay_r2_inv,delay_r2_nand2,delay_r2_nor2,delay_r2_xor2,worst_cell_delay_r2,spearman,kendall_tau,top20_precision,top20_recall,ndcg_top20
2,ss,uncertainty,0,0,0,0.0,0,0,0,0,0,0.48905496541813265,0.15183611684029943,0.22381834406148277,0.9250778575173049,0.5861042606684025,0.780476929778226,0.6590075185863127,0.6338174547646687,0.29595713640145216,0.3352897793990086,0.29595713640145216,0.9785831477792101,0.8820754716981132,0.96875,0.96875,0.9978266137010255
2,ss,uncertainty,4,4,0,2.4868316660285927,2,1,0,2,1,-6.309280620746171,0.8178280798958335,0.8465369218042935,0.9246701456367403,0.5805050793402776,0.782597651177467,-11.205249438531832,-9.410927117761062,-11.197583885430022,-2.2747179978723477,-11.205249438531832,0.8324563459510137,0.6290880503144654,0.71875,0.71875,0.9560210295093505
2,ss,uncertainty,8,8,0,4.882178250001743,0,2,2,2,2,0.10932742909287785,0.21975523273993042,0.295506899851398,0.9262949888290077,0.5680616618272571,0.7741114378194786,0.4339101581551904,0.7297262777206419,-2.6209386359311173,0.6446250444299688,-2.6209386359311173,0.8526514707605766,0.6666666666666666,0.75,0.75,0.9728476737563525
2,ss,uncertainty,12,12,0,7.138311789982254,4,2,2,6,2,0.7483459807754496,0.10781929281987854,0.15707624919677665,0.9289662895464166,0.5553167895572918,0.7599538623071405,0.619184116766049,0.7272156317938381,0.6793781666614611,0.7922692054698068,0.619184116766049,0.9396255713113794,0.7924528301886793,0.90625,0.90625,0.9882526056218742
2,ss,uncertainty,16,16,0,9.75258237394155,7,2,3,9,2,0.7998568529679166,0.09786471849229603,0.1400809082401315,0.924140425055697,0.5778942498394105,0.7853444495265125,0.6560433655927193,0.8734156161777633,0.7806215518149504,0.7976003968035527,0.6560433655927193,0.9503046994023203,0.810377358490566,0.875,0.875,0.9880192155930282
2,ss,uncertainty,20,20,0,12.76909124996746,6,3,4,9,4,0.596822005216642,0.13901895786367197,0.1988185934468868,0.9254756863138123,0.5735419590668404,0.7784020460324813,0.3108878000767,0.48855294797795235,0.6748402063064463,0.6562734344738913,0.3108878000767,0.918114965428337,0.7555031446540881,0.84375,0.84375,0.982830713582319
2,ss,uncertainty,24,24,0,15.069072457990842,4,5,5,9,5,0.7612589771860419,0.09997272918700077,0.15299319415750143,0.9209280450100471,0.5962604378472223,0.8018003001025342,0.6971692174909856,0.758719425998883,0.8038720563248982,0.7264849333334895,0.6971692174909856,0.9488808156568617,0.8105345911949685,0.96875,0.96875,0.9911379826739327
2,ss,uncertainty,28,28,0,17.655402291973587,5,5,7,10,6,0.7645530806431732,0.10072876265950517,0.151934042401909,0.9304907735438943,0.5414696222005213,0.7517547898647219,0.6746930281722836,0.8255291133425482,0.7623285269483492,0.7315011280153412,0.6746930281722836,0.9585638110863706,0.8259433962264151,0.9375,0.9375,0.9880869949709723
2,ss,uncertainty,32,32,0,19.845758709008805,4,7,7,11,7,0.7903909866267329,0.1022092914969617,0.14335523719214313,0.9272583821734953,0.5569278129166666,0.76903561703433,0.7755747943928619,0.8011860975510317,0.798767420900601,0.7485386422543354,0.7485386422543354,0.9732011016055315,0.8608490566037736,0.9375,0.9375,0.9906169754848905
2,ss,uncertainty,36,36,0,22.191647293017013,4,8,8,12,8,0.8053688525943195,0.09584592879446605,0.13813850712239695,0.9265450308272852,0.5536454688932284,0.7727972475854367,0.771728873765968,0.8289271647741063,0.8420357446598941,0.7570870614271332,0.7570870614271332,0.9769717567092465,0.8732704402515723,0.9375,0.9375,0.993438347208419
2,ss,uncertainty,40,40,0,24.036365667008795,6,10,8,14,8,0.8129600665217531,0.0921029963421223,0.1354178007715639,0.9308263065463486,0.5448346895095485,0.7499381700340618,0.8153446335488083,0.8238517973832401,0.8694535326979275,0.7484716669452203,0.7484716669452203,0.9774170866049455,0.8724842767295597,0.9375,0.9375,0.9929738369748351
2,ss,uncertainty,44,44,0,28.288025876012398,6,10,8,14,12,0.8019647878565715,0.0964067179326171,0.13934128001498097,0.9245692250866522,0.5618807973654516,0.7831217046957442,0.8041850453181983,0.7829915075087567,0.8691253508413608,0.7442877189226532,0.7442877189226532,0.9774610336341263,0.8723270440251573,0.90625,0.90625,0.9920815112845165
2,ss,uncertainty,48,48,0,30.636317585012875,7,11,9,16,12,0.8129362570538909,0.09488224479513883,0.13542641958123225,0.9256579633134134,0.5530509858246531,0.7774495270040302,0.8048486308947637,0.8168474569338473,0.8523315715836001,0.7629148502137121,0.7629148502137121,0.9812258291339505,0.8869496855345912,0.9375,0.9375,0.9949092601195128
