seed,heldout_corner,uncertainty_weight,diversity_weight,support_rows,delay_r2,delay_mae,delay_rmse,power_r2,power_mae,power_rmse,delay_r2_inv,delay_r2_nand2,delay_r2_nor2,delay_r2_xor2,worst_cell_delay_r2,spearman,kendall_tau,top20_precision,top20_recall,ndcg_top20
0,ff,0.0,1.0,0,0.17108118326269273,0.10823016123152283,0.1315590378300338,0.9367959314050616,0.6279279983630952,0.8396906752341295,-0.157934511265597,-0.7413202281193345,0.4130677928477241,0.25371053039507463,-0.7413202281193345,0.9716392512762337,0.8792102206736353,1.0,1.0,0.9992539994471448
0,ff,0.0,1.0,4,0.34592883259314233,0.09436283785714286,0.11686304332261896,0.9347971006319645,0.6377535988591276,0.8528649495349568,-0.1058565823825739,-0.19063376508279828,0.5332263220872433,0.4694518003819145,-0.19063376508279828,0.9628879345271858,0.8652729384436701,1.0,1.0,0.9995307463696277
0,ff,0.0,1.0,8,0.5509634265499053,0.07252354292224707,0.0968290223525518,0.9419622456904049,0.5950715974206343,0.8046409153676298,0.0853505412876806,0.15409646261235754,0.7501212041934188,0.7015998027254461,0.0853505412876806,0.9648326715825298,0.8722415795586527,1.0,1.0,0.9996685674915304
0,ff,0.0,1.0,12,0.5112827787263594,0.07030823179365084,0.10101677765624789,0.9467218359200475,0.5550523734126985,0.7709415239764018,-0.03227809445909702,0.0068467453312804905,0.7433358496687816,0.732329512228045,-0.03227809445909702,0.9635361802123006,0.867595818815331,1.0,1.0,0.9997140865280325
0,ff,0.0,1.0,16,0.6819320471806669,0.06093293358051658,0.08149381446114383,0.9451290218686021,0.557994959201389,0.7823807628709691,0.30737495584003705,0.46572113409085303,0.7852319040182826,0.8331768955426166,0.30737495584003705,0.9611052588931206,0.8606271777003484,1.0,1.0,0.9997140865280325
0,ff,0.0,1.0,20,0.7099076676014533,0.05863728790897819,0.07782745236420052,0.9453843035898976,0.5454778808035713,0.7805586671140498,0.4084730660705065,0.4742696606974012,0.7887428075353116,0.855132226797402,0.4084730660705065,0.9627258731059073,0.8629500580720093,1.0,1.0,0.9997140865280325
0,ff,0.0,1.0,24,0.7219379291797156,0.05390222726822914,0.07619659523223979,0.9408155769359955,0.5631158938740073,0.8125507990300266,0.3237387260863611,0.5689431858626868,0.8216695238350751,0.8817546405066611,0.3237387260863611,0.9685600842719391,0.867595818815331,1.0,1.0,0.9997140865280325
0,ff,0.25,0.75,0,0.1710811832626925,0.10823016123152286,0.1315590378300338,0.9367959314050616,0.6279279983630954,0.8396906752341297,-0.15793451126559654,-0.7413202281193358,0.4130677928477242,0.25371053039507496,-0.7413202281193358,0.9716392512762337,0.8792102206736353,1.0,1.0,0.9992539994471448
0,ff,0.25,0.75,4,0.34026862609038033,0.09988224594345238,0.11736760925749148,0.9370745585284173,0.6236645346974212,0.8378377959901492,0.12587237038270316,-0.20769839249015254,0.4754788145933707,0.3263924078013257,-0.20769839249015254,0.970018637063447,0.8861788617886178,1.0,1.0,0.9996744129132832
0,ff,0.25,0.75,8,0.43015515753370503,0.09089283279637897,0.10907946528704997,0.9328545651413637,0.6418927212053569,0.8654760571859876,0.1698904933363239,-0.16462467380428447,0.6267355825607395,0.46021151204373634,-0.16462467380428447,0.973421926910299,0.8977932636469221,1.0,1.0,0.9994510801049484
0,ff,0.25,0.75,12,0.5970820925889403,0.07432734114794143,0.09172188559123226,0.9346217877760647,0.6192800010168659,0.8540107407720152,0.4398178613684658,0.20237043797971876,0.6886791377909891,0.6367233341357916,0.20237043797971876,0.9698565756421685,0.8861788617886178,1.0,1.0,0.9997140865280325
0,ff,0.25,0.75,16,0.6772265399901866,0.06478339579267638,0.08209441231403433,0.9371800962631351,0.591610673685515,0.8371348957975289,0.46679475098838985,0.33110345747253267,0.7665894305615163,0.7803772198542531,0.33110345747253267,0.9651567944250872,0.867595818815331,1.0,1.0,0.9997735493315758
