seed,target,model,train_rows,test_rows,fit_seconds,predict_seconds,predict_us_per_row,r2,mae,rmse,mape_pct,p90_abs_err,p95_abs_err,max_abs_err
0,delay_avg_ns,Ridge,256,64,0.006781125033739954,0.002788958023302257,43.57746911409777,0.6881318861114372,0.07196257965326328,0.09126473863803561,32.49673792463871,0.12870847798644547,0.14180156579330347,0.3473810518670952
0,delay_avg_ns,SVR_RBF,256,64,0.008866625023074448,0.002899999963119626,45.31249942374416,0.8459064268756898,0.04658086769137301,0.06415193942466357,20.531652806484207,0.085486309767107,0.12184950406439195,0.27612050679951805
0,delay_avg_ns,GaussianProcess,256,64,0.2926321669947356,0.004736832983326167,74.01301536447136,0.919568741670024,0.034972709994864286,0.0463478891007707,13.933853874108499,0.07063672624553455,0.08148431847112801,0.15049188945357533
0,delay_avg_ns,RandomForest,256,64,0.34100704098818824,0.04558370803715661,712.2454380805721,0.7869138506592072,0.050838546212429364,0.07543886370196053,18.320053796707235,0.10705836672242085,0.14452182630580662,0.3257488678174597
0,delay_avg_ns,ExtraTrees,256,64,0.22306099999696016,0.046790707972832024,731.1048120755004,0.8790808434356171,0.04137363870082461,0.05682835465467317,16.583699754973292,0.09161533703611112,0.09862660243402749,0.2599877175833344
0,delay_avg_ns,GradientBoosting,256,64,0.10847066598944366,0.003860540979076177,60.320952798065264,0.8501573341264516,0.03985660888105447,0.06326088642512619,14.314130260112783,0.0815440210364147,0.10324969124390708,0.3555852312259614
0,delay_avg_ns,HistGradientBoosting,256,64,9.823911166982725,0.2028255839832127,3169.1497497376986,0.8415892858578795,0.0420201163635837,0.0650443837570709,14.93232617073984,0.08800310195531434,0.13521102610211994,0.2640053158740847
0,delay_avg_ns,MLP,256,64,0.03507087501930073,0.0037362920120358467,58.379562688060105,0.06626638580818855,0.1212340223772828,0.15791705067170594,54.03789143970893,0.25352612194749347,0.28982100503523245,0.5344306151977303
0,delay_avg_ns,XGBoost,256,64,0.09897145797731355,0.004565084003843367,71.32943756005261,0.8783270511080072,0.03609947499046773,0.05700520928495274,12.908040854556258,0.07576373987140662,0.10143170804643625,0.30340555665588376
0,delay_avg_ns,LightGBM,256,64,0.04857770894886926,0.005356082983780652,83.68879662157269,0.8642265744935864,0.04187140667604054,0.06021780418813275,14.830381582895408,0.0772980135228691,0.1428189409547375,0.22480342219126326
