target,model,runs,median_r2,q25_r2,q75_r2,median_mae,median_p95_abs_err,median_max_abs_err,median_fit_seconds,median_predict_us_per_row
delay_avg_ns,CatBoost,20,0.9193391072007827,0.8790623063818329,0.9293968933300332,0.033656011499784325,0.09489209965329336,0.3165331008425576,0.10392989599495195,57.71777341578854
delay_avg_ns,ExtraTrees,20,0.8690471552831294,0.8157643982441783,0.8880078875981238,0.04986400075455729,0.13664814528020786,0.3549707821527776,0.18385452151414938,684.9928436167829
delay_avg_ns,GaussianProcess,20,0.9004409650782832,0.8802923545066501,0.9167931620068861,0.039171614887171316,0.11612229451383096,0.31084448199795933,0.12424935400485992,51.396155868133064
delay_avg_ns,GradientBoosting,20,0.8802539685274992,0.8659135434538208,0.9082089311170078,0.04616519921113802,0.1500050449834857,0.3051798106907192,0.09830202051671222,47.21288269138313
delay_avg_ns,HistGradientBoosting,20,0.8495884683734058,0.8282039723917346,0.8671335582720945,0.0500353815413866,0.1691656860653722,0.36730328770727355,2.7892613754956983,874.9658204578736
delay_avg_ns,LightGBM,20,0.8595717220121653,0.8425195462379361,0.8679357261672906,0.047515293176820406,0.14859495205361953,0.36734621136650253,0.03465260402299464,63.91439092112705
delay_avg_ns,MLP,20,0.7553157795501924,0.7091445894292246,0.787470891546468,0.0763193412630527,0.1838446859383825,0.45772966114288777,0.09332412498770282,44.3746721430216
delay_avg_ns,RandomForest,20,0.796555121912314,0.7707906363980571,0.8292966708902312,0.06104246328258377,0.17888414109656747,0.40248681789715646,0.2693739579990506,686.9560547784204
delay_avg_ns,Ridge,20,0.6865509514172925,0.6629610523922452,0.7350688542736172,0.08361376169033158,0.15939954946768248,0.5788269124491292,0.004964541498338804,38.44498451144318
delay_avg_ns,SVR_RBF,20,0.8346550863253426,0.804132292779159,0.8669587999009258,0.053279827165416835,0.142530233035337,0.37880694819790106,0.009980041504604742,51.65364837012021
delay_avg_ns,XGBoost,20,0.8888238709820676,0.8726450305676078,0.905086670912459,0.04101283846009598,0.13178005801239,0.3481877869701385,0.07524449998163618,53.97753147917683
power_avg_uW,CatBoost,20,0.988764895793243,0.9873381538090181,0.9898521540172085,0.24113268543036048,0.6228230622649,1.200566727664387,0.10418110399041325,54.615883072983706
power_avg_uW,ExtraTrees,20,0.9535044610757195,0.9437190508072191,0.9607627776935543,0.5232091619140631,1.3638986804861126,2.226839390277771,0.18681327052763663,675.4023438588774
power_avg_uW,GaussianProcess,20,0.9992434676674506,0.9991702221376844,0.9994148760899164,0.0560209974684379,0.16019813967136892,0.35832676886548986,0.11456991650629789,55.15364864550065
power_avg_uW,GradientBoosting,20,0.9721344490298884,0.9656855726339227,0.9775045517281367,0.3882672446157147,1.1066001121531375,1.582331797418945,0.09810420798021369,46.78841423810809
power_avg_uW,HistGradientBoosting,20,0.97835520111071,0.975734937781313,0.9805188529627753,0.35321854054381174,0.9616194032207195,1.5721111813963908,2.6446176250174176,924.5084534086345
power_avg_uW,LightGBM,20,0.9787766047438825,0.9741253376628178,0.9801621850491616,0.3408475652007558,0.9625310566038996,1.6371717155651284,0.03413389599882066,62.6888045189844
power_avg_uW,MLP,20,0.9808367230407066,0.9704498139199793,0.9866125000677396,0.34170260608923453,0.8652199840940663,1.3498284242115484,0.22622499999124557,45.95117979988572
power_avg_uW,RandomForest,20,0.9274681162495344,0.9117057887847552,0.9381419428123535,0.6654076405070937,1.6517078120441115,2.821253672440478,0.2771573750069365,683.5006561232149
power_avg_uW,Ridge,20,0.9641975109571443,0.9620596476089823,0.96628532022359,0.44797216535688866,1.2658040014200789,1.6408888307017517,0.0051562289881985635,39.18977290595649
power_avg_uW,SVR_RBF,20,0.9779334316112668,0.9740179057470979,0.9809867162781866,0.34957610904234737,0.9806363176129991,1.5417220440313955,0.01454720800393261,55.58398470384418
power_avg_uW,XGBoost,20,0.9808757509035544,0.9753167401381914,0.9834282044355551,0.33802612950384614,0.8564335728321064,1.4308379438781742,0.07453618798172101,50.76042180007789
