pdk,subset,runs,spice_calls_used,spice_calls_full_reference,spice_calls_avoided_at_decision,cumulative_per_call_spice_time_used_s,cumulative_per_call_spice_time_full_s,median_model_fit_time_s,median_model_predict_time_s
GF180MCU,all_runs,6,528,576,48,1031.6452374587534,1114.7077993695857,0.09494495802209713,0.027772249974077567
GF180MCU,early_stop_only,3,240,288,48,473.38650849973783,556.4490704105701,0.09494495802209713,0.027772249974077567
GF180MCU,full_budget_fallback,3,288,288,0,558.2587289590156,558.2587289590156,0.09494495802209713,0.027772249974077567
SKY130,all_runs,15,1312,1440,128,3024.8872649663244,3319.561937213177,0.1032799169770442,0.027882499969564378
SKY130,early_stop_only,8,640,768,128,1534.9913497252273,1829.6660219720798,0.1032799169770442,0.027882499969564378
SKY130,full_budget_fallback,7,672,672,0,1489.895915241097,1489.895915241097,0.1032799169770442,0.027882499969564378
