pdk,cohort,method,seed,heldout_corner,stop_budget,early_stopped,query_reduction_pct,delay_r2,full_delay_r2,delay_r2_gap_to_full,gap_le_0p02,gap_le_0p05,worst_family_delay_r2,worst_variant_delay_r2,cumulative_spice_wall_time_s,full_cumulative_spice_wall_time_s
GF180MCU,confirmation,prequential_only,3,ff,80,True,16.666666666666668,0.9128856038432988,0.9097002195011624,-0.0031853843421363,True,True,0.8103448480367742,0.6245248774126652,156.11793732800288,183.819113075966
GF180MCU,confirmation,prequential_only,3,ss,96,False,0.0,0.8884015923712498,0.8884015923712498,0.0,True,True,0.7393767851966571,0.5263613821393434,185.60266475041865,185.60266475041865
GF180MCU,confirmation,prequential_only,3,typical,80,True,16.666666666666668,0.9092765874639472,0.9276972030413614,0.0184206155774142,True,True,0.6408770566345703,0.41296917933334,156.78090266988147,183.467911336862
GF180MCU,confirmation,prequential_only,4,ff,80,True,16.666666666666668,0.8672316037460384,0.8898604412311922,0.0226288374851538,False,True,0.447653806811531,-0.0399758595905663,160.48766850185348,189.1620459977421
GF180MCU,confirmation,prequential_only,4,ss,96,False,0.0,0.9123478490142064,0.9123478490142064,0.0,True,True,0.7383504167106922,0.5995456018627252,185.98404424916953,185.98404424916953
GF180MCU,confirmation,prequential_only,4,typical,96,False,0.0,0.8982707419128734,0.8982707419128734,0.0,True,True,0.7471974263673462,0.2321425354312788,186.67201995942744,186.67201995942744
GF180MCU,confirmation,prediction_change_only,3,ff,80,True,16.666666666666668,0.9128856038432988,0.9097002195011624,-0.0031853843421363,True,True,0.8103448480367742,0.6245248774126652,156.11793732800288,183.819113075966
GF180MCU,confirmation,prediction_change_only,3,ss,80,True,16.666666666666668,0.875485222468238,0.8884015923712498,0.0129163699030118,True,True,0.6494920041855106,0.5866875073871292,157.36189104238292,185.60266475041865
GF180MCU,confirmation,prediction_change_only,3,typical,80,True,16.666666666666668,0.9092765874639472,0.9276972030413614,0.0184206155774142,True,True,0.6408770566345703,0.41296917933334,156.78090266988147,183.467911336862
GF180MCU,confirmation,prediction_change_only,4,ff,80,True,16.666666666666668,0.8672316037460384,0.8898604412311922,0.0226288374851538,False,True,0.447653806811531,-0.0399758595905663,160.48766850185348,189.1620459977421
GF180MCU,confirmation,prediction_change_only,4,ss,96,False,0.0,0.9123478490142064,0.9123478490142064,0.0,True,True,0.7383504167106922,0.5995456018627252,185.98404424916953,185.98404424916953
GF180MCU,confirmation,prediction_change_only,4,typical,80,True,16.666666666666668,0.8768635213006015,0.8982707419128734,0.0214072206122718,False,True,0.6659029600992251,-0.0890808602284809,158.95604416757124,186.67201995942744
GF180MCU,confirmation,coverage_only,3,ff,80,True,16.666666666666668,0.9128856038432988,0.9097002195011624,-0.0031853843421363,True,True,0.8103448480367742,0.6245248774126652,156.11793732800288,183.819113075966
GF180MCU,confirmation,coverage_only,3,ss,80,True,16.666666666666668,0.875485222468238,0.8884015923712498,0.0129163699030118,True,True,0.6494920041855106,0.5866875073871292,157.36189104238292,185.60266475041865
GF180MCU,confirmation,coverage_only,3,typical,80,True,16.666666666666668,0.9092765874639472,0.9276972030413614,0.0184206155774142,True,True,0.6408770566345703,0.41296917933334,156.78090266988147,183.467911336862
GF180MCU,confirmation,coverage_only,4,ff,80,True,16.666666666666668,0.8672316037460384,0.8898604412311922,0.0226288374851538,False,True,0.447653806811531,-0.0399758595905663,160.48766850185348,189.1620459977421
GF180MCU,confirmation,coverage_only,4,ss,80,True,16.666666666666668,0.9133832039244614,0.9123478490142064,-0.0010353549102548,True,True,0.7225790581265225,0.5638981577422185,157.24729816627223,185.98404424916953
GF180MCU,confirmation,coverage_only,4,typical,80,True,16.666666666666668,0.8768635213006015,0.8982707419128734,0.0214072206122718,False,True,0.6659029600992251,-0.0890808602284809,158.95604416757124,186.67201995942744
GF180MCU,confirmation,prequential_plus_prediction_change,3,ff,80,True,16.666666666666668,0.9128856038432988,0.9097002195011624,-0.0031853843421363,True,True,0.8103448480367742,0.6245248774126652,156.11793732800288,183.819113075966
GF180MCU,confirmation,prequential_plus_prediction_change,3,ss,96,False,0.0,0.8884015923712498,0.8884015923712498,0.0,True,True,0.7393767851966571,0.5263613821393434,185.60266475041865,185.60266475041865
GF180MCU,confirmation,prequential_plus_prediction_change,3,typical,80,True,16.666666666666668,0.9092765874639472,0.9276972030413614,0.0184206155774142,True,True,0.6408770566345703,0.41296917933334,156.78090266988147,183.467911336862
GF180MCU,confirmation,prequential_plus_prediction_change,4,ff,80,True,16.666666666666668,0.8672316037460384,0.8898604412311922,0.0226288374851538,False,True,0.447653806811531,-0.0399758595905663,160.48766850185348,189.1620459977421
GF180MCU,confirmation,prequential_plus_prediction_change,4,ss,96,False,0.0,0.9123478490142064,0.9123478490142064,0.0,True,True,0.7383504167106922,0.5995456018627252,185.98404424916953,185.98404424916953
GF180MCU,confirmation,prequential_plus_prediction_change,4,typical,96,False,0.0,0.8982707419128734,0.8982707419128734,0.0,True,True,0.7471974263673462,0.2321425354312788,186.67201995942744,186.67201995942744
GF180MCU,confirmation,prequential_plus_coverage,3,ff,80,True,16.666666666666668,0.9128856038432988,0.9097002195011624,-0.0031853843421363,True,True,0.8103448480367742,0.6245248774126652,156.11793732800288,183.819113075966
GF180MCU,confirmation,prequential_plus_coverage,3,ss,96,False,0.0,0.8884015923712498,0.8884015923712498,0.0,True,True,0.7393767851966571,0.5263613821393434,185.60266475041865,185.60266475041865
GF180MCU,confirmation,prequential_plus_coverage,3,typical,80,True,16.666666666666668,0.9092765874639472,0.9276972030413614,0.0184206155774142,True,True,0.6408770566345703,0.41296917933334,156.78090266988147,183.467911336862
GF180MCU,confirmation,prequential_plus_coverage,4,ff,80,True,16.666666666666668,0.8672316037460384,0.8898604412311922,0.0226288374851538,False,True,0.447653806811531,-0.0399758595905663,160.48766850185348,189.1620459977421
GF180MCU,confirmation,prequential_plus_coverage,4,ss,96,False,0.0,0.9123478490142064,0.9123478490142064,0.0,True,True,0.7383504167106922,0.5995456018627252,185.98404424916953,185.98404424916953
GF180MCU,confirmation,prequential_plus_coverage,4,typical,96,False,0.0,0.8982707419128734,0.8982707419128734,0.0,True,True,0.7471974263673462,0.2321425354312788,186.67201995942744,186.67201995942744
GF180MCU,confirmation,prediction_change_plus_coverage,3,ff,80,True,16.666666666666668,0.9128856038432988,0.9097002195011624,-0.0031853843421363,True,True,0.8103448480367742,0.6245248774126652,156.11793732800288,183.819113075966
