pdk,cohort,seed,heldout_corner,evaluation_stage,support_budget,cell_family,cell_variant,points,target_delay_std_ns,target_delay_iqr_ns,delay_r2,delay_mae_ns,delay_nmae,delay_p95_absolute_error_ns,delay_max_absolute_error_ns
GF180MCU,confirmation,3,ff,stopped,80,AOI21,AOI21_1,12,1.7491537233783554,1.6364062500000012,0.8519106650306798,0.46941247032800093,0.28685570611087596,1.2782869066406204,1.3966676705729109
GF180MCU,confirmation,3,ff,stopped,80,AOI21,AOI21_4,12,0.6319062628900407,0.8811891249999999,0.8751384202337894,0.16840231470052047,0.1911080265550491,0.3891299686783848,0.5326776484375024
GF180MCU,confirmation,3,ff,stopped,80,INV,INV_1,12,1.9002715515294544,3.6008116250000004,0.8342736921642786,0.6822985031901073,0.18948464242144497,1.070351556484379,1.1027832864583447
GF180MCU,confirmation,3,ff,stopped,80,INV,INV_4,12,0.6602609183431026,0.9374518000000001,0.6245248774126652,0.35152262931206585,0.3749767500708472,0.6103263253450507,0.651086346744791
GF180MCU,confirmation,3,ff,stopped,80,MUX2,MUX2_1,12,1.0961684788939838,1.8721299999999998,0.6918157756275964,0.4794018541170628,0.25607295119305973,1.0554079120572886,1.2636443450520805
GF180MCU,confirmation,3,ff,stopped,80,MUX2,MUX2_4,12,0.5064388124864162,0.5642013749999997,0.827373136875523,0.17810322824652788,0.3156731552568938,0.3039446746718739,0.32644975617187333
GF180MCU,confirmation,3,ff,stopped,80,NAND2,NAND2_1,12,1.4784911758840469,1.320738,0.7341095936845332,0.5971056796099959,0.4521000225707112,1.2076732709561036,1.4204561577380987
GF180MCU,confirmation,3,ff,stopped,80,NAND2,NAND2_4,12,0.6220914415267208,0.7955721249999999,0.7916376249490658,0.19393949059678886,0.24377361209932902,0.5406907361718756,0.7071244804687505
GF180MCU,confirmation,3,ff,stopped,80,NAND3,NAND3_1,12,2.1166626937111777,2.3257112500000003,0.9115835603890696,0.5055497653242805,0.21737426145411665,0.9993474729873547,1.0493648356026863
GF180MCU,confirmation,3,ff,stopped,80,NAND3,NAND3_4,12,0.8248902981500125,1.0041584375000006,0.8599213335693561,0.24096083851996566,0.2399629675172306,0.49363234522656274,0.5512932596354168
GF180MCU,confirmation,3,ff,stopped,80,NOR2,NOR2_1,12,2.245602698990522,3.994008750000001,0.8438102762953892,0.7595797041325622,0.19017977968439903,1.3490577707682225,1.4006949296874938
GF180MCU,confirmation,3,ff,stopped,80,NOR2,NOR2_4,12,0.9401707875892534,1.3910330000000002,0.957044153538248,0.13410616166666622,0.09640760619386184,0.3599807784440079,0.4474107135416605
GF180MCU,confirmation,3,ff,stopped,80,OAI21,OAI21_1,12,2.470536980427429,3.90595625,0.8086977614676365,0.7644144590665292,0.19570481852338442,2.0867921341796807,2.55271759374999
GF180MCU,confirmation,3,ff,stopped,80,OAI21,OAI21_4,12,0.6457389724275144,0.9255354999999998,0.8068323536377418,0.25361714955946185,0.27402206566842857,0.36456010363802316,0.3664564083333355
GF180MCU,confirmation,3,ff,stopped,80,XOR2,XOR2_1,12,1.6022503410331697,2.1979362499999997,0.9469885693175065,0.3040975703915542,0.13835595567958545,0.5649730168657006,0.6237403835193462
GF180MCU,confirmation,3,ff,stopped,80,XOR2,XOR2_4,12,0.6378232478033762,0.8142287499999998,0.7437023094737276,0.20393234186198053,0.25046074811529384,0.6118303811588568,0.8846062867187526
GF180MCU,confirmation,3,ff,full_96,96,AOI21,AOI21_1,12,1.7491537233783554,1.6364062500000012,0.801817707056579,0.5535405283159721,0.3382659582948743,1.5148195284505201,1.7168069088541689
GF180MCU,confirmation,3,ff,full_96,96,AOI21,AOI21_4,12,0.6319062628900407,0.8811891249999999,0.8721363303707397,0.1558159050889763,0.17682458926053624,0.415177597317713,0.599657231770838
GF180MCU,confirmation,3,ff,full_96,96,INV,INV_1,12,1.9002715515294544,3.6008116250000004,0.8867407675264548,0.5529582227821215,0.15356488491177914,0.9910354288151024,1.0267482317708323
GF180MCU,confirmation,3,ff,full_96,96,INV,INV_4,12,0.6602609183431026,0.9374518000000001,0.6696200358675293,0.32954497428385504,0.35153271270464787,0.5246280534921883,0.5598822929166679
GF180MCU,confirmation,3,ff,full_96,96,MUX2,MUX2_1,12,1.0961684788939838,1.8721299999999998,0.5774254618431853,0.5870898907313375,0.31359461721746756,1.0921875936458365,1.2602768588541644
GF180MCU,confirmation,3,ff,full_96,96,MUX2,MUX2_4,12,0.5064388124864162,0.5642013749999997,0.8341336840008935,0.16458165420789958,0.29170729016372865,0.3414582936640635,0.3661900996354184
GF180MCU,confirmation,3,ff,full_96,96,NAND2,NAND2_1,12,1.4784911758840469,1.320738,0.7167410914284745,0.5918395097092015,0.4481127291780819,1.3441681268541652,1.6422968273437482
GF180MCU,confirmation,3,ff,full_96,96,NAND2,NAND2_4,12,0.6220914415267208,0.7955721249999999,0.8623021078269628,0.15034541274305666,0.1889777281262295,0.45784003353125047,0.5461330627604161
GF180MCU,confirmation,3,ff,full_96,96,NAND3,NAND3_1,12,2.1166626937111777,2.3257112500000003,0.9058607967456974,0.5142244699197048,0.22110417616103664,1.0597474670755218,1.0880773229166687
GF180MCU,confirmation,3,ff,full_96,96,NAND3,NAND3_4,12,0.8248902981500125,1.0041584375000006,0.8623388311263609,0.24896161605685782,0.24793061210209438,0.5090526099583345,0.5852305397395847
GF180MCU,confirmation,3,ff,full_96,96,NOR2,NOR2_1,12,2.245602698990522,3.994008750000001,0.8725276209290975,0.6569834482855891,0.1644922406055292,1.304392637434893,1.3116939869791615
GF180MCU,confirmation,3,ff,full_96,96,NOR2,NOR2_4,12,0.9401707875892534,1.3910330000000002,0.9347396580408759,0.1942537279817699,0.13964710253586354,0.3772624980950499,0.47226563567707824
GF180MCU,confirmation,3,ff,full_96,96,OAI21,OAI21_1,12,2.470536980427429,3.90595625,0.7792366763511703,0.8238654087738708,0.21092540623665992,2.21913277786458,2.707500774739577
GF180MCU,confirmation,3,ff,full_96,96,OAI21,OAI21_4,12,0.6457389724275144,0.9255354999999998,0.8527131946898097,0.21373373050781339,0.23092980280909098,0.40271368335677216,0.4116048653645832
GF180MCU,confirmation,3,ff,full_96,96,XOR2,XOR2_1,12,1.6022503410331697,2.1979362499999997,0.9275407445961023,0.34126378893229087,0.15526555373582418,0.6437754461458347,0.6698949255208348
GF180MCU,confirmation,3,ff,full_96,96,XOR2,XOR2_4,12,0.6378232478033762,0.8142287499999998,0.7756059731846028,0.19450208183593762,0.23887891681046347,0.5672831672239594,0.819861602135418
GF180MCU,confirmation,3,ss,stopped,96,AOI21,AOI21_1,12,7.419233398484853,13.134634999999996,0.8560569851818598,2.0353464461588584,0.15496025935694893,5.221324482955734,6.129077700520831
GF180MCU,confirmation,3,ss,stopped,96,AOI21,AOI21_4,12,1.9753267190312103,2.42448625,0.8438749895738704,0.5324211552300336,0.21960163941124994,1.3956659428906217,2.0262516315104113
GF180MCU,confirmation,3,ss,stopped,96,INV,INV_1,12,2.4921285898337664,3.0026062499999995,0.630311041420601,1.0908126960503493,0.3632886250237937,2.8403195128515697,3.4446571414062594
GF180MCU,confirmation,3,ss,stopped,96,INV,INV_4,12,1.1937988613796395,1.7403312499999999,0.6032312965270359,0.6617424792209207,0.38023938214114167,1.108762486718747,1.2135124244791617
GF180MCU,confirmation,3,ss,stopped,96,MUX2,MUX2_1,12,3.442598724703823,5.1364350000000005,0.7278016346319873,1.4382771567274277,0.2800146710174328,2.799246548372394,2.8513392304687404
GF180MCU,confirmation,3,ss,stopped,96,MUX2,MUX2_4,12,1.0218396851642213,1.072612499999999,0.584313692633283,0.4933515496527776,0.4599531980587379,1.2248457175846363,1.2371837694010446
GF180MCU,confirmation,3,ss,stopped,96,NAND2,NAND2_1,12,2.459900849895359,2.269472500000001,0.6609004944431672,0.9673692182508696,0.4262528927981587,2.5590029438151043,2.8905745494791626
GF180MCU,confirmation,3,ss,stopped,96,NAND2,NAND2_4,12,1.1810087151272972,1.8643187500000007,0.6710251246058412,0.49524462555555376,0.26564375086371556,1.1580410854427061,1.2372051833333284
GF180MCU,confirmation,3,ss,stopped,96,NAND3,NAND3_1,12,4.158041534557411,4.68882375,0.9181800087392892,0.8600780642795157,0.18343151931857446,2.226339612434902,2.8541939335937663
GF180MCU,confirmation,3,ss,stopped,96,NAND3,NAND3_4,12,1.813511120775861,2.5754525,0.9282862113005859,0.4259982557834215,0.16540714914502266,0.7468997790234364,0.7891413174479158
GF180MCU,confirmation,3,ss,stopped,96,NOR2,NOR2_1,12,3.9254043840263555,5.5140075,0.8499182733466653,1.2516878431640583,0.22700147636071558,2.5546582898437435,2.832387613281247
GF180MCU,confirmation,3,ss,stopped,96,NOR2,NOR2_4,12,1.7288111668254138,2.694603500000001,0.8831800658642648,0.46265583069661353,0.1716971831650235,0.8875672033645833,0.9217737139583342
GF180MCU,confirmation,3,ss,stopped,96,OAI21,OAI21_1,12,5.723249196239697,6.601301250000002,0.8549157029182435,1.6528184983940986,0.250377680975262,3.930838095039067,4.466197371614609
GF180MCU,confirmation,3,ss,stopped,96,OAI21,OAI21_4,12,1.1881032209708449,1.3134900000000003,0.828072639484609,0.4018613517361111,0.30594930432368045,0.8080740801822911,0.8907436466145855
GF180MCU,confirmation,3,ss,stopped,96,XOR2,XOR2_1,12,5.551901857492561,8.666844999999999,0.657363042148292,2.2212671682942724,0.2562947841220505,6.32084905680991,6.350234598177092
GF180MCU,confirmation,3,ss,stopped,96,XOR2,XOR2_4,12,1.1245712283685025,0.7780962499999999,0.5263613821393429,0.5719065820095509,0.7350075032613909,1.3749643657291695,1.4078120260416656
GF180MCU,confirmation,3,ss,full_96,96,AOI21,AOI21_1,12,7.419233398484853,13.134634999999996,0.8560569851818598,2.0353464461588584,0.15496025935694893,5.221324482955732,6.129077700520831
GF180MCU,confirmation,3,ss,full_96,96,AOI21,AOI21_4,12,1.9753267190312103,2.42448625,0.8438749895738704,0.5324211552300336,0.21960163941124994,1.3956659428906222,2.0262516315104113
GF180MCU,confirmation,3,ss,full_96,96,INV,INV_1,12,2.4921285898337664,3.0026062499999995,0.630311041420601,1.0908126960503493,0.3632886250237937,2.8403195128515697,3.4446571414062594
