pdk,cohort,minimum_budget,prequential_nmae_threshold,prediction_change_threshold,coverage_ratio_threshold,median_stop_budget,early_stop_runs,gap_le_0p02_rate,maximum_gap_to_full,meets_development_constraints
GF180MCU,development,16,0.4,0.2,0.35,96.0,0,1.0,0.0,True
GF180MCU,confirmation,16,0.4,0.2,0.35,96.0,0,1.0,0.0,False
SKY130,external_replication,16,0.4,0.2,0.35,96.0,0,1.0,0.0,False
GF180MCU,development,16,0.4,0.2,0.5,80.0,7,0.7777777777777778,0.0657462054701019,False
GF180MCU,confirmation,16,0.4,0.2,0.5,80.0,5,0.5,0.0381260458806496,False
SKY130,external_replication,16,0.4,0.2,0.5,80.0,11,0.8,0.0438817918318676,False
GF180MCU,development,16,0.4,0.2,0.65,64.0,8,0.4444444444444444,0.0941473594195916,False
GF180MCU,confirmation,16,0.4,0.2,0.65,56.0,5,0.16666666666666666,0.1423856782494561,False
SKY130,external_replication,16,0.4,0.2,0.65,64.0,13,0.5333333333333333,0.126009153317738,False
GF180MCU,development,16,0.4,0.2,0.8,48.0,8,0.3333333333333333,0.0941473594195916,False
GF180MCU,confirmation,16,0.4,0.2,0.8,48.0,5,0.16666666666666666,0.1423856782494561,False
SKY130,external_replication,16,0.4,0.2,0.8,48.0,13,0.4,0.1481578783534241,False
GF180MCU,development,16,0.4,0.4,0.35,96.0,0,1.0,0.0,True
GF180MCU,confirmation,16,0.4,0.4,0.35,96.0,0,1.0,0.0,False
SKY130,external_replication,16,0.4,0.4,0.35,96.0,0,1.0,0.0,False
GF180MCU,development,16,0.4,0.4,0.5,80.0,7,0.7777777777777778,0.0657462054701019,False
GF180MCU,confirmation,16,0.4,0.4,0.5,80.0,5,0.5,0.0381260458806496,False
SKY130,external_replication,16,0.4,0.4,0.5,80.0,11,0.8,0.0438817918318676,False
GF180MCU,development,16,0.4,0.4,0.65,48.0,8,0.4444444444444444,0.0941473594195916,False
GF180MCU,confirmation,16,0.4,0.4,0.65,56.0,5,0.16666666666666666,0.1423856782494561,False
SKY130,external_replication,16,0.4,0.4,0.65,64.0,13,0.5333333333333333,0.126009153317738,False
