experiment,seed,target,model,feature_set,train_rows,test_rows,r2,mae,rmse,mape_pct
repeated_random_split,0,delay_avg_ns,Ridge,full,256,64,0.6881318861114372,0.07196257965326328,0.09126473863803561,32.49673792463871
repeated_random_split,0,delay_avg_ns,SVR_RBF,full,256,64,0.8459064268756898,0.04658086769137301,0.06415193942466357,20.531652806484207
repeated_random_split,0,delay_avg_ns,RandomForest,full,256,64,0.7869138506592072,0.050838546212429364,0.07543886370196054,18.320053796707235
repeated_random_split,0,delay_avg_ns,ExtraTrees,full,256,64,0.8790808434356171,0.0413736387008246,0.056828354654673154,16.583699754973285
repeated_random_split,0,delay_avg_ns,GradientBoosting,full,256,64,0.8501573341264516,0.03985660888105447,0.06326088642512619,14.314130260112783
repeated_random_split,0,delay_avg_ns,HistGradientBoosting,full,256,64,0.8415892858578795,0.0420201163635837,0.0650443837570709,14.93232617073984
repeated_random_split,0,delay_avg_ns,MLP,full,256,64,0.06626638580818855,0.1212340223772828,0.15791705067170594,54.03789143970893
repeated_random_split,0,power_avg_uW,Ridge,full,256,64,0.972321617821337,0.3738944651058112,0.5209207810346955,9.567556969667976
repeated_random_split,0,power_avg_uW,SVR_RBF,full,256,64,0.976468094009707,0.3647841047989142,0.4803191306848012,8.970267852145042
repeated_random_split,0,power_avg_uW,RandomForest,full,256,64,0.9027670070021561,0.7058276236757938,0.9763559097497783,13.772648199552206
repeated_random_split,0,power_avg_uW,ExtraTrees,full,256,64,0.9424766515163868,0.5630048956684024,0.750971424081817,11.7675143004248
repeated_random_split,0,power_avg_uW,GradientBoosting,full,256,64,0.9627121380944148,0.41144085685908904,0.6046235695964887,7.568537438987493
repeated_random_split,0,power_avg_uW,HistGradientBoosting,full,256,64,0.976086156791494,0.34049491828625944,0.4842013778238841,6.6859951136041955
repeated_random_split,0,power_avg_uW,MLP,full,256,64,0.9712300387340744,0.4272586880376117,0.5310934811865109,9.549430651793823
repeated_random_split,1,delay_avg_ns,Ridge,full,256,64,0.64734165518149,0.0809577344153056,0.10793446585956197,30.844112507856273
