experiment,training_protocol,seed,target,heldout_cell,fewshot_k,model,train_rows,test_rows,r2,mae,rmse,mape_pct
leave_one_cell_transfer,source_plus_target_support,0,delay_avg_ns,INV,0,GradientBoosting,240,80,0.28013818696978265,0.11532791449060995,0.14915704640876823,53.90688202766016
leave_one_cell_transfer,source_plus_target_support,0,power_avg_uW,INV,0,GradientBoosting,240,80,0.6456401732079211,1.3550758496796314,1.5293849154388994,39.07265112291297
leave_one_cell_transfer,source_plus_target_support,0,delay_avg_ns,INV,20,GradientBoosting,260,60,0.7678020237132941,0.05504915976010756,0.08616036278559802,22.208510800134984
leave_one_cell_transfer,target_support_only,0,delay_avg_ns,INV,20,GradientBoosting,20,60,0.4245010092410004,0.08401106228338404,0.1356439996090016,30.9380014999063
leave_one_cell_transfer,source_plus_target_support,0,power_avg_uW,INV,20,GradientBoosting,260,60,0.9574989440522583,0.43256987345384196,0.5359063312846489,9.89882474222105
leave_one_cell_transfer,target_support_only,0,power_avg_uW,INV,20,GradientBoosting,20,60,0.86658612415987,0.757893757289788,0.9494881049169785,16.00469322709151
leave_one_cell_transfer,source_plus_target_support,0,delay_avg_ns,INV,40,GradientBoosting,280,40,0.8437429658196114,0.04730631818334489,0.07471309703658396,18.77177264206414
leave_one_cell_transfer,target_support_only,0,delay_avg_ns,INV,40,GradientBoosting,40,40,0.4770184299037665,0.08702719932611684,0.13668477528953465,37.93156640691182
leave_one_cell_transfer,source_plus_target_support,0,power_avg_uW,INV,40,GradientBoosting,280,40,0.9707497371090594,0.36992571948222136,0.42908196715740926,12.500306532478428
leave_one_cell_transfer,target_support_only,0,power_avg_uW,INV,40,GradientBoosting,40,40,0.9214488107403295,0.5464877053092773,0.7031561158067748,18.835339948405906
leave_one_cell_transfer,source_plus_target_support,0,delay_avg_ns,NAND2,0,GradientBoosting,240,80,0.8581277354301704,0.05549493034260844,0.08458493008877692,24.020765271269127
leave_one_cell_transfer,source_plus_target_support,0,power_avg_uW,NAND2,0,GradientBoosting,240,80,0.9782884237261195,0.3347707542791737,0.44379913671610605,6.054087781942953
leave_one_cell_transfer,source_plus_target_support,0,delay_avg_ns,NAND2,20,GradientBoosting,260,60,0.881328906256488,0.04485859575403217,0.07939172485367052,16.24773990404226
leave_one_cell_transfer,target_support_only,0,delay_avg_ns,NAND2,20,GradientBoosting,20,60,0.2741563102101887,0.13752442032974496,0.19634702155319825,47.26889508338342
leave_one_cell_transfer,source_plus_target_support,0,power_avg_uW,NAND2,20,GradientBoosting,260,60,0.9796415671067299,0.3165509823628791,0.4550267700355526,5.139205785189137
leave_one_cell_transfer,target_support_only,0,power_avg_uW,NAND2,20,GradientBoosting,20,60,0.8644472051924335,0.9207752028530268,1.174137647428966,19.68136886230047
leave_one_cell_transfer,source_plus_target_support,0,delay_avg_ns,NAND2,40,GradientBoosting,280,40,0.8839144945945354,0.042237349309884084,0.0934093470000472,11.183881160141226
leave_one_cell_transfer,target_support_only,0,delay_avg_ns,NAND2,40,GradientBoosting,40,40,0.4952925323416538,0.07418598907898402,0.19476961379094931,20.67435713116498
leave_one_cell_transfer,source_plus_target_support,0,power_avg_uW,NAND2,40,GradientBoosting,280,40,0.9746041289266237,0.3941164143298327,0.49690586311085,6.356734337885826
leave_one_cell_transfer,target_support_only,0,power_avg_uW,NAND2,40,GradientBoosting,40,40,0.8594612060221742,0.9943230475218321,1.1689358427310679,16.929686990191968
leave_one_cell_transfer,source_plus_target_support,0,delay_avg_ns,NOR2,0,GradientBoosting,240,80,0.8306880382084331,0.06216029838773114,0.09801383873607551,16.041224017698536
leave_one_cell_transfer,source_plus_target_support,0,power_avg_uW,NOR2,0,GradientBoosting,240,80,0.9801151972528748,0.3344396504425614,0.41972105052914316,7.021828642651109
leave_one_cell_transfer,source_plus_target_support,0,delay_avg_ns,NOR2,20,GradientBoosting,260,60,0.8269606702045185,0.06101279193327735,0.10367376418104689,14.848963706787947
leave_one_cell_transfer,target_support_only,0,delay_avg_ns,NOR2,20,GradientBoosting,20,60,0.08190694102188223,0.15661451729672649,0.2388030157330653,44.37921022159115
leave_one_cell_transfer,source_plus_target_support,0,power_avg_uW,NOR2,20,GradientBoosting,260,60,0.9827295100659649,0.3199822027959589,0.4025883631007535,6.466654904257502
leave_one_cell_transfer,target_support_only,0,power_avg_uW,NOR2,20,GradientBoosting,20,60,0.6335533603468814,1.4132629552644003,1.854446293037532,21.968459160574845
leave_one_cell_transfer,source_plus_target_support,0,delay_avg_ns,NOR2,40,GradientBoosting,280,40,0.8252957192551442,0.05875724274902368,0.10553820794525294,13.63038221104349
leave_one_cell_transfer,target_support_only,0,delay_avg_ns,NOR2,40,GradientBoosting,40,40,0.613645797707586,0.09056171710039122,0.1569461846190076,25.507890571106056
leave_one_cell_transfer,source_plus_target_support,0,power_avg_uW,NOR2,40,GradientBoosting,280,40,0.977784751395674,0.3294619308904463,0.41795489200395347,6.80609188414533
leave_one_cell_transfer,target_support_only,0,power_avg_uW,NOR2,40,GradientBoosting,40,40,0.8875510386412448,0.74270355095883,0.9403327201126505,13.47770008807149
leave_one_cell_transfer,source_plus_target_support,0,delay_avg_ns,XOR2,0,GradientBoosting,240,80,0.664105973564382,0.11715182114259126,0.13666197502998104,32.402512413109555
leave_one_cell_transfer,source_plus_target_support,0,power_avg_uW,XOR2,0,GradientBoosting,240,80,0.5280735132904864,2.0745812812158446,2.4397496784804638,27.108660922267536
leave_one_cell_transfer,source_plus_target_support,0,delay_avg_ns,XOR2,20,GradientBoosting,260,60,0.8595330247630846,0.059259234331506754,0.09744277943141605,12.389534576992737
leave_one_cell_transfer,target_support_only,0,delay_avg_ns,XOR2,20,GradientBoosting,20,60,0.3044521947660529,0.11591508683861546,0.2168333303232757,21.28285577211257
