experiment,seed,target,model,feature_set,train_rows,test_rows,r2,mae,rmse,mape_pct
learning_curve,0,delay_avg_ns,GradientBoosting,full,40,64,0.4431217577448109,0.07905167949358137,0.12195445016176758,27.33893823570345
learning_curve,0,power_avg_uW,GradientBoosting,full,40,64,0.8000794727724343,1.0426170866003488,1.4000064173637654,17.454050734844408
learning_curve,0,delay_avg_ns,GradientBoosting,full,80,64,0.7841971089453378,0.05522307100391913,0.07591824444558136,20.083208693571454
learning_curve,0,power_avg_uW,GradientBoosting,full,80,64,0.8783906504473044,0.7028078248744967,1.0919049001510857,13.78637807791024
learning_curve,0,delay_avg_ns,GradientBoosting,full,120,64,0.788233715185805,0.04556295562248738,0.07520486505032398,15.813263584045542
learning_curve,0,power_avg_uW,GradientBoosting,full,120,64,0.9268889295918574,0.5790447373120143,0.8466285377669206,11.423803891122708
learning_curve,0,delay_avg_ns,GradientBoosting,full,160,64,0.8301056651681817,0.046918395798519814,0.06736075965857999,18.1582432383536
learning_curve,0,power_avg_uW,GradientBoosting,full,160,64,0.9576128059221668,0.4525395392193606,0.644642102302992,8.371292953720907
learning_curve,0,delay_avg_ns,GradientBoosting,full,220,64,0.8549789305080245,0.03791462318550649,0.062234768633580476,13.08710769722773
learning_curve,0,power_avg_uW,GradientBoosting,full,220,64,0.9637272196697114,0.43412802455456645,0.5963369984931305,8.459775773182928
learning_curve,0,delay_avg_ns,GradientBoosting,full,256,64,0.8501573341264516,0.03985660888105447,0.06326088642512619,14.314130260112783
learning_curve,0,power_avg_uW,GradientBoosting,full,256,64,0.9627121380944148,0.41144085685908904,0.6046235695964887,7.568537438987493
learning_curve,1,delay_avg_ns,GradientBoosting,full,40,64,0.4968838496240354,0.09124059010784341,0.1289190788030349,33.51619940665798
learning_curve,1,power_avg_uW,GradientBoosting,full,40,64,0.8481129868893069,1.0270433891118311,1.252149424412511,22.880470454647817
learning_curve,1,delay_avg_ns,GradientBoosting,full,80,64,0.6598198713793395,0.06450594495234352,0.10600772997735537,19.40971458346571
learning_curve,1,power_avg_uW,GradientBoosting,full,80,64,0.9193769490598671,0.6961276431851079,0.9122743238232224,14.594088154673718
learning_curve,1,delay_avg_ns,GradientBoosting,full,120,64,0.8261342097617882,0.051241239703303326,0.07578620034957548,16.898988958165067
learning_curve,1,power_avg_uW,GradientBoosting,full,120,64,0.9736923565067821,0.41630407202589975,0.5211188841807082,7.931661473849824
learning_curve,1,delay_avg_ns,GradientBoosting,full,160,64,0.8529664997354188,0.047000650930703824,0.06969332941559973,15.661222581570716
learning_curve,1,power_avg_uW,GradientBoosting,full,160,64,0.9642679339475531,0.4859300357097531,0.6073302337152896,9.7233595278827
learning_curve,1,delay_avg_ns,GradientBoosting,full,220,64,0.8458163256932276,0.04076869184424293,0.07136779185404533,13.96168341133417
learning_curve,1,power_avg_uW,GradientBoosting,full,220,64,0.974983485481005,0.3988094961727607,0.5081702514404397,8.46752876226403
learning_curve,1,delay_avg_ns,GradientBoosting,full,256,64,0.9130347100480802,0.0340839285803716,0.053598919997066126,11.863288963031735
learning_curve,1,power_avg_uW,GradientBoosting,full,256,64,0.9801929207167174,0.36603436155557856,0.45217448991406867,7.597925546727577
learning_curve,2,delay_avg_ns,GradientBoosting,full,40,64,0.3641339854871649,0.11538652394491004,0.2016370555607281,29.93696303390705
learning_curve,2,power_avg_uW,GradientBoosting,full,40,64,0.756037139743841,1.359236801969106,1.6756389588985692,25.741877733894636
learning_curve,2,delay_avg_ns,GradientBoosting,full,80,64,0.6558899417240925,0.0860871381162436,0.14833246834624236,23.227074269056153
learning_curve,2,power_avg_uW,GradientBoosting,full,80,64,0.9478338198127649,0.6066840536798701,0.7748419217312978,10.960532156698456
learning_curve,2,delay_avg_ns,GradientBoosting,full,120,64,0.7794635183478378,0.0731044354488077,0.11874839844164223,23.426509134319918
learning_curve,2,power_avg_uW,GradientBoosting,full,120,64,0.9360083742312112,0.6033566510480699,0.8581835054317168,9.370430774810359
learning_curve,2,delay_avg_ns,GradientBoosting,full,160,64,0.83474908521129,0.06047416379858026,0.10279203791496132,15.753971869262335
learning_curve,2,power_avg_uW,GradientBoosting,full,160,64,0.9621829687971832,0.519249110482066,0.6597240356210363,8.888175708849456
learning_curve,2,delay_avg_ns,GradientBoosting,full,220,64,0.8665920932538149,0.05611800115281079,0.0923588092506156,17.598382412622524
learning_curve,2,power_avg_uW,GradientBoosting,full,220,64,0.9707273502441123,0.41442963778666936,0.5804296766178192,7.095663792834353
learning_curve,2,delay_avg_ns,GradientBoosting,full,256,64,0.9021918768294117,0.049746509558932506,0.07908151902880202,15.56100769607486
learning_curve,2,power_avg_uW,GradientBoosting,full,256,64,0.9777450564005657,0.3707744522651134,0.5060947591415068,6.462305043995398
learning_curve,3,delay_avg_ns,GradientBoosting,full,40,64,0.5669601101725261,0.09503497145358604,0.1233646816455805,41.57909313889325
learning_curve,3,power_avg_uW,GradientBoosting,full,40,64,0.8682465678862505,0.9429472124815514,1.121098785365022,20.77257926716447
learning_curve,3,delay_avg_ns,GradientBoosting,full,80,64,0.8505323981108714,0.04828392993536655,0.07247703593258818,19.633612496677465
learning_curve,3,power_avg_uW,GradientBoosting,full,80,64,0.8964738218502593,0.7665834402313374,0.993774855957948,15.965452197960861
learning_curve,3,delay_avg_ns,GradientBoosting,full,120,64,0.6672856340597316,0.05973315940694623,0.10813409930347452,20.955862599040813
learning_curve,3,power_avg_uW,GradientBoosting,full,120,64,0.9442137334570215,0.5568344824149664,0.7295021265107174,11.561832349572603
learning_curve,3,delay_avg_ns,GradientBoosting,full,160,64,0.8525763767210487,0.047070909264089286,0.07197976607884464,16.30949774962034
learning_curve,3,power_avg_uW,GradientBoosting,full,160,64,0.9276183376239342,0.582970896448359,0.8309543966671268,13.00555233181028
learning_curve,3,delay_avg_ns,GradientBoosting,full,220,64,0.9197167472715505,0.03599285102745085,0.05311771329561977,13.76466586955779
learning_curve,3,power_avg_uW,GradientBoosting,full,220,64,0.9679898694692669,0.39171514895999815,0.5525945991846475,8.025724613095989
learning_curve,3,delay_avg_ns,GradientBoosting,full,256,64,0.9085250590234749,0.036539386493494475,0.056699334246098666,13.657584174969758
learning_curve,3,power_avg_uW,GradientBoosting,full,256,64,0.96937742959909,0.36662607577806977,0.5404851104800331,7.099244732153924
learning_curve,4,delay_avg_ns,GradientBoosting,full,40,64,0.5294113171930084,0.09481071379630028,0.14433424338922787,27.328443186633468
learning_curve,4,power_avg_uW,GradientBoosting,full,40,64,0.6486092194108977,1.3641537880558143,1.8262453665592533,22.255521720052297
learning_curve,4,delay_avg_ns,GradientBoosting,full,80,64,0.5585593232105478,0.08131687219481365,0.13979280366859761,22.01676324887797
learning_curve,4,power_avg_uW,GradientBoosting,full,80,64,0.9175858572014595,0.636670337213117,0.8844327555994316,10.470539022452694
learning_curve,4,delay_avg_ns,GradientBoosting,full,120,64,0.8294449757060963,0.05998632195136411,0.0868922212679282,18.43688812928612
learning_curve,4,power_avg_uW,GradientBoosting,full,120,64,0.9247294354284078,0.6654748802866299,0.8452331708753973,12.951371577580737
learning_curve,4,delay_avg_ns,GradientBoosting,full,160,64,0.7589258757083381,0.06761063633255643,0.10330561787315055,19.12123894994842
learning_curve,4,power_avg_uW,GradientBoosting,full,160,64,0.9537995726445092,0.48959973229205955,0.6621965931928425,8.391754735980104
learning_curve,4,delay_avg_ns,GradientBoosting,full,220,64,0.8465921062046982,0.057272111539351356,0.08240859205745056,17.453935535314862
learning_curve,4,power_avg_uW,GradientBoosting,full,220,64,0.9616395138728823,0.4700449651453069,0.6034009599866452,8.067392648180013
learning_curve,4,delay_avg_ns,GradientBoosting,full,256,64,0.8663062840521775,0.04910092706993637,0.0769314889351899,13.99147438046323
learning_curve,4,power_avg_uW,GradientBoosting,full,256,64,0.9664945489971044,0.442722466232895,0.5639254305315115,7.563715169768467
