target,model,runs,median_r2,q25_r2,q75_r2,min_r2,median_mae,median_rmse,median_mape_pct
delay_avg_ns,ExtraTrees,20,0.8690471552831293,0.8157643982441782,0.8880078875981238,0.7594504208752438,0.0498640007545573,0.07999814334944677,16.743980086413462
delay_avg_ns,GradientBoosting,20,0.8802539685274992,0.8659135434538208,0.9082089311170078,0.7902176097254338,0.04616519921113802,0.07529716039816906,13.828890135024476
delay_avg_ns,HistGradientBoosting,20,0.8495884683734058,0.8282039723917346,0.8671335582720945,0.6897973272520329,0.0500353815413866,0.08709034691906689,15.58701074152372
delay_avg_ns,MLP,20,0.7553157795501924,0.7091445894292246,0.787470891546468,0.06626638580818855,0.0763193412630527,0.11282708429096203,27.42189571243768
delay_avg_ns,RandomForest,20,0.7965551219123141,0.7707906363980571,0.8292966708902312,0.7061998809291743,0.06104246328258377,0.09920869571366486,20.843746107932027
delay_avg_ns,Ridge,20,0.6865509514172925,0.6629610523922452,0.7350688542736172,0.625850241174502,0.08361376169033158,0.12348463044668688,30.98988775861086
delay_avg_ns,SVR_RBF,20,0.8346550863253426,0.804132292779159,0.8669587999009258,0.7263750254314261,0.053279827165416835,0.08382148305858889,19.35019479725876
power_avg_uW,ExtraTrees,20,0.9535044610757195,0.9437190508072191,0.9607627776935543,0.9272665079015777,0.5232091619140631,0.6821404447662724,11.441937296986714
power_avg_uW,GradientBoosting,20,0.9721344490298884,0.9656855726339227,0.9775045517281367,0.9582656537225536,0.3882672446157147,0.5144566256571139,7.566126304377979
power_avg_uW,HistGradientBoosting,20,0.97835520111071,0.975734937781313,0.9805188529627753,0.9600397775071302,0.35321854054381174,0.4693310011624455,7.284896836710741
power_avg_uW,MLP,20,0.9808367230407066,0.9704498139199793,0.9866125000677396,0.9530984359662955,0.34170260608923453,0.44806782870601897,8.263860534143099
power_avg_uW,RandomForest,20,0.9274681162495344,0.9117057887847552,0.9381419428123534,0.893533339642813,0.6654076405070938,0.8579572821237065,12.915393724841
power_avg_uW,Ridge,20,0.9641975109571443,0.9620596476089823,0.96628532022359,0.9559693609679278,0.44797216535688866,0.5947735240441804,10.062253672465069
power_avg_uW,SVR_RBF,20,0.9779334316112668,0.9740179057470979,0.9809867162781866,0.9595946043231548,0.34957610904234737,0.47748011385658584,9.01612530319818
