experiment,seed,target,model,feature_set,train_rows,test_rows,r2,mae,rmse,mape_pct
feature_ablation,0,delay_avg_ns,GradientBoosting,full,256,64,0.8501573341264516,0.03985660888105447,0.06326088642512619,14.314130260112783
feature_ablation,0,delay_avg_ns,GradientBoosting,no_load_slew,256,64,0.4347097786704386,0.09092384417978822,0.12287209522853736,40.42918302060784
feature_ablation,0,delay_avg_ns,GradientBoosting,sizing_pvt_only,256,64,0.02675865831361246,0.11723266668543332,0.16122329838423655,51.903510277948016
feature_ablation,0,delay_avg_ns,GradientBoosting,no_cell_or_arc,256,64,0.7143658393016856,0.06592990675062474,0.08734189304608106,26.41873330304782
feature_ablation,0,delay_avg_ns,GradientBoosting,no_corner,256,64,0.6794058240904779,0.0618532403507886,0.09253272283722788,22.33951740409166
feature_ablation,0,power_avg_uW,GradientBoosting,full,256,64,0.9627121380944148,0.41144085685908904,0.6046235695964887,7.568537438987493
feature_ablation,0,power_avg_uW,GradientBoosting,no_load_slew,256,64,0.2139790113312403,2.3250968509730354,2.7759932364126225,60.33138837991186
feature_ablation,0,power_avg_uW,GradientBoosting,sizing_pvt_only,256,64,0.010576546172782586,2.5852048409577932,3.114529384446086,62.71177852498491
feature_ablation,0,power_avg_uW,GradientBoosting,no_cell_or_arc,256,64,0.7846815855344295,1.0848103866955094,1.4529207250575968,19.747202144661358
feature_ablation,0,power_avg_uW,GradientBoosting,no_corner,256,64,0.9652803706885043,0.3991291320744428,0.5834301548257391,7.352637041351803
feature_ablation,1,delay_avg_ns,GradientBoosting,full,256,64,0.9130347100480802,0.0340839285803716,0.053598919997066126,11.863288963031735
feature_ablation,1,delay_avg_ns,GradientBoosting,no_load_slew,256,64,0.03638011863591739,0.11879335342215662,0.17841687982665785,43.225142781142296
feature_ablation,1,delay_avg_ns,GradientBoosting,sizing_pvt_only,256,64,0.2493208026578162,0.10312819734939216,0.15747450602686083,38.16842642129642
feature_ablation,1,delay_avg_ns,GradientBoosting,no_cell_or_arc,256,64,0.7536360766148708,0.06830001704882864,0.09021351821004864,25.66441373219051
feature_ablation,1,delay_avg_ns,GradientBoosting,no_corner,256,64,0.7117128350271611,0.06174163650094584,0.0975878427875608,19.63417244500727
feature_ablation,1,power_avg_uW,GradientBoosting,full,256,64,0.9801929207167174,0.36603436155557856,0.45217448991406867,7.597925546727577
feature_ablation,1,power_avg_uW,GradientBoosting,no_load_slew,256,64,0.16340814541618798,2.404758916760091,2.9386824087969696,60.95757526397239
feature_ablation,1,power_avg_uW,GradientBoosting,sizing_pvt_only,256,64,0.16869853716122207,2.4569835519141767,2.9293759366173804,56.371119133419946
feature_ablation,1,power_avg_uW,GradientBoosting,no_cell_or_arc,256,64,0.843721824212679,0.953103315850836,1.2701207288120884,19.65036729652752
feature_ablation,1,power_avg_uW,GradientBoosting,no_corner,256,64,0.9804495034468127,0.3654887824744728,0.4492361881345791,7.632867363183681
feature_ablation,2,delay_avg_ns,GradientBoosting,full,256,64,0.9021918768294117,0.049746509558932506,0.07908151902880202,15.56100769607486
feature_ablation,2,delay_avg_ns,GradientBoosting,no_load_slew,256,64,0.481233872785626,0.12691029750839825,0.1821265855688326,44.74547077276421
feature_ablation,2,delay_avg_ns,GradientBoosting,sizing_pvt_only,256,64,0.22278003999033247,0.15705867080767644,0.22292537855384384,54.602055311330425
feature_ablation,2,delay_avg_ns,GradientBoosting,no_cell_or_arc,256,64,0.8669169026969114,0.06811377772613511,0.09224630731534825,22.892946945244407
feature_ablation,2,delay_avg_ns,GradientBoosting,no_corner,256,64,0.7925310961209822,0.08743611730605332,0.11517654491796375,28.901980704164554
feature_ablation,2,power_avg_uW,GradientBoosting,full,256,64,0.9777450564005657,0.3707744522651134,0.5060947591415068,6.462305043995398
feature_ablation,2,power_avg_uW,GradientBoosting,no_load_slew,256,64,0.1302015398476657,2.771908184648397,3.163937589818536,62.853964115451156
feature_ablation,2,power_avg_uW,GradientBoosting,sizing_pvt_only,256,64,-0.10552423359367102,3.0499808886931783,3.566996839046249,64.26478491383388
feature_ablation,2,power_avg_uW,GradientBoosting,no_cell_or_arc,256,64,0.8187245817436098,1.0684757057463283,1.444401892991829,16.478990230451508
feature_ablation,2,power_avg_uW,GradientBoosting,no_corner,256,64,0.9775272263481662,0.37248183267893975,0.5085655404645937,6.465370844043636
feature_ablation,3,delay_avg_ns,GradientBoosting,full,256,64,0.9085250590234749,0.036539386493494475,0.056699334246098666,13.657584174969758
feature_ablation,3,delay_avg_ns,GradientBoosting,no_load_slew,256,64,0.014862235933979617,0.128051857369827,0.18606957870752658,48.04898090733856
feature_ablation,3,delay_avg_ns,GradientBoosting,sizing_pvt_only,256,64,-0.6902772086528719,0.16879890667658637,0.2437282433319627,70.10086921343719
feature_ablation,3,delay_avg_ns,GradientBoosting,no_cell_or_arc,256,64,0.7788163016005125,0.06184000306986706,0.0881664690743874,23.7048038339932
feature_ablation,3,delay_avg_ns,GradientBoosting,no_corner,256,64,0.6936265288940336,0.06966936638002812,0.10376537718135984,27.252524622113572
feature_ablation,3,power_avg_uW,GradientBoosting,full,256,64,0.96937742959909,0.36662607577806977,0.5404851104800331,7.099244732153924
feature_ablation,3,power_avg_uW,GradientBoosting,no_load_slew,256,64,0.10158125165726106,2.46942512417299,2.927536487164678,65.0281450291083
feature_ablation,3,power_avg_uW,GradientBoosting,sizing_pvt_only,256,64,-0.23586658525202364,2.915035332677977,3.433592158967714,72.55106927174263
