target,training_protocol,fewshot_k,runs,median_r2,q25_r2,q75_r2,min_r2,median_mae,median_rmse,median_mape_pct
delay_avg_ns,source_plus_target_support,0,80,0.7561418699220386,0.54690009646151,0.8351081150822602,0.2132733508701944,0.08575808848277625,0.11615998361723373,26.938493018587096
delay_avg_ns,source_plus_target_support,20,80,0.8467382487426545,0.8026044934708638,0.8752960846068262,0.3851703033023479,0.05577955384573079,0.08981247685294128,16.871742412805716
delay_avg_ns,source_plus_target_support,40,80,0.8644089411811599,0.835918991270193,0.8861900805021629,0.5729230240485892,0.04871257212469457,0.0822629637799791,15.113755608239305
delay_avg_ns,target_support_only,20,80,0.2774130250878118,0.10474801695225422,0.4250886667126976,-3.9731340699412927,0.11997944622477004,0.1938892786536165,40.38125112026726
delay_avg_ns,target_support_only,40,80,0.5360873356255458,0.42315503125441634,0.6526656190816194,-3.488786734415787,0.09050810961766385,0.14560605248497227,29.839916686994247
power_avg_uW,source_plus_target_support,0,80,0.8441762896103155,0.5848617437595928,0.979075985005069,0.5280735132904864,0.7761716367943974,0.9138400217775516,15.86634201630487
power_avg_uW,source_plus_target_support,20,80,0.9720125727793096,0.9306319592589746,0.9794632010425789,0.8155434050252777,0.3679705617984122,0.4687536471025235,8.165836493037828
power_avg_uW,source_plus_target_support,40,80,0.9743111271679508,0.9448145969621304,0.9806370370265373,0.8349998526290706,0.3555471053708907,0.4460056453244442,8.022982165564486
power_avg_uW,target_support_only,20,80,0.8339609974972468,0.7579078150671961,0.8575410367522289,0.5893623515598403,0.9705065777996777,1.2037078658526612,23.05913903100234
power_avg_uW,target_support_only,40,80,0.9122704121363973,0.8916608585327999,0.930539614776978,0.7917389863450995,0.6907836646191612,0.8794885308228862,15.763799898510232
