seed,heldout_corner,online_budget,full_reference_queries,query_reduction_pct,online_measured_wall_time_s,full_measured_wall_time_s,measured_time_reduction_pct,online_delay_r2,full_delay_r2,delay_r2_gap_to_full,online_worst_cell_delay_r2,full_worst_cell_delay_r2,online_top20_recall,full_top20_recall
0,ff,24,96,75.0,14.65681812594994,60.51100450189551,75.77826009235922,0.7714704999578103,0.9047198422295019,0.1332493422716916,0.4488354162729576,0.8538959773116407,0.875,0.875
0,ff,48,96,50.0,28.97246462694602,60.51100450189551,52.1203376717396,0.879737503566635,0.9047198422295019,0.02498233866286681,0.7263063884695846,0.8538959773116407,0.875,0.875
0,ss,24,96,75.0,14.230313127016416,60.54976599881775,76.49815339122158,0.7317871743284182,0.8528398479547857,0.12105267362636751,0.6522827291642632,0.7853069246457989,0.96875,1.0
0,ss,48,96,50.0,28.61810604497441,60.54976599881775,52.736223546209594,0.7941928766156774,0.8528398479547857,0.058646971339108345,0.7294613086540465,0.7853069246457989,0.96875,1.0
0,typical,24,96,75.0,14.401229706971208,58.38279424593202,75.33309274936828,0.8128920044273524,0.8803791027515602,0.06748709832420774,0.6772810032126143,0.7918449570231553,0.84375,0.90625
0,typical,48,96,50.0,28.729498620843515,58.38279424593202,50.79115518208462,0.8507211687551632,0.8803791027515602,0.029657933996396935,0.738785634786348,0.7918449570231553,0.875,0.90625
1,ff,24,96,75.0,14.394854999904055,59.622613621118944,75.85671924518712,0.7763362609664548,0.9172523780399162,0.1409161170734614,0.599987694024422,0.8346773348216392,0.9375,0.90625
1,ff,48,96,50.0,28.875877622835105,59.622613621118944,51.56891677655847,0.868078828968402,0.9172523780399162,0.04917354907151417,0.7268759024077358,0.8346773348216392,0.9375,0.90625
1,ss,24,96,75.0,14.466248170967448,59.601907920936355,75.72854850526372,0.6253038658826517,0.8046623498974745,0.1793584840148228,0.4639780185568197,0.7191337580662178,0.96875,0.90625
1,ss,48,96,50.0,29.013962837896543,59.601907920936355,51.32041263446734,0.668704601085085,0.8046623498974745,0.13595774881238953,0.5193892051123568,0.7191337580662178,0.9375,0.90625
1,typical,24,96,75.0,14.27517850298318,58.85267221095273,75.7442135306704,0.8895605250415176,0.8544899847659175,-0.03507054027560008,0.775532378817174,0.6982715712959375,0.875,0.9375
1,typical,48,96,50.0,28.657823626883328,58.85267221095273,51.30582427224097,0.8600797445183896,0.8544899847659175,-0.005589759752472112,0.7337345589567047,0.6982715712959375,0.90625,0.9375
2,ff,24,96,75.0,14.576782125950558,58.794165624916786,75.20709415464013,0.8240401667298045,0.9145660414104972,0.09052587468069273,0.6860368484732815,0.8856418516154114,0.875,0.875
