seed,heldout_corner,strategy,batch_index,support_budget,batch_rows,prequential_delay_mae_ns,prequential_delay_mape_pct,prequential_power_mae_uW,prequential_power_mape_pct,external_delay_r2,external_worst_cell_delay_r2,external_top20_recall,rolling_two_batch_delay_mae_ns
0,ff,cell_balanced_space_filling,1,4,4,0.13983816864062532,62.098497414252684,0.8293553064236074,8.454319017205426,0.5656191020928065,0.1775808397726989,0.875,0.13983816864062532
0,ff,cell_balanced_space_filling,2,8,4,0.06553989999131951,55.9504321224598,0.46571403333333505,23.865167322775736,0.5971459095615078,0.1441156311447213,0.875,0.10268903431597241
0,ff,cell_balanced_space_filling,3,12,4,0.11215612623784743,57.1026311384651,1.0881832828125009,15.540863815554825,0.7121833037179677,0.382233915310691,0.875,0.08884801311458347
0,ff,cell_balanced_space_filling,4,16,4,0.044019997508680575,56.11034344213493,0.5902780769097243,11.046148687165475,0.7230819213967563,0.389841583085305,0.90625,0.078088061873264
0,ff,cell_balanced_space_filling,5,20,4,0.14659400521267385,34.39433718079133,0.7154953996527778,12.065489659341544,0.7562338459381571,0.4690716570204098,0.875,0.09530700136067721
0,ff,cell_balanced_space_filling,6,24,4,0.06062609126736116,44.82462587748422,0.7821686184895872,9.475062058985854,0.7714704999578103,0.4488354162729576,0.875,0.1036100482400175
0,ff,cell_balanced_space_filling,7,28,4,0.07934043246527789,26.629910664811433,0.4568416597222229,5.793613645132478,0.8253512277463988,0.5807898505481893,0.875,0.06998326186631952
0,ff,cell_balanced_space_filling,8,32,4,0.050765613585069876,27.375133669685127,0.8352756553819463,10.934231993581502,0.8281598575740199,0.6162312189057739,0.875,0.06505302302517388
0,ff,cell_balanced_space_filling,9,36,4,0.04252262791666655,18.649423521813606,0.431320632812499,6.6056661800577805,0.850714740919711,0.6510389873418876,0.875,0.04664412075086821
0,ff,cell_balanced_space_filling,10,40,4,0.06610080816406247,34.693399460525704,0.2829984703993068,9.173874070324306,0.8658751971439308,0.6994453696009575,0.875,0.05431171804036451
