heldout_corner,strategy,spice_queries,runs,median_delay_r2,q25_delay_r2,q75_delay_r2,median_delay_mae,q25_delay_mae,q75_delay_mae,median_power_r2,q25_power_r2,q75_power_r2,median_power_mae,q25_power_mae,q75_power_mae,median_worst_cell_delay_r2,q25_worst_cell_delay_r2,q75_worst_cell_delay_r2,median_spearman,q25_spearman,q75_spearman,median_top20_recall,q25_top20_recall,q75_top20_recall,median_ndcg_top20,q25_ndcg_top20,q75_ndcg_top20,median_cumulative_spice_wall_time_s,q25_cumulative_spice_wall_time_s,q75_cumulative_spice_wall_time_s,median_support_balance_range,q25_support_balance_range,q75_support_balance_range
ff,cell_balanced_random,0,5,0.3054777304678308,0.2923840660791119,0.3248022725299352,0.1174011236599826,0.1156234859537543,0.1182800458429904,0.9455420452200096,0.9447146424991938,0.9463847715503658,0.5632770015928816,0.5585113184592009,0.5718135834309892,-0.1887117101844644,-0.1970570683046004,-0.1865182604853337,0.9779971873901324,0.9779620297667878,0.9791310207429976,0.875,0.875,0.90625,0.9954312495620476,0.9952695492492613,0.9960236677821602,0.0,0.0,0.0,0.0,0.0,0.0
ff,cell_balanced_random,4,5,0.5320233036159991,0.5125302309772187,0.561338197094116,0.0903307906107608,0.0895123194573475,0.094192810644987,0.9458497121193824,0.9449733087991348,0.9472450109831496,0.5594737366905379,0.5550105030013018,0.5638763100086803,0.1316128441298536,0.1268728272833701,0.1735700651481609,0.980950427751084,0.9794327903433728,0.981592054377124,0.90625,0.875,0.90625,0.9959217631346516,0.995659774683572,0.9959437109303028,2.428397250012494,2.417760874988744,2.4342976250336505,0.0,0.0,0.0
ff,cell_balanced_random,8,5,0.5986668704804645,0.5944523224235971,0.6168794076325084,0.0803949321673828,0.0787904140473524,0.084286786965842,0.9469782481656216,0.9461072058469132,0.9487118680393836,0.5542497208593746,0.5463681768012154,0.5633842364431418,0.2089498332696884,0.1845643988136897,0.2908242210063394,0.9810295324036096,0.9775166998710888,0.9822278213992734,0.875,0.875,0.90625,0.9955736544652906,0.995513979715035,0.9958986587132423,4.81493045805837,4.797947957966244,4.842354958993383,0.0,0.0,0.0
ff,cell_balanced_random,12,5,0.7011426505524596,0.6585429044097598,0.7203889690500027,0.0708603893136718,0.0685623983857639,0.0731013733660807,0.9475455211806436,0.9461844251662304,0.947577278666864,0.5550413219053818,0.550304011161334,0.5697088174848082,0.3682519317496892,0.2081880030567705,0.4329076331569161,0.9794913863822804,0.9775694363061058,0.982148716746748,0.875,0.875,0.90625,0.9954862387226768,0.9950071496907408,0.9956536034820556,7.214467666955898,7.190725416090572,7.227475416962989,0.0,0.0,0.0
ff,cell_balanced_random,16,5,0.7532650053591659,0.7442400113697305,0.7603240270298565,0.0637268567633463,0.0618622515399088,0.0660378696704644,0.9464611996095104,0.9459073328648512,0.9477296946761956,0.5636396636588541,0.5524491981987849,0.5647206334982636,0.5533340037214475,0.4276997709359583,0.5965761759252106,0.9811877417086604,0.9795236142036798,0.9830598851517638,0.875,0.875,0.90625,0.9954694339244896,0.9948694168279436,0.9957789360899024,9.58069762410014,9.574470123974606,9.66852320995531,0.0,0.0,0.0
ff,cell_balanced_random,20,5,0.7495461635381737,0.7403612141880422,0.7693441638718567,0.0644724223997752,0.0609966557984158,0.0659594761337239,0.9482865790956574,0.94539342640424,0.949062692730862,0.5520288715538194,0.5384639770594619,0.5627363823893232,0.5362155465853584,0.438726439452443,0.5858012832821254,0.980481659439822,0.9799718739013242,0.9841409820696122,0.875,0.875,0.875,0.9958374766756264,0.9954587450556132,0.9958923854859943,11.973190707096364,11.946058581990656,12.090713000943651,0.0,0.0,0.0
ff,cell_balanced_random,24,5,0.7812413342468547,0.7752062669947533,0.7917531647872484,0.0593793102812174,0.0585469707576389,0.0604149675927952,0.9473111220726332,0.9446073070182996,0.9485320036362472,0.548715056990017,0.5447203694162319,0.566368649305555,0.605484885381131,0.5167366598664074,0.6062449136901875,0.9817707722957928,0.9786065861947734,0.9828840970350404,0.875,0.875,0.90625,0.9957336864779568,0.9953853836921934,0.9957442107340672,14.374764330073958,14.350504581991116,14.543308917956892,0.0,0.0,0.0
ff,cell_balanced_random,28,5,0.792383813299414,0.7774438536597614,0.7939409615133286,0.0566048223406807,0.0522912686547309,0.0590528642027778,0.9468771552595164,0.9464026496573192,0.948260720418698,0.5611916736783854,0.532437381046007,0.5616443774891493,0.5555015653380009,0.515312286734773,0.5894682149286352,0.9805021680534396,0.9799865229110511,0.9832356732684872,0.90625,0.875,0.90625,0.9956006632076052,0.9953221718111604,0.9956931795521026,16.77824207910453,16.766336830100045,16.907448001933517,0.0,0.0,0.0
ff,cell_balanced_random,32,5,0.8238051372505608,0.8203587486267365,0.8287084449611724,0.0511852866043402,0.0467676144880208,0.0518634149682446,0.9464327814945496,0.9464219768865088,0.9470962678434984,0.5580687638085932,0.5417529410546875,0.5584283585828991,0.6281389167477205,0.5860546101396027,0.6685805507871436,0.98148658150709,0.979063635298254,0.9829661314895114,0.90625,0.875,0.90625,0.9953360691471732,0.995024348156296,0.9964644151937307,19.189394205081044,19.175085872091586,19.318816250975942,0.0,0.0,0.0
ff,cell_balanced_random,36,5,0.8451529276959028,0.8259766854247429,0.8581651378716609,0.0482046791939019,0.0472514098359591,0.0498775260166387,0.947216476659514,0.9448481912643848,0.9503187933453352,0.537805249129774,0.5358992302473963,0.5625856429101564,0.7107480342147721,0.6587531857059274,0.714386412742344,0.9801945388491738,0.9787765147076056,0.9833440759404664,0.90625,0.875,0.90625,0.9952798042194848,0.9951097184859372,0.9964501264892563,21.62610149793909,21.592929498117883,21.71926650198293,0.0,0.0,0.0
ff,cell_balanced_random,40,5,0.8578331342724372,0.8491178576850306,0.8683190227430555,0.046453112196658,0.0446690082399956,0.0483670067738064,0.9496160955383124,0.9488784762990102,0.9504707930301056,0.540501804110243,0.5366548199891494,0.5526992292013889,0.7153670890187112,0.6658960132453737,0.7527153187132347,0.9791984061877416,0.9761748505801008,0.9849583968123756,0.875,0.875,0.875,0.9951565507034558,0.9951551178436072,0.9954980716003358,24.040447080973536,23.995060164132155,24.172027042950504,0.0,0.0,0.0
ff,cell_balanced_random,44,5,0.8748883899676784,0.8624195328757387,0.8970049537325884,0.0442049972894872,0.0398589145567925,0.0454675237492404,0.9498862001118374,0.9491586875832392,0.951994413194814,0.5416769584461806,0.521500859654948,0.5454979492730032,0.744289131411679,0.7433877700492602,0.8229645380781987,0.9811525840853156,0.9767608109691784,0.9849349583968122,0.875,0.875,0.875,0.9955292899607108,0.9954209896020748,0.995636775304582,26.482341163995443,26.442963122099172,26.605208416935056,0.0,0.0,0.0
ff,cell_balanced_random,48,5,0.8823714947111191,0.8694874994737843,0.9000549720204192,0.0420807601937934,0.0387417709504123,0.0432708666543836,0.95132827897633,0.9491396587172176,0.9516574761507264,0.5386027001345495,0.5193383479513891,0.5438238027464661,0.7821334855600168,0.7785458559121368,0.8387882152554728,0.980068557365522,0.9788439001523496,0.9861625454119302,0.875,0.875,0.875,0.9954740408891404,0.9954239950418772,0.9960810988592672,28.9153773310245,28.85569928906625,29.013767792930594,0.0,0.0,0.0
ff,cell_balanced_space_filling,0,5,0.3054777304678305,0.292384066079112,0.3248022725299352,0.1174011236599826,0.1156234859537543,0.1182800458429904,0.9455420452200096,0.9447146424991938,0.9463847715503658,0.5632770015928819,0.5585113184592009,0.5718135834309892,-0.1887117101844644,-0.1970570683046002,-0.1865182604853341,0.9779971873901324,0.9779620297667878,0.9791310207429976,0.875,0.875,0.90625,0.9954312495620476,0.9952695492492613,0.9960236677821602,0.0,0.0,0.0,0.0,0.0,0.0
ff,cell_balanced_space_filling,4,5,0.4110140763844971,0.3853027166972311,0.4212373117939406,0.1045704061030816,0.1031707048384548,0.1102509444521422,0.9450474800493138,0.944287457508474,0.946472523045698,0.5650825917978046,0.5535220102799473,0.5661876647200514,-0.031460452813957,-0.0528436627552955,0.0367260189904913,0.9782872377827256,0.9771768428454236,0.9785011133247392,0.875,0.875,0.875,0.9951262077468488,0.9928650915058442,0.9954922025081676,2.493869748985162,2.434586958028376,2.5511255010205787,0.0,0.0,0.0
