method,seed,heldout_corner,stop_budget,query_reduction_pct,delay_r2,full_delay_r2,delay_r2_gap_to_full,gap_le_0p02,gap_le_0p05,worst_family_delay_r2,worst_variant_delay_r2
gf180_locked_rule,0,ff,80,16.666666666666668,0.908109953417553,0.9190466668087179,0.010936713391164976,True,True,0.34652464359893353,-3.5439071251741536
gf180_locked_rule,0,ss,96,0.0,0.9031895454559776,0.9031895454559776,0.0,True,True,0.6625197589305536,0.34921680242304254
gf180_locked_rule,0,typical,80,16.666666666666668,0.8528021312476759,0.8637624091343532,0.010960277886677305,True,True,0.6858641630661033,0.1710017296816112
gf180_locked_rule,1,ff,80,16.666666666666668,0.9284709399518084,0.9329307470482229,0.00445980709641447,True,True,0.6773882498651462,-2.9611996546396595
gf180_locked_rule,1,ss,96,0.0,0.8958717059403504,0.8958717059403504,0.0,True,True,0.7776468483761302,0.5471026202923134
gf180_locked_rule,1,typical,80,16.666666666666668,0.8640587552348435,0.8582527879601122,-0.005805967274731372,True,True,0.7620689687084534,0.21250339216454062
gf180_locked_rule,2,ff,96,0.0,0.9317737358814759,0.9317737358814759,0.0,True,True,0.5535981319700568,-2.732482151789022
gf180_locked_rule,2,ss,96,0.0,0.9190774484070097,0.9190774484070097,0.0,True,True,0.838607720261443,0.6904817419707788
gf180_locked_rule,2,typical,80,16.666666666666668,0.8777445419662222,0.8821265242304305,0.004381982264208273,True,True,0.742293720888975,0.12617374545337046
gf180_locked_rule,3,ff,96,0.0,0.9187261881853177,0.9187261881853177,0.0,True,True,0.7003664303148774,-1.4397650097210035
gf180_locked_rule,3,ss,96,0.0,0.9043933190137977,0.9043933190137977,0.0,True,True,0.8435480527566737,0.5777646884280228
gf180_locked_rule,3,typical,80,16.666666666666668,0.895848094657503,0.8939046629156105,-0.0019434317418924874,True,True,0.7803609573559283,0.19022975669938347
gf180_locked_rule,4,ff,80,16.666666666666668,0.9303416840091943,0.9340809112489732,0.0037392272397789306,True,True,0.5732247159140079,-2.485367413869348
gf180_locked_rule,4,ss,96,0.0,0.8963071693108448,0.8963071693108448,0.0,True,True,0.7586247858868458,0.4993744795348052
gf180_locked_rule,4,typical,80,16.666666666666668,0.8646484180839191,0.8733489464874629,0.008700528403543739,True,True,0.6939837881064614,-0.10511255348490356
fixed_48,0,ff,48,50.0,0.79303751349098,0.9190466668087179,0.126009153317738,False,False,-0.0520858821248491,-9.095282546865105
fixed_48,0,ss,48,50.0,0.8752020728676096,0.9031895454559776,0.02798747258836798,False,True,0.441607733662584,-0.02658016820957898
fixed_48,0,typical,48,50.0,0.8272316212535233,0.8637624091343532,0.03653078788082986,False,True,0.6047164838896735,-0.3337756876467666
fixed_48,1,ff,48,50.0,0.8699298232255637,0.9329307470482229,0.0630009238226592,False,False,0.33857154171172343,-4.872033833807579
fixed_48,1,ss,48,50.0,0.8626824752539205,0.8958717059403504,0.03318923068642987,False,True,0.7215650981227197,0.1545890802826363
