method,runs,median_stop_budget,median_query_reduction_pct,gap_le_0p02_rate,gap_le_0p05_rate,median_delay_r2_gap_to_full,maximum_delay_r2_gap_to_full,median_delay_r2,median_worst_family_delay_r2,median_worst_variant_delay_r2
gf180_locked_rule,15,80.0,16.666666666666668,1.0,1.0,0.0,0.014627163482930583,0.9085547609759672,0.7235232119276641,0.1227883443753629
fixed_48,15,48.0,50.0,0.06666666666666667,0.6666666666666666,0.035287424940636525,0.15156594984331428,0.8547011068332309,0.5663896637954895,-0.16818404898801087
fixed_64,15,64.0,33.333333333333336,0.4,0.8666666666666667,0.02268436559997289,0.09450536217234662,0.8771566963735463,0.6585992497236489,-0.038645141353002455
