seed,heldout_corner,support_budget,delay_r2,delay_mae_ns,worst_family_delay_r2,worst_variant_delay_r2,cumulative_spice_wall_time_s,prequential_delay_nmae,prediction_change_nmae,coverage_radius_ratio,delay_r2_gap_to_full
0,typical,0,0.820056551625578,0.24672334080318845,0.6874652435148312,0.1520768533592678,0.0,,,1.0,0.04258161123135906
0,typical,16,0.6073307922300499,0.37747943598352096,0.32837340291780104,-3.2602070440124873,29.07231687399326,0.19931873733788427,0.16603646028118027,0.7939064162111494,0.25530737062688713
0,typical,32,0.7496988499730745,0.2983002947788287,0.5193246834316894,-1.1646550250667178,59.43832020822447,0.30599318190940517,0.1414237720243802,0.779557424369238,0.11293931288386261
0,typical,48,0.8199501449787702,0.2589141661175947,0.5663896637954895,-0.28445905003595473,90.27373354305746,0.3744974292032221,0.11424041408646873,0.5591675976094126,0.042688017878166895
0,typical,64,0.8445652631403611,0.22943523168664534,0.632969647819533,0.23385440237379618,121.21779570903163,0.21937627597593437,0.028707378705114247,0.40858745078142705,0.018072899716575996
0,typical,80,0.8530550438288061,0.21965261440719386,0.6879988314133603,0.1227883443753629,152.37971191492397,0.2060725265920091,0.04189678084476819,0.3614948639288844,0.009583119028130915
0,typical,96,0.8626381628569371,0.2086038527841796,0.7266847377907416,0.353283849236692,180.94842783297645,0.19677741340570035,0.019635874412521796,0.0,0.0
0,ff,0,-0.5347740983126994,0.671033441932312,-5.81904965897337,-62.478155955880176,0.0,,,1.0,1.4555146792687899
0,ff,16,0.43498270647207327,0.3956559104998673,-1.7123379607406446,-26.53395737165547,28.42144196102163,0.5565253199631781,0.1710848102186048,0.8880662437322937,0.4857578744840172
0,ff,32,0.6947300148600932,0.2765379502435845,-0.31363333674788096,-15.566638189668602,57.47122075292282,0.3143485347739081,0.08558808489919759,0.6149324469977291,0.22601056609599723
0,ff,48,0.7789057610370893,0.22764168445710575,-0.07961390937746238,-9.340455495199643,87.54697875189595,0.2408481232507299,0.04092842217524498,0.5195679718443509,0.14183481991900115
0,ff,64,0.8803778249507398,0.16999318249536147,0.2419790732130782,-7.293505786799399,117.69361571286572,0.2048437353405872,0.03477548758619109,0.41726650126012665,0.040362756005350664
0,ff,80,0.9104672437196191,0.1472784486190592,0.3962293684544437,-4.263728719718907,148.22307208605343,0.1731981165025293,0.015540460671076551,0.311986849901839,0.010273337236471392
0,ff,96,0.9207405809560905,0.1363884287752822,0.3855856774657125,-2.468611137416874,176.11943200108362,0.12987362683942008,0.013140397792896332,0.0,0.0
0,ss,0,0.3940512790618351,0.6447970510237664,-0.05980727990750401,-1.1112482211765684,0.0,,,1.0,0.5145034819141321
0,ss,16,0.8304201029493982,0.30163993368762326,0.3442028361772116,-0.29785814445339187,30.119521583081223,0.8742411800311389,0.4179319196963728,0.9611388592507393,0.07813465802656905
0,ss,32,0.8710336673149152,0.26406693009256593,0.7548214583189,0.45492334422385616,61.146397496107966,0.45114303473496464,0.22162148705212684,0.7959750806548379,0.03752109366105205
0,ss,48,0.8739105555222506,0.2613671917350258,0.4067595507995003,-0.1352216131527495,92.05590187216876,0.4401091447857416,0.10448870049395263,0.5677724180148718,0.0346442054537166
0,ss,64,0.8868789955126127,0.24736185258458768,0.47816836434790155,-0.0315863931798368,123.48537416302133,0.21361813263479568,0.039993148556490735,0.5620686570496081,0.02167576546335448
0,ss,80,0.902536351715213,0.24180841555084895,0.6463819644638227,0.36755768904628605,154.80585649819113,0.43875885580997226,0.04282201316149702,0.4441284371804601,0.006018409260754254
0,ss,96,0.9085547609759672,0.22382269848300504,0.7002328859977078,0.42599871691356517,183.4265156632173,0.23178440866362818,0.01884512907024861,0.0,0.0
1,typical,0,0.7728732862435181,0.2806679278045803,0.5777910836252009,-0.0919609501077574,0.0,,,1.0,0.08590540611344344
1,typical,16,0.6551175334199575,0.34332367483928666,0.43244756090966097,-0.13882973922256947,32.56122250109911,0.20582719245200615,0.06805868342185087,0.9735757358165574,0.2036611589370041
1,typical,32,0.8078960553860354,0.25376483994991633,0.6371607729253677,0.10851613452663578,67.17610579106258,0.2518304313679683,0.06089328694993259,0.6966980056104973,0.05088263697092621
