candidate_id,pdk,process_node_nm,cell_family,cell_variant,source_cell_variant,drive_strength,input_arc,inverting,input_count,transistor_count,total_n_width_um,total_p_width_um,Vdd,Temp,slew_ns,Cload_pF,corner,seed,heldout_corner,query_order
48,SKY130,130,AOI21,AOI21_1,A21OI_1,1,"A1_to_Y__A2=1,B1=0",1,3,6,1.9500000000000002,3.0,1.7247033802492424,120.47195391992565,11.964957990332758,0.08979402811722091,ss,5,ss,1
54,SKY130,130,AOI21,AOI21_4,A21OI_4,4,"A1_to_Y__A2=1,B1=0",1,3,24,7.800000000000002,12.0,1.9035030826265,3.3513810341561836,10.448948425130345,0.013651265772472027,ss,5,ss,2
4,SKY130,130,INV,INV_1,INV_1,1,A_to_Y,1,1,2,0.65,1.0,1.7046543887030725,-21.951412635170122,11.206628151856135,0.2018078469580305,ss,5,ss,3
8,SKY130,130,INV,INV_4,INV_4,4,A_to_Y,1,1,8,2.6,4.0,1.725407105772174,-33.83966316606296,2.896011651501431,0.031669725129846664,ss,5,ss,4
72,SKY130,130,MUX2,MUX2_1,MUX2_1,1,"A0_to_X__A1=0,S=0",0,3,12,2.75,3.1,1.9566401142261851,119.99788598899454,11.404469026424085,0.03349095687542037,ss,5,ss,5
82,SKY130,130,MUX2,MUX2_4,MUX2_4,4,"A0_to_X__A1=0,S=0",0,3,18,5.8500000000000005,9.0,1.814869989079037,-22.958188251815002,0.5235506962427845,0.05737378596106893,ss,5,ss,6
16,SKY130,130,NAND2,NAND2_1,NAND2_1,1,A_to_Y__B=1,1,2,4,1.3,2.0,1.9556888530337528,94.08786624617227,9.411651995531837,0.1537389363439629,ss,5,ss,7
18,SKY130,130,NAND2,NAND2_4,NAND2_4,4,A_to_Y__B=1,1,2,16,5.2,8.0,1.6287142792792442,7.26862064248683,11.98843005238375,0.11005671807322985,ss,5,ss,8
85,SKY130,130,NAND3,NAND3_1,NAND3_1,1,"A_to_Y__B=1,C=1",1,3,6,1.9500000000000002,3.0,1.8684071085410479,65.929649891285,11.555547502605886,0.015141665033046044,ss,5,ss,9
94,SKY130,130,NAND3,NAND3_4,NAND3_4,4,"A_to_Y__B=1,C=1",1,3,24,7.800000000000002,12.0,1.6462492393614212,-36.17603501655497,8.157381042460688,0.19501086849467358,ss,5,ss,10
27,SKY130,130,NOR2,NOR2_1,NOR2_1,1,A_to_Y__B=0,1,2,4,1.3,2.0,1.9715792349014285,-7.689806197086732,9.704433483266024,0.16245669277373287,ss,5,ss,11
31,SKY130,130,NOR2,NOR2_4,NOR2_4,4,A_to_Y__B=0,1,2,16,5.2,8.0,1.883656640133623,-35.468381905648826,0.05327283904399405,0.05966452889380584,ss,5,ss,12
60,SKY130,130,OAI21,OAI21_1,O21AI_1,1,"A1_to_Y__A2=0,B1=1",1,3,6,1.9500000000000002,2.7,1.6607196716733834,-16.676616643901284,11.882563951785606,0.15668038135747,ss,5,ss,13
70,SKY130,130,OAI21,OAI21_4,O21AI_4,4,"A1_to_Y__A2=0,B1=1",1,3,24,7.800000000000002,12.0,1.916702847521357,-39.15334956543355,1.2539174028338458,0.20442673660365943,ss,5,ss,14
41,SKY130,130,XOR2,XOR2_1,XOR2_1,1,A_to_X__B=0,0,2,10,3.25,5.0,1.6662041792058722,112.9856008963472,8.878295698739645,0.19149000758045678,ss,5,ss,15
47,SKY130,130,XOR2,XOR2_4,XOR2_4,4,A_to_X__B=0,0,2,40,13.000000000000004,20.0,1.627560373497152,-33.457671171179705,10.040050694966482,0.05669017325788725,ss,5,ss,16
52,SKY130,130,AOI21,AOI21_1,A21OI_1,1,"A1_to_Y__A2=1,B1=0",1,3,6,1.9500000000000002,3.0,1.9647258910448522,-29.735784300025045,6.69024564943052,0.06736381683308186,ss,5,ss,17
55,SKY130,130,AOI21,AOI21_4,A21OI_4,4,"A1_to_Y__A2=1,B1=0",1,3,24,7.800000000000002,12.0,1.6576189076721668,98.23802501833978,2.949147590825797,0.11278628464749363,ss,5,ss,18
1,SKY130,130,INV,INV_1,INV_1,1,A_to_Y,1,1,2,0.65,1.0,1.817629385422503,123.78520736197899,0.6041131846679915,0.023473800401755247,ss,5,ss,19
9,SKY130,130,INV,INV_4,INV_4,4,A_to_Y,1,1,8,2.6,4.0,1.8824275097687297,37.32345723816263,10.429198266594282,0.1990209390754485,ss,5,ss,20
76,SKY130,130,MUX2,MUX2_1,MUX2_1,1,"A0_to_X__A1=0,S=0",0,3,12,2.75,3.1,1.6288339083659535,38.83068267644536,8.014814538504382,0.15013306559798284,ss,5,ss,21
81,SKY130,130,MUX2,MUX2_4,MUX2_4,4,"A0_to_X__A1=0,S=0",0,3,18,5.8500000000000005,9.0,1.7265646931240586,13.644451015247114,11.399848269727949,0.14940568394055306,ss,5,ss,22
15,SKY130,130,NAND2,NAND2_1,NAND2_1,1,A_to_Y__B=1,1,2,4,1.3,2.0,1.6869294040360459,-3.8243506752324947,4.460595431272555,0.03788949229292093,ss,5,ss,23
20,SKY130,130,NAND2,NAND2_4,NAND2_4,4,A_to_Y__B=1,1,2,16,5.2,8.0,1.8862733371620442,26.038220537946188,0.7580797775714359,0.02253105163882693,ss,5,ss,24
84,SKY130,130,NAND3,NAND3_1,NAND3_1,1,"A_to_Y__B=1,C=1",1,3,6,1.9500000000000002,3.0,1.6833608827826847,122.28473353320757,1.8377259875615763,0.13454836668758918,ss,5,ss,25
95,SKY130,130,NAND3,NAND3_4,NAND3_4,4,"A_to_Y__B=1,C=1",1,3,24,7.800000000000002,12.0,1.9338325805706553,118.25454302132707,4.273380206636082,0.01427611118454394,ss,5,ss,26
29,SKY130,130,NOR2,NOR2_1,NOR2_1,1,A_to_Y__B=0,1,2,4,1.3,2.0,1.7534203102030574,92.56723986907329,5.559438004641138,0.04046184968041326,ss,5,ss,27
33,SKY130,130,NOR2,NOR2_4,NOR2_4,4,A_to_Y__B=0,1,2,16,5.2,8.0,1.737571068642616,62.617479167916144,10.430316984835843,0.1799996363765775,ss,5,ss,28
61,SKY130,130,OAI21,OAI21_1,O21AI_1,1,"A1_to_Y__A2=0,B1=1",1,3,6,1.9500000000000002,2.7,1.960741828368532,109.08259467345408,5.469122019325969,0.06586587694752812,ss,5,ss,29
