method,runs,median_stop_budget,median_query_reduction_pct,gap_le_0p02_rate,gap_le_0p05_rate,median_delay_r2_gap_to_full,maximum_delay_r2_gap_to_full,median_delay_r2,median_worst_family_delay_r2,median_worst_variant_delay_r2,pdk
Locked rule,6,88.0,8.333333333333334,0.8333333333333334,1.0,0.0,0.0207474976487981,0.903644350242864,0.7348424921574026,0.4968935179144493,GF180MCU
Fixed 48,6,48.0,50.0,0.1666666666666666,0.5,0.0426920774232348,0.1218599988487154,0.8651954193838738,0.3941219765242566,0.0609702517936466,GF180MCU
Fixed 64,6,64.0,33.333333333333336,0.1666666666666666,0.8333333333333334,0.0315870722628154,0.0536597963720496,0.8661789470073826,0.4480611999739737,0.0511145551737179,GF180MCU
Locked rule,15,80.0,16.666666666666668,1.0,1.0,0.0,0.0146271634829305,0.9085547609759672,0.7235232119276641,0.1227883443753629,SKY130
Fixed 48,15,48.0,50.0,0.0666666666666666,0.6666666666666666,0.0352874249406365,0.1515659498433142,0.8547011068332309,0.5663896637954895,-0.1681840489880108,SKY130
Fixed 64,15,64.0,33.333333333333336,0.4,0.8666666666666667,0.0226843655999728,0.0945053621723466,0.8771566963735463,0.6585992497236489,-0.0386451413530024,SKY130
