pdk,seed,heldout_corner,decision_budget,decision_type,query_reduction_pct,delay_r2,full_delay_r2,delay_r2_gap_to_full,gap_le_0p02,worst_family_delay_r2,worst_variant_delay_r2,cumulative_spice_wall_time_s,full_cumulative_spice_wall_time_s,decision_record
GF180MCU,5,typical,80,two_consecutive_eligible_batches,16.666666666666668,0.8962036724505568,0.9031018804197909,0.006898207969234127,True,0.16810755954323198,-0.5115768835423435,99.97737891977886,119.82503808580805,results/prospective_locked_confirmation/gf180/seed_5/corner_typical/decision_record.json
GF180MCU,5,ff,80,two_consecutive_eligible_batches,16.666666666666668,0.927471264960958,0.9428970272750408,0.01542576231408277,True,0.683754066798677,0.42582500088427233,101.97064053802751,123.24675061996095,results/prospective_locked_confirmation/gf180/seed_5/corner_ff/decision_record.json
GF180MCU,5,ss,96,full_budget_fallback,0.0,0.9182296881580206,0.9182296881580206,0.0,True,0.7320525041001362,0.5073466620674008,125.83493975590682,125.83493975590682,results/prospective_locked_confirmation/gf180/seed_5/corner_ss/decision_record.json
SKY130,5,typical,80,two_consecutive_eligible_batches,16.666666666666668,0.8626963042375702,0.881734070238263,0.019037766000692846,True,0.7525391284111399,0.48905630754368934,140.95428254274884,168.90676533366786,results/prospective_locked_confirmation/sky130/seed_5/corner_typical/decision_record.json
SKY130,5,ff,80,two_consecutive_eligible_batches,16.666666666666668,0.9225514192076618,0.9342491533722528,0.011697734164590967,True,0.6025274593922538,-4.044379269376917,144.65775871119695,175.66455262713134,results/prospective_locked_confirmation/sky130/seed_5/corner_ff/decision_record.json
SKY130,5,ss,96,full_budget_fallback,0.0,0.878459559776605,0.878459559776605,0.0,True,0.6474568351323837,0.32488978458305107,176.69631633296376,176.69631633296376,results/prospective_locked_confirmation/sky130/seed_5/corner_ss/decision_record.json
