selection,runs,median_top10_hits,median_top20_hits,median_actual_rank,median_actual_score,median_spearman,empirical_p_top10_ge_surrogate,empirical_p_top20_ge_surrogate,empirical_p_rank_le_surrogate
random_selection,10000,1.0,2.0,48.5,0.29233840912738895,0.9816942485078677,,,
surrogate_top_score,20,9.0,12.0,6.5,0.0611718294594334,0.9816942485078677,0.0,0.0,0.0
