target,feature_set,runs,median_r2,q25_r2,q75_r2,min_r2,median_mae,median_rmse,median_mape_pct
delay_avg_ns,full,20,0.8792475647930103,0.8704158819025821,0.9075511675904396,0.790406309461772,0.049145479354361504,0.0882096214119672,14.015270966196734
delay_avg_ns,no_cell_or_arc,20,0.8198684615511294,0.800249709686779,0.841312943977142,0.7124069502907511,0.07546246599683676,0.10994432147596514,25.039737156810105
delay_avg_ns,no_corner,20,0.7638395806626727,0.7269822284194586,0.7905968652010121,0.6508915321197382,0.07886656471316875,0.13079995609251038,23.304382183506746
delay_avg_ns,no_load_slew,20,0.5719162593891616,0.539814713876368,0.627796053836937,0.3947295040931566,0.11148762886264445,0.1773555745322771,44.77079126927973
delay_avg_ns,sizing_pvt_only,20,0.3528645508667083,0.18246995504184435,0.39805267285019597,-0.1482232594725807,0.1412595547878419,0.227086760869549,62.10394653796661
power_avg_uW,full,20,0.9744992326445064,0.9706787613688095,0.9762936293936253,0.9602424664546406,0.3553695958950112,0.48161925215310164,6.7510157564448985
power_avg_uW,no_cell_or_arc,20,0.8333993332642211,0.8078609987709073,0.8364542557754701,0.7858605301959842,0.9449021632614859,1.2835038928479894,18.157419150273526
power_avg_uW,no_corner,20,0.9746574854719319,0.9725846452709762,0.9766093669584031,0.958988864617532,0.35761106320498315,0.4790949462472659,6.713314056207202
power_avg_uW,no_load_slew,20,0.0909617301307772,0.029887070305994697,0.18809748685797134,-0.1704531605905279,2.482477632954909,2.9223890021430394,63.9875739516074
power_avg_uW,sizing_pvt_only,20,0.0253678736457995,-0.08278379311617046,0.08461105905951086,-0.1853265489876658,2.573159738686092,3.0715675578634043,68.50736172026006
