target,training_protocol,fewshot_k,runs,median_r2,q25_r2,q75_r2,min_r2,median_mae,median_rmse,median_mape_pct
delay_avg_ns,source_plus_target_support,0,80,0.7542208388516785,0.6312645649410222,0.8297024345359132,0.4658557819861806,0.08292899789666269,0.10842781790700484,25.899489373727853
delay_avg_ns,source_plus_target_support,20,80,0.8686596931338744,0.8201612893925063,0.888423888003415,0.7148010812161552,0.0489787951578593,0.08230607408561841,14.58506045954072
delay_avg_ns,source_plus_target_support,40,80,0.8880738571231774,0.8574946147758564,0.910140076612371,0.6527676065564233,0.04596854268457905,0.07495088197898961,13.73328406284386
delay_avg_ns,target_support_only,20,80,0.2665331660946967,0.056214115331492495,0.4130101947627567,-1.3274633295855516,0.11743481377178115,0.19092204749195404,44.54898691417982
delay_avg_ns,target_support_only,40,80,0.5843546815882944,0.4689139779905618,0.6919238415001528,-1.2426876435430332,0.08575006293524451,0.14088509643794675,28.251330878037862
power_avg_uW,source_plus_target_support,0,80,0.8901359201155759,0.5630151579886185,0.9821265197069476,0.4331555540881258,0.7124842710049453,0.8254671294972294,16.00524512844702
power_avg_uW,source_plus_target_support,20,80,0.9745455009458224,0.9367499348554118,0.9834908125387418,0.8286937744968036,0.3539675698097927,0.44802558624433686,7.838696588348101
power_avg_uW,source_plus_target_support,40,80,0.9783375203250404,0.9534798109227213,0.9847334968117394,0.8791400191256084,0.3318874082704464,0.4093044797239397,7.497049344718352
power_avg_uW,target_support_only,20,80,0.7922084535853162,0.7289822184009346,0.8358763903063118,0.4054609864211397,0.9985091502556868,1.2980437655502859,21.76340123690187
power_avg_uW,target_support_only,40,80,0.9054578816126924,0.8474509224725937,0.9225649742126314,0.7034106662165742,0.69820690515099,0.8939417708640461,15.58763021620695
