target,model,runs,median_r2,q25_r2,q75_r2,min_r2,median_mae,median_rmse,median_mape_pct
delay_avg_ns,ExtraTrees,20,0.8646035515769657,0.8583100018102097,0.8959451424484398,0.7953236877750782,0.05023179952238955,0.09307396233864601,15.84579955677895
delay_avg_ns,GradientBoosting,20,0.8792475647930103,0.8704158819025821,0.9075511675904396,0.790406309461772,0.049145479354361504,0.0882096214119672,14.015270966196734
delay_avg_ns,HistGradientBoosting,20,0.8979741773344672,0.8540441272508358,0.9096538166349046,0.8098601551848079,0.04665855370432435,0.08934218770138949,14.763391386934238
delay_avg_ns,MLP,20,0.8646301221008046,0.8178835229202486,0.8771095628388234,0.6752083311586183,0.06830707724037846,0.1044798324063894,24.163678271580373
delay_avg_ns,RandomForest,20,0.8240504392783151,0.7853997888925555,0.8492422675200845,0.7370294451643167,0.06542219331947816,0.1120853479663492,19.45162108250579
delay_avg_ns,Ridge,20,0.6690156400578819,0.6563358795074065,0.7032900706679082,0.614185929674548,0.0962006591517188,0.1542641506493798,38.55167828208167
delay_avg_ns,SVR_RBF,20,0.9098505250235662,0.8872628244656893,0.9324216451613369,0.8288850269591889,0.049253650317957004,0.0770427216927921,16.31130035082151
power_avg_uW,ExtraTrees,20,0.9592601833591328,0.9479032068957715,0.9661432823948445,0.9351002600424804,0.46588117830729137,0.6499450842262003,9.17426169387572
power_avg_uW,GradientBoosting,20,0.9744992326445064,0.9706787613688095,0.9762936293936253,0.9602424664546406,0.3553695958950112,0.48161925215310164,6.7510157564448985
power_avg_uW,HistGradientBoosting,20,0.9756950821195847,0.9726937080119018,0.9793573686256493,0.9621184145031112,0.33994280429931906,0.4903307517643185,6.442194889854925
power_avg_uW,MLP,20,0.9894540131258537,0.9872263608306086,0.9924086888257776,0.978090631932132,0.24403182715063335,0.3117926217039506,6.092883706836082
power_avg_uW,RandomForest,20,0.9397516931380424,0.9354266583420084,0.9468069683089992,0.909126591508968,0.5498775017155483,0.7347191816996212,10.581138623331013
power_avg_uW,Ridge,20,0.9625018486120178,0.959490101645265,0.9646107726074415,0.9542440786313572,0.43807804244073134,0.5825487036541253,10.601242819345686
power_avg_uW,SVR_RBF,20,0.9854851422223381,0.9823803314976779,0.9883120199411541,0.977717685762996,0.2535985690788993,0.3614190375452152,6.745319196515474
