target,train_rows,runs,median_r2,q25_r2,q75_r2,min_r2,median_mae,median_rmse,median_mape_pct
delay_avg_ns,40,20,0.523970296215097,0.43222700016456606,0.5655059514813667,0.1331995516617574,0.11359321359063684,0.19778177516728163,38.97101265924533
delay_avg_ns,80,20,0.6447660117001857,0.5969832784623874,0.6835632934335844,0.1179602950563782,0.09014052680023754,0.16020322699380235,26.32178313464552
delay_avg_ns,120,20,0.7517682206091436,0.7219306795283206,0.7892410374029221,0.5531468297971174,0.07389103029565885,0.1382586305257508,21.62599780213765
delay_avg_ns,160,20,0.8229536071635055,0.7682973351689393,0.8624734160517231,0.6943204859881099,0.0640012171244906,0.1216006766121485,17.952949763949448
delay_avg_ns,240,20,0.861916528401141,0.8377316481489583,0.8842554427770691,0.7749162290226664,0.052428165097435656,0.09979510205801609,15.602715573298644
delay_avg_ns,320,20,0.8795192759507959,0.8497672593328549,0.8951960640777693,0.8102241356952569,0.050065519871455105,0.094413933421954,14.281221944938764
delay_avg_ns,384,20,0.8792475647930103,0.8704158819025821,0.9075511675904396,0.790406309461772,0.049145479354361504,0.0882096214119672,14.015270966196734
power_avg_uW,40,20,0.7915489601297214,0.7548428243236931,0.8237842674961015,0.6451507422866813,1.06948741678579,1.458504393193504,23.282552125043203
power_avg_uW,80,20,0.8949239209413327,0.878923866865662,0.9094603100270163,0.8320842961784377,0.7558551295821769,0.9973418274032644,15.34836984041468
power_avg_uW,120,20,0.9220594697035149,0.9126044515148862,0.9321162995021781,0.8887799227253519,0.6393376896799183,0.8809073495202167,12.865740828826521
power_avg_uW,160,20,0.9439505352862538,0.929195431082031,0.949940193618383,0.909358590621528,0.5507335109583616,0.7812084214938448,10.585385595845107
power_avg_uW,240,20,0.9599650638669439,0.9556145404223294,0.9642360220644142,0.9438917713910102,0.44008035177107074,0.6088250861430127,8.46439074642584
power_avg_uW,320,20,0.9702022705840163,0.9659369469836299,0.9724983477685982,0.9507280635022574,0.3901759482767314,0.5373603898278754,7.487320599578542
power_avg_uW,384,20,0.9744992326445064,0.9706787613688095,0.9762936293936253,0.9602424664546406,0.3553695958950112,0.48161925215310164,6.7510157564448985
